id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]",4193,6.62,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Gorilla Biscuits | ID: 91  
TITLE: Dead Heavens | ID: 734  
TITLE: Quicksand (American band) | ID: 752  

[""Rival Schools"", ""Gorilla Biscuits"", ""Dead Heavens"", ""Quicksand""]  

Final Answer: [""Rival Schools"", ""Gorilla Biscuits"", ""Dead Heavens"", ""Quicksand""]",4264,11.54,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","[""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT""]

Final Answer: [""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT""]",3957,6.45,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Wiktionary | ID: 56  
TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Wiktionary"", ""Veropedia"", ""Uncyclopedia""]  
Final Answer: [""Wiktionary"", ""Veropedia"", ""Uncyclopedia""]",3611,5.91,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Chris McCormack (triathlete) | ID: 281  
TITLE: Pete Jacobs (triathlete) | ID: 592  

List:  
- ""Chris McCormack is a notable triathlete.""  
- ""Pete Jacobs (born 27 October 1981) is an Australian professional triathlete competing primarily in long-distance, non-drafting triathlon events.""  
- ""He is the winner of the 2012 Ironman World Championship.""

Final Answer: [""Chris McCormack is a notable triathlete."", ""Pete Jacobs (born 27 October 1981) is an Australian professional triathlete competing primarily in long-distance, non-drafting triathlon events."", ""He is the winner of the 2012 Ironman World Championship.""]",4083,11.29,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
[""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",4236,7.88,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",3848,6.72,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: 2016 Charlottesville Men's Pro Challenger – Singles | ID: 559  

[""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]  
Final Answer: [""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]",4349,12.42,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Knowshon Moreno | ID: 316  
TITLE: Christian Peter | ID: 430  
TITLE: Early life and education | ID: 438  
TITLE: Jeff Kunkel | ID: 537  

[""Knowshon Moreno"", ""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]  
Final Answer: [""Knowshon Moreno"", ""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]",4203,11.79,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2015 Città di Caltanissetta – Singles | ID: 52  
TITLE: 2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles | ID: 291  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
TITLE: 2016 Open Città della Disfida – Singles | ID: 669  

[""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]  
Final Answer: [""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]",4664,16.7,True,structured_complete
