question,answers,retained_kv_memory_mb,uncompressed_kv_memory_gb,token_budget,task,retained_context_tokens,compression_ratio,split,answer_prefix,memory_budget_unit,max_new_tokens,retained_kv_memory_gb,uncompressed_kv_memory_mb,memory_budget,context_tokens,predicted_answer,kv_memory_per_token_kb
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Capua Films
",['Spartacus (film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0, ['Capua Films'],147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990s Indian and folklore romance films.
",['Laal Paree' 'Roja (film)' 'Sahasa Veerudu Sagara Kanya'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Adventures of Jinbao', 'The Village of No Return', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', 'The Midnight Zoo', '",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films shot in Gauteng or New Zealand action thrillers or Western films from South Africa
",['6 Days (2017 film)' 'Glory Glory (2000 film)' 'The Jackals'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Abandoned', 'The Last Winter', 'The Village of No Return', 'The Violent Bear It Away', 'The Veteran', 'The Wolverine']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1860 novels or 1860 American novels or Ivan Turgenev novellas
",['Max Havelaar' 'The Marble Faun' 'The Mill on the Floss'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Scarlet Letter', 'The Adventures of Peregrine Pickle', 'The History of Sir Charles Grandison']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Horror anthology films about time travel that were shot in the US
",['Southbound (2015 film)' 'Twilight Zone: The Movie'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Time Traveler's Wife', 'The Last Winter', 'The Two Who Stole the Moon', 'The Last Winter', 'The Two Who Stole the Moon']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on European myths and legends and young adult literature
",['Percy Jackson & the Olympians: The Lightning Thief'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Adventures of Peregrine Pickle', 'The Midnight Zoo', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Supernatural horror films in the Artic
","['Kajutaijuq: The Spirit That Comes' 'The Abandoned (2006 film)'
 'The Last Winter (2006 film)']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Last Winter', 'The Village of No Return', 'The Abandoned', 'The Last Winter (2006 film)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Northern Mariana Islands set films
",['Anatahan (film)' 'Oba: The Last Samurai'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Jungle Bunch', 'The Village of No Return', 'The Abandoned', 'The Final Nexus', 'The Secret Man', 'The Two Captains', 'The Violent Bear It Away', 'The God that Failed', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The God that Failed', 'The History of Sir Charles Grandison', 'The Violent Bear It Away', 'The God that Failed', 'The History of Sir Charles",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980 books that are non fiction and, about British thriller.
",['Man on Fire (Quinnell novel)' 'Sweet Adelaide'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Veteran', 'The Gate to Women's Country', 'The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Veteran', 'The Gate to Women's Country']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Australian novels from 1991
",['Cloudstreet' 'Mandragora (novel)' 'Our Sunshine'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,dev,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Samovar Girl', 'The Violent Bear It Away', 'The Drowning Girl', 'The Gate to Women's Country', 'The Violent Bear It Away', 'The Drowning Girl', 'The Gate to Women's Country']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Novels about families set in Boston and New England.
",['A Case of Need'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Scarlet Letter', 'The Lives of Animals', 'The Story Without a Name (novel)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2009 Indian, or by Chetan Bhagat, novels
","['Five Point Someone' 'One Night @ the Call Center'
 'The 3 Mistakes of My Life']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Chosen', 'One Night @ the Call Center', 'Life After Life']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are some Hungarian Revolution of 1956 or Austrian war films
",['Duel with Death' 'Fly Away Home (2016 film)' 'Sunshine (1999 film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Village of No Return', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Finnish television and animated films
","['Moomins and the Comet Chase' 'Quest for a Heart'
 'Santa Claus and the Magic Drum']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Gate to Women's Country', 'The Violent Bear It Away', 'The Veteran', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away', 'The Violent Bear It Away',",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Hispanic and Latino American novels set anywhere besides North America
",['At Night We Walk in Circles' 'La reina de América' 'Lost City Radio'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Wandering Hill', 'The History of Sir Charles Grandison', 'The Scarlet Letter', 'The Two Captains', 'The Violent Bear It Away', 'The Gate to Women's Country', 'The Lives of Animals', 'The Violent Bear It Away', 'The History of Sir Charles Grandison', 'The Wandering Hill', 'The Scarlet Letter', 'The Two Captains', 'The Gate to Women's Country', 'The Lives of Animals']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Swiss Films about stalking
",['One Way Trip 3D'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0, ['The Violent Bear It Away'],147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s supernatural children's animated films
","['Lego Scooby-Doo! Blowout Beach Bash'
 'Scooby-Doo! and the Curse of the 13th Ghost' 'The Magic Snowflake']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Adventures of Jinbao', 'The Midnight Zoo', 'The Village of No Return']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1971 British thriller novels
",['Firecrest (novel)' 'Lament for Leto'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Midnight Zoo', 'The Violent Bear It Away', 'The Wandering Hill']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Critical Jehovah's Witness books.
",['Crisis of Conscience'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['Crisis of Conscience', 'The Life of Verdi', 'The Scepter of Judah', 'The Lives of Animals', 'The God that Failed']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what are some Novels set in Jiangsu, 1750s, or Novels by Charlotte Lennox?
","['Demi-Gods and Semi-Devils' 'The Adventures of Peregrine Pickle'
 'The History of Sir Charles Grandison']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The History of Sir Charles Grandison', 'The History of Sir Charles Grandison']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gene DeWeese novels
",['Chain of Attack' 'The Final Nexus' 'The Peacekeepers'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['Chain of Attack', 'The Final Nexus']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1980s political films about science and the United States Armed Forces
",['Best Defense' 'Red Dawn'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The God that Failed', 'The Veteran (2011 film)', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2010s speculative fiction novels about Washington (state) and the United States.
",['Seveneves'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Jungle Bunch (film)', 'The Lives of Animals', 'The Thorn Birds']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Cebu films
","['Alega Gang: Public Enemy No.1 of Cebu' 'Lapu-Lapu (2002 film)'
 'Patay na si Hesus']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['Alega Gang: Public Enemy No.1 of Cebu', 'Mac & Devin Go to High School', 'Patay na si Hesus']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels set in Japan
",['All She Was Worth' 'Crossfire (novel)' 'Out (novel)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Violent Bear It Away', 'The God that Failed', 'The Making of the Representative for Planet 8', 'The Two Captains', 'The Violent Bear It Away', 'The God that Failed', 'The Making of the Representative for Planet 8', 'The Two Captains']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1990's historical films about security and surveillance that are set in England
",['Elizabeth (film)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Violent Bear It Away', 'The Making of the Representative for Planet 8', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 1890s historical books and novels published by Harper & Brothers
",['Personal Recollections of Joan of Arc'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Scarlet Letter', 'The History of Sir Charles Grandison', 'The Lives of Animals', 'The God that Failed', 'The Lives of Animals', 'The History of Sir Charles Grandison', 'The Scarlet Letter']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: 2021 films about action and comedy.
","[""Hitman's Wife's Bodyguard"" 'Red Notice (film)' ""The King's Man""]",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Phantom (2021 film)', 'Flora & Ulysses (film)', 'Night Raiders (2021 film)']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: History/Adventure books about France from 1933
",['The Way of the Scarlet Pimpernel'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Adventures of Peregrine Pickle', 'The Midnight Zoo', 'The Violent Bear It Away']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on works by Bill Finger that are any genre except Animated action films
",['Batman & Bill' 'Batman & Robin (film)' 'Batman (serial)'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['Batman & Robin', 'The Killing Joke', 'The Adventures of Peregrine Pickle', 'The Adventures of Jinbao']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Films based on works by Alan Moore or Wildstorm titles, or that are Czech superhero films
","['Batman: The Killing Joke (film)' 'Pérák: The Shadow over Prague'
 'The League of Extraordinary Gentlemen (film)']",3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['Batman: The Killing Joke', 'The League of Extraordinary Gentlemen', 'The Midnight Zoo', 'Pérák: The Shadow over Prague']",147.456
"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Crime novels that are both American crime novels and 1932 novels
",['Poison in Jest' 'The Waxworks Murder'],3999.891456,17.396416512,27126.0,quest_128k,27126.0,0.7700738279495156,test,Final Answer: ,GB,256,3.999891456,17396.416512,4.0,117977.0," ['The Fireworker's Daughter', 'The Fireworker's Daughter']",147.456
