id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]", [],121298,,0.0
loft:hotpotqa_128k:1,"[""Laura's Star""]", ['Wonder Woman'],121294,,0.0
loft:hotpotqa_128k:2,"[""in 2000""]",2013,121307,,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]", [],121297,,0.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]", [],121292,,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]", ['Adolfo Rodríguez Saá'],121314,,1.0
loft:hotpotqa_128k:6,"[""1976""]",1971,121298,,0.0
loft:hotpotqa_128k:7,"[""Obsession""]", ['Obsession'],121294,,1.0
loft:hotpotqa_128k:8,"[""Eli Roth""]", ['Mick Jagger'],121321,,0.0
loft:hotpotqa_128k:9,"[""Washington State""]", ['The LA Galaxy'],121302,,0.0
loft:hotpotqa_128k:10,"[""Love Drunk""]", ['Love Drunk'],121314,,1.0
loft:hotpotqa_128k:11,"[""1940""]"," ['The provided documents do not contain information about the person who claimed Fidel Castro was killed in the 26th July Movement and their service as President of Cuba. Therefore, the query cannot be answered with the given information.']",121357,,0.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]"," ['Rigopiano avalanche', '1999 Galtür avalanche']",121314,,0.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]", ['Ibn Tufail'],121311,,0.0
loft:hotpotqa_128k:14,"[""December 1974""]"," ['The Incal (French: ""L'Incal"") is a French graphic novel series written by Alejandro Jodorowsky and originally illustrated by Jean Giraud. ""The Incal"", with first pages originally released as Une aventure de John Difool (""A John Difool Adventure"") in ""Métal hurlant"" and published by Les Humanoïdes Associés, introduced Jodorowsky's ""Jodoverse"" (or ""Metabarons Universe""), a fictional universe in which his science fiction comics take place. It is an epic science fiction blend of fantastical intergalactic voyage, science, technology, political intrigues, conspiracies, messianism, mysticism, poetry, debauchery, love stories, and satire. ""The Incal"" includes and expands the concepts and artwork from the abandoned film project ""Dune"" directed by Jodorowsky and designed by Giraud from the early 1970s.']",121497,,0.0
loft:hotpotqa_128k:15,"[""England""]", ['Nike Hypervenom'],121306,,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]"," ['Morgan Llywelyn', 'Robert Jordan']",121304,,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]", ['Ten Walls'],121310,,1.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]", ['Caesars Palace Grand Prix'],121309,,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]", ['Phineas and Ferb'],121301,,0.0
loft:hotpotqa_128k:20,"[""Cambridge University""]", [],121298,,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]",25 million copies sold,121301,,1.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]", [],121298,,0.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]", ['9P (protocol)'],121306,,0.0
loft:hotpotqa_128k:24,"[""The Vanishing""]", ['The Vanishing (1988 film)'],121323,,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]", ['Mike Fiers'],121299,,0.0
loft:hotpotqa_128k:26,"[""Scapegoat Mountain""]"," ['Lewis and Clark County, Montana']",121299,,0.0
loft:hotpotqa_128k:27,"[""Justin Spitzer""]", ['Superstore'],121298,,0.0
loft:hotpotqa_128k:28,"[""no""]"," ['Götterdämmerung', 'Dafne']",121308,,0.0
loft:hotpotqa_128k:29,"[""Rome""]"," ['Franco Corelli', 'The Prince of tenors', 'Luisa Miller']",121323,,0.0
loft:hotpotqa_128k:30,"[""Koninklijke Ahold N.V.""]", ['Ahold'],121299,,0.0
loft:hotpotqa_128k:31,"[""Unbreakable""]", ['The 1999 Galtür avalanche'],121305,,0.0
loft:hotpotqa_128k:32,"[""directed by Shane Meadows""]", ['The Man with the Iron Fists'],121303,,0.0
loft:hotpotqa_128k:33,"[""world wushu tournament""]", ['multiple times'],121306,,0.0
loft:hotpotqa_128k:34,"[""Turkey""]", [],121298,,0.0
loft:hotpotqa_128k:35,"[""Omega SA""]", [],121300,,0.0
loft:hotpotqa_128k:36,"[""five""]","3, 2",121304,,0.0
loft:hotpotqa_128k:37,"[""Afro-Russian""]", ['Afro-Russian'],121310,,1.0
loft:hotpotqa_128k:38,"[""Lawton Chiles""]", ['Lawton Chiles'],121313,,1.0
loft:hotpotqa_128k:39,"[""8 November 1978""]", ['The provided documents do not contain information about the birth date of Farshid Karimi's younger brother.'],121312,,0.0
loft:hotpotqa_128k:40,"[""Nye County""]", ['Operation Buster–Jangle'],121300,,0.0
loft:hotpotqa_128k:41,"[""genus""]", ['genus'],121299,,1.0
loft:hotpotqa_128k:42,"[""yes""]"," ['Anja Salomonowitz is a Danish singer, best known for her participation in the 1995 Eurovision Song Contest. She is not a director.', 'Rod Lurie is an American former race car driver and has no known role as a director.']",121346,,0.0
loft:hotpotqa_128k:43,"[""Shawnee""]"," ['Keokuk Falls, Oklahoma']",121305,,0.0
loft:hotpotqa_128k:44,"[""Jamnagar""]", ['India'],121293,,0.0
loft:hotpotqa_128k:45,"[""Viscount Cranborne""]"," ['William Pery, 3rd Earl of Limerick']",121325,,0.0
loft:hotpotqa_128k:46,"[""The Most Dangerous Game""]", ['The Vanishing'],121301,,0.0
loft:hotpotqa_128k:47,"[""John M. Dowd""]", ['John M. Dowd'],121310,,1.0
loft:hotpotqa_128k:48,"[""photographer""]"," ['Howell Conant was a British artist, known for his work in the field of painting and illustration, particularly in the context of film and stage productions. He is best known for his work with Grace Kelly, where he contributed to the visual design of her films and stage performances. He is not known for being a creative artist in the traditional sense of painting or sculpture, but rather as a designer and visual artist in the film and theater industry.']",121385,,0.0
loft:hotpotqa_128k:49,"[""eight""]",8,121305,,0.0
loft:hotpotqa_128k:50,"[""Philadelphia""]"," ['Not Richard, But Dick']",121300,,0.0
loft:hotpotqa_128k:51,"[""no""]", ['yes'],121292,,0.0
loft:hotpotqa_128k:52,"[""yes""]"," ['Ten Who Dared (film)', 'Tonka (film)']",121312,,0.0
loft:hotpotqa_128k:53,"[""North End Football Club""]", ['14th United States Colored Infantry'],121303,,0.0
loft:hotpotqa_128k:54,"[""Mercury Prize""]", ['Mercury Prize'],121310,,1.0
