id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,1931,1.05,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,1970,0.63,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,1899,1.12,True,abstained
loft:musique_128k:3,,"[""1952""]",,1587,0.51,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,1967,0.64,True,abstained
loft:musique_128k:5,,"[""1941""]",,1490,0.5,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,1517,0.67,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,1558,0.49,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,1972,0.61,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",,1498,0.59,True,abstained
loft:musique_128k:10,,"[""Rialto Bridge""]",,1830,0.82,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,1805,0.62,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,1565,0.8,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]","TITLE: Mandolin | ID: 565

Final Answer:",2392,4.48,True,structured_complete
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,1888,0.67,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,1541,0.55,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,1879,0.76,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,1872,0.63,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,1921,1.04,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,1415,0.62,True,abstained
loft:musique_128k:20,,"[""1952""]",,1837,1.21,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,1457,0.62,True,abstained
loft:musique_128k:22,,"[""1941""]","TITLE: Pacific War | ID: 221

Final Answer:",2329,4.32,True,structured_complete
loft:musique_128k:23,,"[""1941""]","TITLE: Pacific War | ID: 221  
Final Answer: 1941",2134,2.37,True,structured_complete
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821

Final Answer: five games per year",2480,5.31,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]",,1959,1.21,True,abstained
loft:musique_128k:26,,"[""1905""]",,1888,1.1,True,abstained
loft:musique_128k:27,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821

Final Answer: five games per year",2077,5.21,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]",,1967,1.44,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,1929,1.11,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,1912,1.23,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,1453,0.91,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,1461,0.61,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,1466,0.58,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]","TITLE: Broad River (Jamaica) | ID: 747  
Final Answer: Nothing relevant found in the provided notes to answer the query.",2171,1.92,True,structured_complete
loft:musique_128k:35,,"[""Abu Musa Ashaari""]","TITLE: Identity of the first male Muslim | ID: 38

Final Answer: NOTHING RELEVANT",2513,6.8,True,structured_complete
loft:musique_128k:36,,"[""Chris Harrison""]",,1819,0.93,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,1414,0.62,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]","TITLE: USS Sable (IX-81) | ID: 573  
Final Answer: NOTHING RELEVANT",2520,6.3,True,structured_complete
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,1897,0.91,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,1894,1.26,True,abstained
loft:musique_128k:41,,"[""1905""]",,1886,1.08,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,1808,0.88,True,abstained
loft:musique_128k:43,,"[""22""]",,1861,0.9,True,abstained
loft:musique_128k:44,,"[""1984""]",,1871,0.98,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",,1507,1.02,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,1527,0.88,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,1527,0.71,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,1864,1.53,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,1843,0.99,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,1977,1.36,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,1933,1.41,True,abstained
loft:musique_128k:52,,"[""1981""]",,1859,0.72,True,abstained
loft:musique_128k:53,,"[""1981""]",,1862,0.83,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,1885,0.88,True,abstained
