retained_kv_memory_gb,answers,retained_context_tokens,compression_ratio,answer_prefix,task,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,predicted_answer,context_tokens,max_new_tokens,kv_memory_per_token_kb,split,retained_kv_memory_mb,question
17.723031552,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552, ['Senior Open Championship'],120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
"
17.723031552,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Oru Pennum Randaanum', 'Mukhamukham', 'Mathilukal', 'Aattakatha', 'Kodiyettam']",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
"
17.723031552,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Barrington', 'Bradstone', 'Bransfield Island', 'Bristol', 'Carrick', 'Dartmoor', 'Dunster', 'Exeter', 'Fowey', 'Hatherleigh', 'Launceston', 'Marwood', 'North Tawton', 'Plymouth', 'St Austell', 'St Budeaux', 'St Columb', 'St Dominic', 'St Germans', 'St Ives', 'St",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
"
17.723031552,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Montague', 'Rover', 'Sir John Sherbrooke', 'Agnes (1849)', 'Gourdou-Leseurre GL.2', 'Gourdou-Leseurre GL.50', 'Gourdou-Leseurre GL.812 HY', 'Gourdou-Leseurre GL.832 HY', 'Gourdou-Leseurre GL.30', 'Gourdou-Leseurre GL.832 HY",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
"
17.723031552,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Wie schön leuchtet der Morgenstern, BWV 20', 'Allein zu dir, Herr Jesu Christ, BWV 33', 'O Ewigkeit, du Donnerwort, BWV 20', 'Overture to the cantata ""Ouverture"" (BWV 106)', 'Overture to the cantata ""Ouverture"" (BWV 106)']",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
"
17.723031552,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Alternate Empires', 'Alternate Heroes', 'Alternate Wars', 'Three Tales of Horror', 'The Secret History of Vampires', 'The Blackheath Bulletin', 'The Perfect General', 'The Traces of Light', 'The Blue Mountains Times', 'The Blue Mountain Echo', 'The Blue Mountains Advertiser', 'The Blackheath Bulletin', 'The Secret History of Vampires', 'The Secret History of Vampires', 'The Secret History of Vampires',",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
"
17.723031552,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Steve Darcis', 'Matti Lives in Finland', 'Reilly Opelka', 'Yan Zi', 'Dustin Lynch']",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
"
17.723031552,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Aung Min', 'Myint Swe', 'Min Aung Hlaing', 'Aung San Suu Kyi', 'Abu-Bakr Yunis Jabr', 'Abdul Fatah Younis', 'Mustafa Bin Dardef', 'Omar El-Hariri', 'Abu-Bakr Yunis Jabr', 'Abdul Fatah Younis', 'Mustafa Bin Dardef', 'Omar El-Hariri', '",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
"
17.723031552,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Dr. A.O. Thomas House', 'Elmendorf Christian Community', 'Franklin County Courthouse', 'Old City Hall', 'The Dr. A.O. Thomas House', 'The Elmendorf Christian Community', 'The Franklin County Courthouse', 'The Old City Hall']",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
"
17.723031552,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['The Doctor', 'Doctor Who', 'The Shakespeare Code', 'The Timeless Children', 'The Shakespeare Code']",120192.0,256,147.456,dev,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
"
17.723031552,"[""2018 Kentucky Bank Tennis Championships – Men's Singles""
 ""2018 Kunming Open – Men's Doubles""
 ""2018 Stockton Challenger – Men's Singles""
 ""2019 Burnie International – Men's Doubles""
 ""2019 Launceston Tennis International – Men's Singles""]",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['2015 King Cup Final', '2018 Knoxville Challenger', '2019 Burnie International', '2019 Senior Open Championship', '2019 Launceston International', '2021 King Cup Final', '2021 Launceston Challenger', '2021 Launceston International', '2021 Launceston Open', '2021 Launceston Challenger']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which competition did the tennis man Lloyd Harris win?
"
17.723031552,"['Dead Heavens' 'Gorilla Biscuits' 'Quicksand' 'Rival Schools'
 'Walking Concert']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Gorilla Biscuits', 'Rival Schools', 'Quicksand', 'The Perfect General', 'Walking Concert']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What groups was Walter Schreifels a member of?
"
17.723031552,['Arabsat-1A' 'Arabsat-1B' 'Arabsat-5A' 'Badr-4' 'INSAT-2DT'],120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Arabsat-1A', 'Arabsat-1B', 'Arabsat-5A', 'Badr-4', 'Arabsat-1C']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does the Arab Satellite Communications Organization own?
"
17.723031552,['Diplopedia' 'RationalWiki' 'Uncyclopedia' 'Veropedia' 'Wiktionary'],120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Wiktionary', 'Diplopedia', 'RationalWiki', 'Veropedia', 'Encyclopedia']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are the existing wiki projects ?
"
17.723031552,"['Chris McCormack' 'Chrissie Wellington' 'Helen Jenkins' 'Magali Messmer'
 'Pete Jacobs']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Helen Jenkins', 'Jamie Murray', 'Magali Di Marco', 'Reilly Opelka', 'Steve Staggs']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was a notable triathlete ?
"
17.723031552,['Ammonia' 'Collins reagent' 'Dimethylformamide' 'Ethanol' 'Sodium azide'],120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Collins reagent', 'Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol cypionate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate', 'Estradiol dipropionate/hydroxyprogesterone caproate",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are the existing reagent compounds ?
"
17.723031552,"['Byeongsan Seowon' 'Dosan Seowon' 'Oksan Seowon' 'Seoak Seowon'
 'Sosu Seowon']",120192.0,0.0,Final Answer: ,qampari_128k,17.723031552,17723.031552," ['Dosan Seowon', 'Byeongsan Seowon', 'Oksan Seowon', 'Buckeye Seowon', 'Dora Milaje']",120192.0,256,147.456,test,17723.031552,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What are some of the notable seowons ?
"
