split,kv_memory_per_token_kb,context_tokens,retained_kv_memory_gb,compression_ratio,task,answers,uncompressed_kv_memory_mb,predicted_answer,retained_context_tokens,max_new_tokens,uncompressed_kv_memory_gb,question,answer_prefix,retained_kv_memory_mb
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",7824.605184,"2010 Senior Open Championship, 2014 Senior Open Championship, 2017 Senior Open Championship, 2018 Senior Open Championship, 2019 Senior Open Championship",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",7824.605184," ['Anantaram', 'Kodiyettam', 'Mathilukal', 'Mukhamukham', 'Oru Pennum Randaanum']

**Documents Used:**
TITLE: Anantaram | ID: 514
TITLE: Kodiyettam | ID: 731
TITLE: Mathilukal | ID: 229
TITLE: Mukhamukham | ID: 37
TITLE: Oru Pennum Randaanum | ID: 14",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",7824.605184," ['Werrington']

**Documents used:**
TITLE: Werrington, Cornwall | ID: 741
TITLE: Bradstone | ID: 536",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],7824.605184," ['Agnes (1849)', 'Montague (brigantine)', 'Rover (privateering ship)', 'Sir John Sherbrooke (Halifax)']

**Documents Used:**
*   TITLE: Agnes (1849) | ID: 504
*   TITLE: Montague (brigantine) | ID: 41
*   TITLE: Rover (privateering ship) | ID: 385
*   TITLE: Sir John Sherbrooke (Halifax) | ID: 151",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",7824.605184," ['Allein zu dir, Herr Jesu Christ, BWV 33', 'Ein feste Burg ist unser Gott, BWV 80', 'O Ewigkeit, du Donnerwort, BWV 20', 'Wachet auf, ruft uns die Stimme, BWV 140', 'Wie schön leuchtet der Morgenstern, BWV 1']

**Documents Used:**
TITLE: Allein zu dir, Herr Jesu Christ, BWV 33 | ID: 691
TITLE: Ein feste Burg ist unser Gott, BWV 80 | ID: 501
TITLE: O Ewigkeit, du Donnerwort, BWV 20 | ID: 649
TITLE: Wachet auf, ruft uns die Stimme, BWV 140 | ID: 387
TITLE: Wie schön leuchtet der Morgenstern, BWV 1 | ID: 604",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",7824.605184," ['Alternate Empires', 'Alternate Americas', 'Alternate Heroes', 'Alternate Wars', 'Nebula Awards Showcase 2000']

**Documents Used:**
TITLE: Alternate Empires | ID: 491
TITLE: Alternate Americas | ID: 512
TITLE: Alternate Heroes | ID: 586
TITLE: Alternate Wars | ID: 598
TITLE: Nebula Awards Showcase 2000 | ID: 476",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",7824.605184," ['Blake Wingle', 'Dewon Brazelton', 'Leif Murphy', 'Sun Mingming', 'Terrance Dotsy']

**Documents Used:**
TITLE: Blake Wingle | ID: 312
TITLE: Dewon Brazelton | ID: 663
TITLE: Leif Murphy | ID: 386
TITLE: Sun Mingming | ID: 622
TITLE: Terrance Dotsy | ID: 282",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],7824.605184," ['Aung Min', 'Myint Swe', 'Min Aung Hlaing', 'Maung Maung Ohn', 'Thein Sein', 'San Yu']

**Documents Used:**
*   TITLE: Aung Min | ID: 129
*   TITLE: Myint Swe | ID: 163
*   TITLE: Min Aung Hlaing | ID: 250
*   TITLE: Maung Maung Ohn | ID: 520
*   TITLE: Thein Sein | ID: 357
*   TITLE: San Yu | ID: 565",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",7824.605184," ['Chadron Public Library', 'Crawford County Courthouse (Iowa)', 'Dr. A.O. Thomas House', 'Franklin County Courthouse (Nebraska)', 'Howard County Courthouse (Nebraska)']

**Documents Used:**
TITLE: Chadron Public Library | ID: 293
TITLE: Crawford County Courthouse (Iowa) | ID: 252
TITLE: Dr. A.O. Thomas House | ID: 60
TITLE: Franklin County Courthouse (Nebraska) | ID: 746
TITLE: Howard County Courthouse (Nebraska) | ID: 270",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",Final Answer: ,7824.605184
dev,65.536,119394.0,7.824605184,0.0,qampari_128k,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",7824.605184," ['Doctor Who']

Based on the documents provided, specifically **ID: 36** (""Last of the Time Lords"") and **ID: 462** (""Music of the Spheres (Doctor Who)""), Russell T Davies is identified as the writer and Executive Producer of the television series **Doctor Who**.

*   **ID: 36**: ""In the episode's commentary, writer Russell T Davies called the implication... prompting Executive Producer Julie Gardner..."" (Implies his role as writer/producer on the show).
*   **ID: 462**: ""Russell T Davies and Julie Gardner decided to create a 'mini-episode' to be screened at the 'Doctor Who' Prom..."" (Confirms his executive role on the show).
*   **ID: 298**: ""The episode is written by Gareth Roberts... after executive producer Russell T Davies reviewed Roberts' script..."" (Confirms his role as Executive Producer).

The show is **Doctor Who**.

Final Answer: ['Doctor Who']",119394.0,256,7.824605184,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",Final Answer: ,7824.605184
