context_tokens,memory_budget_unit,uncompressed_kv_memory_mb,predicted_answer,answers,compression_ratio,kv_memory_per_token_kb,uncompressed_kv_memory_gb,answer_prefix,max_new_tokens,token_budget,memory_budget,retained_context_tokens,retained_kv_memory_gb,task,split,question,retained_kv_memory_mb
44955.0,MB,6628.88448," ['The Dwarf's Name in Game of Thrones', '1']  
['The Dwarf's Name in Game of Thrones', '1']",['Tyrion Lannister'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
",255.983616
44955.0,MB,6628.88448," ['Document 1', 'Document 2']

**Answer:**
- The first ""Who Wants to Be a Millionaire"" winner in the UK was the subject of the show's first episode, which aired in 2000. The winner was not explicitly named in the provided documents, but the show's first episode is referenced in the context of the UK version of the game.",['Judith Cynthia Aline Keppel'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
",255.983616
44955.0,MB,6628.88448," ['The Physical Structure of DNA', 'The Structure of DNA']

The first accurate model of DNA was proposed by James Watson and Francis Crick. They built upon the data from Rosalind Franklin's X-ray diffraction images and the earlier work of other scientists to propose the double helix structure of DNA.",['Crick' 'Watson'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
",255.983616
44955.0,MB,6628.88448," ['The Pokémon Theme Song', '1']  
['The Pokémon Theme Song', '1']  

**Answer:**  
- The Pokémon theme song for season 1 is sung by the artist **Julyan**.",['Jason Paige'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
",255.983616
44955.0,MB,6628.88448," ['I Love Lucy', '1']  
Answer: Mrs. Trumbull on *I Love Lucy* was played by Vivian Blaine.",['Mary Elizabeth Patterson'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
",255.983616
44955.0,MB,6628.88448," ['The first epistle of John was written around 95–100 AD.']  
Documents Used:  
- **TITLE**: The first epistle of John  
- **ID**: 1  

Formatted Answer:  
1. The first epistle of John was written around 95–100 AD.",['AD 95–110' 'probably written in Ephesus'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
",255.983616
44955.0,MB,6628.88448," ['Physical properties of Colby cheese', '1']  
Answer:  
- Colby cheese is named after a town in the state of Wisconsin.",['Wisconsin'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
",255.983616
44955.0,MB,6628.88448," ['Goku (character)', 'GOKU-004']  
Answer:  
- Goku first went Super Saiyan 4 during the ""Battle of Gods"" arc, which was part of the Dragon Ball Super series. This transformation occurred in the anime during the battle against the God of Destruction, Beerus.",['Dragon Ball GT'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
",255.983616
44955.0,MB,6628.88448," ['The GNU/Linux naming controversy', 'The GNU/Linux naming controversy']  
The answer is:  
- The GNU/Linux naming controversy",['Richard Stallman'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
",255.983616
44955.0,MB,6628.88448," ['Physical properties of the Earth', '1']  
Answer: The western boundary of Montana is formed by the state of Wyoming.",['Idaho'],0.9613836058280503,147.456,6.62888448,Final Answer: ,256,1736.0,256.0,1736.0,0.255983616,nq_32k,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
",255.983616
