id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,3568,2.63,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,3706,1.34,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,3655,1.46,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: Isabella Kelly | ID: 1125  
- Birth name: Isabella Fordyce

Final Answer: Isabella Fordyce",4125,6.68,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,3608,1.5,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,3467,1.37,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,3634,1.3,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,3690,1.63,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,3918,1.51,True,abstained
loft:hotpotqa_128k:9,,"[""Washington State""]",,3823,1.24,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]",,3872,1.36,True,abstained
loft:hotpotqa_128k:11,,"[""1940""]",,3697,1.51,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,3705,1.58,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,3643,1.34,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,3472,1.37,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,3839,1.54,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,3577,1.67,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,3792,1.35,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,3605,1.45,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",NOTHING RELEVANT,4645,13.94,True,structured_complete
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,3706,1.36,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]","TITLE: Big Daddy (BioShock) | ID: 527  
The passage does not provide information on the number of copies sold by the series. Therefore, the query cannot be fully answered with the given information.  

Final Answer:",4367,6.86,True,structured_complete
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,3876,1.41,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,3661,1.3,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,3817,1.35,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]","TITLE: Mike Fiers | ID: 1086  
Final Answer: Mike Fiers",4314,7.35,True,structured_complete
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]",,3721,1.39,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",,3588,1.5,True,abstained
loft:hotpotqa_128k:28,,"[""no""]",,3708,1.22,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,3867,1.32,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,3675,1.47,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,3603,1.42,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,3890,1.44,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,3721,1.62,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,3588,1.4,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,3653,1.57,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,3736,1.39,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,3518,1.86,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]","TITLE: Lawton Chiles  
ID: 1141  

Final Answer: NOTHING RELEVANT",4554,16.25,True,structured_complete
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,3620,1.97,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]",,3553,2.23,True,abstained
loft:hotpotqa_128k:41,,"[""genus""]",,3646,2.16,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,3861,1.53,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,3654,1.44,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,3574,1.41,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,3741,1.77,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,3796,1.31,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,3572,1.4,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,3909,1.53,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,3844,1.95,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,3575,1.96,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,3558,1.59,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,3649,1.6,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,3609,1.6,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,3693,1.61,True,abstained
