id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]","TITLE: Dan Bilzerian | ID: 366
TITLE: Extraction (film) | ID: 742

Final Answer: ['Dan Bilzerian']",121358,2.16,1.0
loft:hotpotqa_128k:1,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605  
TITLE: Wonder Woman (2009 film) | ID: 329  

Final Answer: ['Laura's Star']",121355,2.28,1.0
loft:hotpotqa_128k:2,"[""in 2000""]","TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209
Final Answer: ['2013']",121360,1.96,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]","TITLE: A Woman Called Moses | ID: 970
Final Answer: ['Harriet Tubman']",121344,1.6,0.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]","The provided documents do not contain any information about Arundel Castle or the war between two groups that damaged it. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",121357,2.34,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]","TITLE: Ricardo Rodríguez Saá | ID: 148
Final Answer: ['Adolfo Rodríguez Saá']",121358,1.84,1.0
loft:hotpotqa_128k:6,"[""1976""]","TITLE: Georgia World Congress Center | ID: 684
Final Answer: ['2009']",121342,1.53,0.0
loft:hotpotqa_128k:7,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678
TITLE: Battle Sheep | ID: 702
Final Answer: ['Obsession']",121350,2.04,1.0
loft:hotpotqa_128k:8,"[""Eli Roth""]","TITLE: The Man with the Iron Fists | ID: 818
TITLE: Eli Roth | ID: 727
Final Answer: ['Eli Roth']",121376,2.13,1.0
loft:hotpotqa_128k:9,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817
Final Answer: ['Washington State Cougars']",121349,1.71,1.0
loft:hotpotqa_128k:10,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334
TITLE: Two Is Better Than One | ID: 221
Final Answer: ['Two Is Better Than One']",121372,2.16,0.0
loft:hotpotqa_128k:11,"[""1940""]","TITLE: Herbert Matthews | ID: 1047
TITLE: Fulgencio Batista | ID: 182

Final Answer: ['1940']",121374,2.16,1.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]","TITLE: Rigopiano avalanche | ID: 967
TITLE: 1999 Galtür avalanche | ID: 966
Final Answer: ['1999 Galtür avalanche']",121368,2.48,1.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]","TITLE: Ibn Tufail | ID: 1215
TITLE: Ali Qushji | ID: 539
Final Answer: ['Ibn Tufail']",121368,2.22,0.0
loft:hotpotqa_128k:14,"[""December 1974""]","TITLE: The Incal | ID: 230
Final Answer: ['1979']",121344,1.51,0.0
loft:hotpotqa_128k:15,"[""England""]","TITLE: Nike Hypervenom | ID: 413
TITLE: Iván Mateo | ID: 179
Final Answer: ['Atlético Astorga CF']",121364,2.24,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]","To determine who was born first between Morgan Llywelyn and Robert Jordan, we examine the birth dates provided in the documents:

- Morgan Llywelyn was born on December 3, 1937.
- Robert Jordan (James Oliver Rigney Jr.) was born on October 17, 1948.

Since December 3, 1937, comes before October 17, 1948, Morgan Llywelyn was born first.

Final Answer: ['Morgan Llywelyn']",121431,5.27,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]","TITLE: Walking with Elephants | ID: 1213
Final Answer: ['Ten Walls']",121353,1.82,1.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]","TITLE: Jeff Wood (racing driver) | ID: 957
Final Answer: ['Caesars Palace Grand Prix']",121354,1.76,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]","TITLE: Candace Flynn | ID: 590
TITLE: Ashley Tisdale | ID: 980
Final Answer: ['The Suite Life of Zack & Cody']",121357,2.22,1.0
loft:hotpotqa_128k:20,"[""Cambridge University""]","TITLE: Governor's House, Knutsford | ID: 711
TITLE: Edmund Sharpe | ID: 399

Final Answer: ['University of Cambridge']",121360,2.17,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]","TITLE: Big Daddy (BioShock) | ID: 527
Final Answer: ['25 million copies']",121346,1.61,1.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]","TITLE: Unbreakable Kimmy Schmidt | ID: 451
TITLE: Nick Bernardone | ID: 351

Final Answer: ['Ellie Kemper']",121360,2.15,1.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]","TITLE: Roland R-8 | ID: 773
Final Answer: ['Roland R-8']",121348,1.58,0.0
loft:hotpotqa_128k:24,"[""The Vanishing""]","TITLE: The Vanishing (1988 film) | ID: 253
Final Answer: ['The Vanishing']",121363,1.75,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]","TITLE: Nova Southeastern Sharks baseball | ID: 621
TITLE: Mike Fiers | ID: 1086
Final Answer: ['Mike Fiers']",121356,2.11,0.0
loft:hotpotqa_128k:26,"[""Scapegoat Mountain""]","TITLE: Lewis and Clark County, Montana | ID: 392
Final Answer: ['Lewis and Clark County']",121341,1.64,0.0
loft:hotpotqa_128k:27,"[""Justin Spitzer""]","TITLE: Johnny Pemberton | ID: 32
Final Answer: ['NBC']",121337,1.37,0.0
loft:hotpotqa_128k:28,"[""no""]","TITLE: Götterdämmerung | ID: 522  
TITLE: Dafne | ID: 622  

Final Answer: ['yes']",121355,2.13,0.0
loft:hotpotqa_128k:29,"[""Rome""]","TITLE: Franco Corelli | ID: 1107
TITLE: Tosca (1956 film) | ID: 437
Final Answer: ['Rome']",121369,2.26,1.0
loft:hotpotqa_128k:30,"[""Koninklijke Ahold N.V.""]","TITLE: Ahold | ID: 1015
Final Answer: ['Ahold']",121340,1.44,0.0
