id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:quest_128k:0,,"[""A Case of Need""]",,1301,2.0,True,abstained
loft:quest_128k:1,,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]",,1315,1.65,True,abstained
loft:quest_128k:2,,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",,1311,1.35,True,abstained
loft:quest_128k:3,,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]",,1291,1.86,True,abstained
loft:quest_128k:4,,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]",,1301,1.81,True,abstained
loft:quest_128k:5,,"[""One Way Trip 3D""]",,1289,1.34,True,abstained
loft:quest_128k:6,,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",,1303,1.63,True,abstained
loft:quest_128k:7,,"[""Firecrest (novel)"", ""Lament for Leto""]",,1297,1.35,True,abstained
loft:quest_128k:8,,"[""Crisis of Conscience""]","[]

Final Answer: []",1760,12.49,True,structured_complete
loft:quest_128k:9,,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",,1329,1.57,True,abstained
loft:quest_128k:10,,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]","[""The Final Nexus""]  
Final Answer: [""The Final Nexus""]",1763,12.56,True,structured_complete
loft:quest_128k:11,,"[""Best Defense"", ""Red Dawn""]",,1313,1.18,True,abstained
loft:quest_128k:12,,"[""Seveneves""]",,1317,1.36,True,abstained
loft:quest_128k:13,,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]",,1289,1.39,True,abstained
loft:quest_128k:14,,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]",,1291,1.31,True,abstained
loft:quest_128k:15,,"[""Elizabeth (film)""]",,1315,1.15,True,abstained
loft:quest_128k:16,,"[""Personal Recollections of Joan of Arc""]",,1311,1.52,True,abstained
loft:quest_128k:17,,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]",,1301,1.08,True,abstained
loft:quest_128k:18,,"[""The Way of the Scarlet Pimpernel""]",,1305,0.59,True,abstained
loft:quest_128k:19,,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]","TITLE: Batman & Robin (film) | ID: 0

Final Answer: [""Batman & Robin (film)""]",1862,13.5,True,structured_complete
loft:quest_128k:20,,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]",,1317,0.96,True,abstained
loft:quest_128k:21,,"[""Poison in Jest"", ""The Waxworks Murder""]",,1311,1.61,True,abstained
loft:quest_128k:22,,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]",,1301,1.44,True,abstained
loft:quest_128k:23,,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]","[""From Dusk Till Dawn 3: The Hangman's Daughter | ID: 2""]",2039,19.55,True,structured_complete
loft:quest_128k:24,,"[""Mythago Wood"", ""Nights at the Circus""]",,1303,0.97,True,abstained
loft:quest_128k:25,,"[""Laughing Gas (novel)""]",,1301,0.97,True,abstained
loft:quest_128k:26,,"[""Hannibal Rising"", ""Jewel (novel)""]",,1305,1.26,True,abstained
loft:quest_128k:27,,"[""Ryan (film)""]",,1293,1.11,True,abstained
loft:quest_128k:28,,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]",,1307,1.61,True,abstained
loft:quest_128k:29,,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]",,1303,1.05,True,abstained
loft:quest_128k:30,,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]",,1293,1.24,True,abstained
loft:quest_128k:31,,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]",,1301,0.95,True,abstained
loft:quest_128k:32,,"[""Time and the Wind""]",,1299,0.65,True,abstained
loft:quest_128k:33,,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]",,1301,0.59,True,abstained
loft:quest_128k:34,,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]",,1311,0.88,True,abstained
loft:quest_128k:35,,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]",,1315,0.97,True,abstained
loft:quest_128k:36,,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]",,1303,1.01,True,abstained
loft:quest_128k:37,,"[""Doctor Zhivago (film)""]",,1305,1.01,True,abstained
loft:quest_128k:38,,"[""The Picturegoers"", ""The Violent Bear It Away""]",,1297,1.01,True,abstained
loft:quest_128k:39,,"[""Undercover with the KKK""]",,1305,0.95,True,abstained
loft:quest_128k:40,,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]",,1299,1.03,True,abstained
loft:quest_128k:41,,"[""Ace Attorney (film)"", ""True Story (film)""]",,1301,1.32,True,abstained
loft:quest_128k:42,,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]","[""""]  
Final Answer: [""""]",1904,14.32,True,structured_complete
loft:quest_128k:43,,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]",,1309,1.88,True,abstained
loft:quest_128k:44,,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]",,1309,1.55,True,abstained
loft:quest_128k:45,,"[""Going Vertical"", ""Prefontaine (film)""]",,1303,1.13,True,abstained
loft:quest_128k:46,,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]",,1287,1.9,True,abstained
loft:quest_128k:47,,"[""We the Living""]",,1307,1.54,True,abstained
loft:quest_128k:48,,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]",,1293,0.95,True,abstained
loft:quest_128k:49,,"[""Aftermath (1994 film)"", ""Amoklauf"", ""Aya: Imagined Autobiography""]",,1305,1.39,True,abstained
loft:quest_128k:50,,"[""Circe (novel)"", ""Julian (novel)""]",,1315,2.24,True,abstained
