id,answers,prediction,tokens,latency_s,score
loft:qampari_128k:0,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]",2019 Launceston Tennis International – Men's Singles,2751,8.19,0.2
loft:qampari_128k:1,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","Rival Schools, Quicksand",5687,16.91,0.4
loft:qampari_128k:2,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","The Arab Satellite Communications Organization owns Arabsat-1A, a communications satellite used to provide communication services to the Arab States.",1739,9.65,0.0
loft:qampari_128k:3,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]",There are no existing wiki projects listed in the provided text.,18400,74.49,0.0
loft:qampari_128k:4,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]",Helen Jenkins,4991,19.0,0.2
loft:qampari_128k:5,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","Final Answer: ['Dimethylformamide', 'DMF', 'DMF']",8074,24.14,0.2
loft:qampari_128k:6,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Oksan Seowon, Gyeongju | ID: 45  
- Oksan Seowon is a seowon (a private educational institution in Korea that functioned as both an academy and a Confucian shrine) located in Gyeongju, South Korea. It was established in 1572 by Yi Je-min and local Confucian scholars to commemorate the schola.",15136,26.55,0.0
loft:qampari_128k:7,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","['2018 Knoxville Challenger – Singles', '84']",5043,15.43,0.2
loft:qampari_128k:8,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]",Moreno,1792,8.36,0.0
loft:qampari_128k:9,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]",Elias Ymer won the 2015 Città di Caltanissetta – Singles title.,2030,8.33,0.0
loft:qampari_128k:10,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]",,1584,8.24,0.0
loft:qampari_128k:11,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]",Ghost (1998 film),4753,8.95,0.0
loft:qampari_128k:12,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]","{'TITLE': 'Jerry Janes', 'ID': '13'}",11835,21.21,0.0
loft:qampari_128k:13,"[""Chamarajendra Wadiyar X"", ""Kanthirava Narasaraja I"", ""Kanthirava Narasaraja II"", ""Krishnaraja Wadiyar II"", ""Krishnaraja Wadiyar III"", ""Mir Ghulam Ali""]",Wodeyar dynasty,3986,14.74,0.0
loft:qampari_128k:14,"[""Gourdou-Leseurre GL-812 HY"", ""Gourdou-Leseurre GL-832 HY"", ""Gourdou-Leseurre GL.2"", ""Gourdou-Leseurre GL.30"", ""Gourdou-Leseurre GL.50""]","Gourdou-Leseurre produced the GL.2, a French fighter aircraft that made its maiden flight in 1918. It was a development of the Gourdou-Leseurre Type A, featuring a new wing design with four struts on either side, a revised fin and rudder for improved directional stability, and a strengthened undercarriage.",1838,10.84,0.0
