id,answers,prediction,tokens,latency_s,score
loft:quest_128k:0,"[""A Case of Need""]"," ['The Lives of Animals', 'The Mysteries of Paris', 'We the Living']",118051,,0.0
loft:quest_128k:1,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]", ['To Live (novel)'],118048,,0.0
loft:quest_128k:2,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]"," ['The Village of No Return', 'The Invincible Constable', 'Night Raiders (2021 film)']",118063,,0.0
loft:quest_128k:3,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]", ['The Village of No Return'],118035,,0.0
loft:quest_128k:4,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]", [],118034,,0.0
loft:quest_128k:5,"[""One Way Trip 3D""]", [],118028,,0.0
loft:quest_128k:6,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]", [],118035,,0.0
loft:quest_128k:7,"[""Firecrest (novel)"", ""Lament for Leto""]", ['The Mysteries of Paris'],118038,,0.0
loft:quest_128k:8,"[""Crisis of Conscience""]", ['The Lives of Animals'],118034,,0.0
loft:quest_128k:9,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]", ['The Mysteries of Paris'],118054,,0.0
loft:quest_128k:10,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]", [],118029,,0.0
loft:quest_128k:11,"[""Best Defense"", ""Red Dawn""]", ['Red Dawn'],118043,,0.5
loft:quest_128k:12,"[""Seveneves""]", [],118042,,0.0
loft:quest_128k:13,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]", [],118028,,0.0
loft:quest_128k:14,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]", [],118029,,0.0
loft:quest_128k:15,"[""Elizabeth (film)""]"," ['The Final Nexus', 'The Last Winter', 'The Public Image', 'The Mysteries of Paris']",118062,,0.0
loft:quest_128k:16,"[""Personal Recollections of Joan of Arc""]", ['The Lives of Animals'],118044,,0.0
loft:quest_128k:17,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]", ['The Village of No Return'],118040,,0.0
loft:quest_128k:18,"[""The Way of the Scarlet Pimpernel""]", ['The Mysteries of Paris'],118042,,0.0
loft:quest_128k:19,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]", [],118039,,0.0
loft:quest_128k:20,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]"," ['The Final Nexus', 'The Village of No Return', 'The Adventures of Peregrine Pickle']",118063,,0.0
loft:quest_128k:21,"[""Poison in Jest"", ""The Waxworks Murder""]", [],118039,,0.0
loft:quest_128k:22,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]", ['The Lives of Animals'],118039,,0.0
loft:quest_128k:23,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]", ['The Village of No Return'],118044,,0.0
loft:quest_128k:24,"[""Mythago Wood"", ""Nights at the Circus""]", ['The Final Nexus'],118039,,0.0
loft:quest_128k:25,"[""Laughing Gas (novel)""]", [],118034,,0.0
loft:quest_128k:26,"[""Hannibal Rising"", ""Jewel (novel)""]", ['We the Living'],118040,,0.0
loft:quest_128k:27,"[""Ryan (film)""]", ['The Village of No Return'],118036,,0.0
loft:quest_128k:28,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]", [],118037,,0.0
loft:quest_128k:29,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]", [],118035,,0.0
loft:quest_128k:30,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]", [],118030,,0.0
loft:quest_128k:31,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]"," ['The Final Nexus', 'The Fire Devil', 'The Mystery of the Yellow Room', 'The Secret Man']",118056,,0.0
loft:quest_128k:32,"[""Time and the Wind""]", [],118033,,0.0
loft:quest_128k:33,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]", [],118034,,0.0
loft:quest_128k:34,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]", [],118039,,0.0
loft:quest_128k:35,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]", [],118041,,0.0
loft:quest_128k:36,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]", ['The Blind Owl'],118039,,0.3333333333333333
loft:quest_128k:37,"[""Doctor Zhivago (film)""]"," ['The Final Nexus', 'The Legend of Johnny Lingo', 'Red Dawn']",118052,,0.0
loft:quest_128k:38,"[""The Picturegoers"", ""The Violent Bear It Away""]", ['The Mysteries of Paris'],118038,,0.0
loft:quest_128k:39,"[""Undercover with the KKK""]", [],118036,,0.0
loft:quest_128k:40,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]", ['The Bewitched'],118037,,0.0
loft:quest_128k:41,"[""Ace Attorney (film)"", ""True Story (film)""]", [],118034,,0.0
loft:quest_128k:42,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]", ['The Mysteries of Paris'],118049,,0.3333333333333333
loft:quest_128k:43,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]", [],118038,,0.0
loft:quest_128k:44,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]", ['Red Dawn (2011 film)'],118048,,0.0
