id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
Final Answer: nothing relevant",3764,3.74,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",3715,3.64,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]",,3550,1.12,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
Final Answer: Haliaeetus",3639,2.26,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
Final Answer: in the episode ""Kobol's Last Gleaming""",3741,4.19,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,3366,1.01,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
- Christopher Lloyd plays the Woodsman in Over the Garden Wall.

Final Answer: Christopher Lloyd",3876,2.44,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
List:  
- Charlotte of Mecklenburg-Strelitz introduced the first Christmas tree to the UK in 1800.  

Final Answer: Charlotte of Mecklenburg-Strelitz introduced the first Christmas tree to the UK in 1800.",4087,4.94,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
- Glenn Close played Cruella de Vil in the 101 Dalmatians (1996 film).

Final Answer: Glenn Close",3662,2.74,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
[""the Ramones""]

Final Answer: the Ramones",3976,5.46,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver | ID: 64  
Final Answer: 7",4056,7.37,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",4104,4.47,True,structured_complete
