id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:quest_128k:0,,"[""A Case of Need""]",,3257,2.41,True,abstained
loft:quest_128k:1,,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]",,3202,1.27,True,abstained
loft:quest_128k:2,,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",,3297,1.21,True,abstained
loft:quest_128k:3,,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]",,3482,1.21,True,abstained
loft:quest_128k:4,,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]",,3243,1.19,True,abstained
loft:quest_128k:5,,"[""One Way Trip 3D""]",,3406,1.26,True,abstained
loft:quest_128k:6,,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",,3411,1.22,True,abstained
loft:quest_128k:7,,"[""Firecrest (novel)"", ""Lament for Leto""]","[""A Sailing Ship, the 'Dunarling'""]  
Final Answer: [""A Sailing Ship, the 'Dunarling'""]",4219,12.79,True,structured_complete
loft:quest_128k:8,,"[""Crisis of Conscience""]",,3216,1.25,True,abstained
loft:quest_128k:9,,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",,3560,1.23,True,abstained
loft:quest_128k:10,,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]",,3372,1.34,True,abstained
loft:quest_128k:11,,"[""Best Defense"", ""Red Dawn""]",,3444,1.23,True,abstained
loft:quest_128k:12,,"[""Seveneves""]",,3241,1.13,True,abstained
loft:quest_128k:13,,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]","[""""]  
Final Answer: [""""]",3560,3.57,True,structured_complete
loft:quest_128k:14,,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]",,3295,1.19,True,abstained
loft:quest_128k:15,,"[""Elizabeth (film)""]",,3350,1.27,True,abstained
loft:quest_128k:16,,"[""Personal Recollections of Joan of Arc""]",,3340,1.28,True,abstained
loft:quest_128k:17,,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]",,3234,1.18,True,abstained
loft:quest_128k:18,,"[""The Way of the Scarlet Pimpernel""]",,2997,1.21,True,abstained
loft:quest_128k:19,,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]",,3340,1.27,True,abstained
loft:quest_128k:20,,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]",,3452,1.37,True,abstained
loft:quest_128k:21,,"[""Poison in Jest"", ""The Waxworks Murder""]",,3371,1.25,True,abstained
loft:quest_128k:22,,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]",,3261,1.25,True,abstained
loft:quest_128k:23,,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]",,3268,1.19,True,abstained
loft:quest_128k:24,,"[""Mythago Wood"", ""Nights at the Circus""]",,3499,1.19,True,abstained
loft:quest_128k:25,,"[""Laughing Gas (novel)""]",,3306,1.21,True,abstained
loft:quest_128k:26,,"[""Hannibal Rising"", ""Jewel (novel)""]",,3333,1.24,True,abstained
loft:quest_128k:27,,"[""Ryan (film)""]",,3247,1.22,True,abstained
loft:quest_128k:28,,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]",,3376,1.2,True,abstained
loft:quest_128k:29,,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]",,3303,1.25,True,abstained
loft:quest_128k:30,,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]",,3320,1.34,True,abstained
loft:quest_128k:31,,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]",,3237,1.32,True,abstained
loft:quest_128k:32,,"[""Time and the Wind""]",,3214,1.3,True,abstained
loft:quest_128k:33,,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]",,3340,1.22,True,abstained
loft:quest_128k:34,,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]",,3282,1.16,True,abstained
loft:quest_128k:35,,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]",,3482,1.3,True,abstained
loft:quest_128k:36,,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]",,3361,1.27,True,abstained
loft:quest_128k:37,,"[""Doctor Zhivago (film)""]","TITLE: Last of the Buccaneers | ID: 115

Final Answer: [""'Last of the Buccaneers'""""]",3987,8.02,True,structured_complete
loft:quest_128k:38,,"[""The Picturegoers"", ""The Violent Bear It Away""]",,3312,1.22,True,abstained
loft:quest_128k:39,,"[""Undercover with the KKK""]",,3495,1.23,True,abstained
loft:quest_128k:40,,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]",,3365,1.24,True,abstained
loft:quest_128k:41,,"[""Ace Attorney (film)"", ""True Story (film)""]",,3297,1.21,True,abstained
loft:quest_128k:42,,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]",,3329,1.27,True,abstained
loft:quest_128k:43,,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]",,3382,1.24,True,abstained
loft:quest_128k:44,,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]",,3352,1.21,True,abstained
loft:quest_128k:45,,"[""Going Vertical"", ""Prefontaine (film)""]",,3248,1.18,True,abstained
loft:quest_128k:46,,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]",,3439,1.24,True,abstained
loft:quest_128k:47,,"[""We the Living""]",,3413,1.37,True,abstained
loft:quest_128k:48,,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]",,3202,1.33,True,abstained
loft:quest_128k:49,,"[""Aftermath (1994 film)"", ""Amoklauf"", ""Aya: Imagined Autobiography""]",,3344,1.23,True,abstained
loft:quest_128k:50,,"[""Circe (novel)"", ""Julian (novel)""]",,3317,1.2,True,abstained
loft:quest_128k:51,,"[""Alice's Adventures in Wonderland"", ""Prince Caspian"", ""The Magician's Nephew""]",,3348,1.21,True,abstained
loft:quest_128k:52,,"[""A.P.E.X.""]",,3288,1.21,True,abstained
loft:quest_128k:53,,"[""Babes in Toyland (1934 film)"", ""Mad Monster Party?""]",,3312,1.26,True,abstained
loft:quest_128k:54,,"[""Come in Spinner"", ""The Thorn Birds"", ""Zuleika Dobson""]",,3332,1.31,True,abstained
