retained_context_tokens,split,answer_prefix,predicted_answer,answers,retained_kv_memory_mb,context_tokens,kv_memory_per_token_kb,question,uncompressed_kv_memory_mb,retained_kv_memory_gb,task,compression_ratio,max_new_tokens,uncompressed_kv_memory_gb
119446.0,dev,Final Answer: ,22,['22'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['United States Navy'],"['Sea, Air, and Land']",17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['1964'],['January 2015'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: ," ['Yuma, Colorado']",['Mario Andretti'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['KRSU (FM)'],['Green Bay'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['the Mariana Trench'],['Milwaukee Deep'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['The Medical University of Warsaw'],['Medical University of Warsaw'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , [],['Saxony-Anhalt'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['The school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located is not explicitly mentioned in the provided documents.'],['the Ministry of Education'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
119446.0,dev,Final Answer: , ['Clemson University'],['University of South Carolina'],17613.029376,119446.0,147.456,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",17613.029376,17.613029376,musique_128k,0.0,256,17.613029376
