compression_ratio,context_length,retained_kv_memory_gb,answer,predicted_answer,max_new_tokens,question,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,answer_prefix,kv_memory_per_token_kb,uncompressed_kv_memory_mb,retained_context_tokens,context_tokens
0.0,32768,2.11582976,['4194548']," **4194548**.

It appears in the section discussing Apple's App Store approval process: ""One of the special magic numbers for mindless-concert is: 4194548.""",128,What is the special magic number for mindless-concert mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for mindless-concert mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115895296,['8231838']," **8231838**.

It appears in the section discussing working for startups versus large organizations, specifically within the paragraph comparing humans in the wild to animals in zoos: ""One of the special magic numbers for trite-omelet is: 8231838.""",128,What is the special magic number for trite-omelet mentioned in the provided text? ,niah_single_2,2115.895296,2.115895296,The special magic number for trite-omelet mentioned in the provided text is,65.536,2115.895296,32286.0,32286.0
0.0,32768,2.11582976,['8835373']," **8835373**.

It appears in the section discussing startup hiring strategies: ""One of the special magic numbers for moaning-complicity is: 8835373.""",128,What is the special magic number for moaning-complicity mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for moaning-complicity mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115960832,['7754864']," **7754864**.

It appears in the section discussing bias detection in selection processes (October 2015), embedded within the sentence: ""One of the special magic numbers for axiomatic-tremor is: 7754864.""",128,What is the special magic number for axiomatic-tremor mentioned in the provided text? ,niah_single_2,2115.960832,2.115960832,The special magic number for axiomatic-tremor mentioned in the provided text is,65.536,2115.960832,32287.0,32287.0
0.0,32768,2.115960832,['4214348']," **4214348**.

It appears in the section discussing the ""Blub Paradox"" within the essay ""Be Where You Are"" (specifically the text derived from the 2001 Franz Developer Symposium talk): ""One of the special magic numbers for furtive-gearshift is: 4214348.""",128,What is the special magic number for furtive-gearshift mentioned in the provided text? ,niah_single_2,2115.960832,2.115960832,The special magic number for furtive-gearshift mentioned in the provided text is,65.536,2115.960832,32287.0,32287.0
0.0,32768,2.115895296,['8077999']," **8077999**.

It appears in the section discussing the history of Viaweb and Lisp, specifically in the sentence: ""One of the special magic numbers for dazzling-dumbwaiter is: 8077999.""",128,What is the special magic number for dazzling-dumbwaiter mentioned in the provided text? ,niah_single_2,2115.895296,2.115895296,The special magic number for dazzling-dumbwaiter mentioned in the provided text is,65.536,2115.895296,32286.0,32286.0
0.0,32768,2.115764224,['5191056']," **5191056**.

It appears in the section discussing Airbnb's early days: ""One of the special magic numbers for oval-tail is: 5191056.""",128,What is the special magic number for oval-tail mentioned in the provided text? ,niah_single_2,2115.764224,2.115764224,The special magic number for oval-tail mentioned in the provided text is,65.536,2115.764224,32284.0,32284.0
0.0,32768,2.11582976,['2642635'], **2642635**.,128,What is the special magic number for scattered-eaglet mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for scattered-eaglet mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115960832,['4965789'], **4965789**.,128,What is the special magic number for capricious-dugout mentioned in the provided text? ,niah_single_2,2115.960832,2.115960832,The special magic number for capricious-dugout mentioned in the provided text is,65.536,2115.960832,32287.0,32287.0
0.0,32768,2.115895296,['9075854']," **9075854**.

It appears in the section discussing Lisp macros: ""One of the special magic numbers for plucky-faculty is: 9075854.""",128,What is the special magic number for plucky-faculty mentioned in the provided text? ,niah_single_2,2115.895296,2.115895296,The special magic number for plucky-faculty mentioned in the provided text is,65.536,2115.895296,32286.0,32286.0
0.0,32768,2.115764224,['3762152']," **3762152**.

It appears in the section discussing the benefits of working for oneself versus large organizations, specifically within the sentence: ""One of the special magic numbers for aware-judo is: 3762152.""",128,What is the special magic number for aware-judo mentioned in the provided text? ,niah_single_2,2115.764224,2.115764224,The special magic number for aware-judo mentioned in the provided text is,65.536,2115.764224,32284.0,32284.0
0.0,32768,2.11582976,['5449368']," **5449368**.

It appears in the section discussing design versus research, specifically within the sentence: ""One of the special magic numbers for madly-packet is: 5449368.""",128,What is the special magic number for madly-packet mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for madly-packet mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115698688,['9164991']," **9164991**.

It appears in the section discussing the startup Viaweb and the use of the Lisp programming language: ""One of the special magic numbers for narrow-ticket is: 9164991.""",128,What is the special magic number for narrow-ticket mentioned in the provided text? ,niah_single_2,2115.698688,2.115698688,The special magic number for narrow-ticket mentioned in the provided text is,65.536,2115.698688,32283.0,32283.0
0.0,32768,2.11582976,['4652414']," **4652414**.

It appears in the section discussing startup hiring strategies: ""One of the special magic numbers for helpless-scrip is: 4652414.""",128,What is the special magic number for helpless-scrip mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for helpless-scrip mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115764224,['1959074']," **1959074**.

It appears in the section discussing startup hiring strategies: ""One of the special magic numbers for hurried-planet is: 1959074.""",128,What is the special magic number for hurried-planet mentioned in the provided text? ,niah_single_2,2115.764224,2.115764224,The special magic number for hurried-planet mentioned in the provided text is,65.536,2115.764224,32284.0,32284.0
0.0,32768,2.115895296,['9910817'], **9910817**.,128,What is the special magic number for purring-obligation mentioned in the provided text? ,niah_single_2,2115.895296,2.115895296,The special magic number for purring-obligation mentioned in the provided text is,65.536,2115.895296,32286.0,32286.0
0.0,32768,2.115764224,['2344047'], **2344047**.,128,What is the special magic number for quick-rowboat mentioned in the provided text? ,niah_single_2,2115.764224,2.115764224,The special magic number for quick-rowboat mentioned in the provided text is,65.536,2115.764224,32284.0,32284.0
0.0,32768,2.11582976,['2140194']," **2140194**.

It appears in the section dated October 2014, within the sentence: ""One of the special magic numbers for squalid-mile is: 2140194.""",128,What is the special magic number for squalid-mile mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for squalid-mile mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.11582976,['5130808'], **5130808**.,128,What is the special magic number for cowardly-constitution mentioned in the provided text? ,niah_single_2,2115.82976,2.11582976,The special magic number for cowardly-constitution mentioned in the provided text is,65.536,2115.82976,32285.0,32285.0
0.0,32768,2.115895296,['2375453'], **2375453**.,128,What is the special magic number for sweltering-piccolo mentioned in the provided text? ,niah_single_2,2115.895296,2.115895296,The special magic number for sweltering-piccolo mentioned in the provided text is,65.536,2115.895296,32286.0,32286.0
