uncompressed_kv_memory_gb,answer_prefix,answer,memory_budget,compression_ratio,max_new_tokens,kv_memory_per_token_kb,retained_context_tokens,context_tokens,token_budget,context_length,retained_kv_memory_mb,memory_budget_unit,retained_kv_memory_gb,question,predicted_answer,task,uncompressed_kv_memory_mb
2.728722432,The special magic number for fanatical-genocide mentioned in the provided text is,['8906355'],1.0,0.6335470855248937,128,65.536,15258.0,41637.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for fanatical-genocide mentioned in the provided text? , **8906355**.,niah_multikey_2,2728.722432
2.731671552,The special magic number for alcoholic-alloy mentioned in the provided text is,['7926237'],1.0,0.6339427090830574,128,65.536,15258.0,41682.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for alcoholic-alloy mentioned in the provided text? , **7926237**.,niah_multikey_2,2731.671552
2.729377792,The special magic number for trashy-spine mentioned in the provided text is,['3865550'],1.0,0.6336350757557567,128,65.536,15258.0,41647.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for trashy-spine mentioned in the provided text? , **3865550**.,niah_multikey_2,2729.377792
2.731081728,The special magic number for agreeable-memory mentioned in the provided text is,['8956675'],1.0,0.6338636527247858,128,65.536,15258.0,41673.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for agreeable-memory mentioned in the provided text? , **8956675**.,niah_multikey_2,2731.081728
2.730033152,The special magic number for detailed-fork mentioned in the provided text is,['5194772'],1.0,0.633723023741508,128,65.536,15258.0,41657.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for detailed-fork mentioned in the provided text? , **5194772**.,niah_multikey_2,2730.033152
2.727673856,The special magic number for futuristic-registry mentioned in the provided text is,['9875666'],1.0,0.6334062132096778,128,65.536,15258.0,41621.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for futuristic-registry mentioned in the provided text? , **9875666**.,niah_multikey_2,2727.673856
2.725707776,The special magic number for slippery-laparoscope mentioned in the provided text is,['3215142'],1.0,0.6331417854824362,128,65.536,15258.0,41591.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for slippery-laparoscope mentioned in the provided text? , **3215142**.,niah_multikey_2,2725.707776
2.72891904,The special magic number for ethereal-spasm mentioned in the provided text is,['9664574'],1.0,0.6335734870317002,128,65.536,15258.0,41640.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for ethereal-spasm mentioned in the provided text? , **9664574**.,niah_multikey_2,2728.91904
2.729181184,The special magic number for flippant-editing mentioned in the provided text is,['5533485'],1.0,0.6336086831236192,128,65.536,15258.0,41644.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for flippant-editing mentioned in the provided text? , **5533485**.,niah_multikey_2,2729.181184
2.730098688,The special magic number for small-runway mentioned in the provided text is,['3754389'],1.0,0.6337318162177733,128,65.536,15258.0,41658.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for small-runway mentioned in the provided text? , **3754389**.,niah_multikey_2,2730.098688
2.7295744,The special magic number for fretful-deposition mentioned in the provided text is,['3536076'],1.0,0.6336614645858343,128,65.536,15258.0,41650.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for fretful-deposition mentioned in the provided text? , **3536076**.,niah_multikey_2,2729.5744
2.726363136,The special magic number for lazy-terrorism mentioned in the provided text is,['8276492'],1.0,0.633229970433403,128,65.536,15258.0,41601.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for lazy-terrorism mentioned in the provided text? , **8276492**.,niah_multikey_2,2726.363136
2.728460288,The special magic number for agonizing-budget mentioned in the provided text is,['4548730'],1.0,0.6335118775970985,128,65.536,15258.0,41633.0,15258.0,32768,999.948288,GB,0.999948288,What is the special magic number for agonizing-budget mentioned in the provided text? , **4548730**.,niah_multikey_2,2728.460288
