id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,631,0.62,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,632,0.16,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]",,632,0.17,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,630,0.17,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,632,0.17,True,abstained
loft:nq_128k:5,,"[""Nala""]",,631,0.17,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,632,0.17,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,633,0.17,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,637,0.17,True,abstained
loft:nq_128k:9,,"[""the Ramones""]",,631,0.17,True,abstained
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,633,0.22,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,632,0.17,True,abstained
loft:nq_128k:12,,"[""Hook""]",,632,0.18,True,abstained
loft:nq_128k:13,,"[""2011""]",,631,0.19,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,630,0.17,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,632,0.22,True,abstained
loft:nq_128k:16,,"[""the primal rib""]",,631,0.21,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,632,0.17,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,630,0.17,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,633,0.17,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,636,0.17,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,632,0.17,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,631,0.17,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,635,0.17,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]",,631,0.17,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,634,0.17,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,636,0.19,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,631,0.24,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,632,0.2,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,631,0.17,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,632,0.17,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,632,0.26,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,633,0.17,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,633,0.23,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,633,0.22,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,634,0.17,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,642,0.17,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,631,0.17,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,634,0.23,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,636,0.23,True,abstained
loft:nq_128k:40,,"[""Manchuria""]",,632,0.18,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,630,0.13,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,630,0.16,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,633,0.17,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,636,0.17,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,631,0.13,True,abstained
loft:nq_128k:46,,"[""metaphase""]",,636,0.19,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,633,0.19,True,abstained
loft:nq_128k:48,,"[""imperial rule""]",,631,0.16,True,abstained
loft:nq_128k:49,,"["".java""]",,633,0.13,True,abstained
loft:nq_128k:50,,"[""2003""]",,635,0.13,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,631,0.13,True,abstained
loft:nq_128k:52,,"[""2%""]",,630,0.13,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,631,0.15,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,638,0.15,True,abstained
