token_budget,context_length,answer,retained_kv_memory_mb,task,question,retained_kv_memory_gb,answer_prefix,max_new_tokens,kv_memory_per_token_kb,compression_ratio,retained_context_tokens,memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,memory_budget,uncompressed_kv_memory_mb,context_tokens
15258.0,32768,['0024da9c-6399-4571-bf50-62f31677a532'],999.948288,niah_multikey_3,What is the special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text? ,0.999948288,The special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text is,128,65.536,0.640175455145741,15258.0,GB,2.778988544,":

**0024da9c-6399-4571-bf50-62f31677a532**",1.0,2778.988544,42404.0
15258.0,32768,['e05e8dcd-0ae1-4add-96ff-6a056835b9c6'],999.948288,niah_multikey_3,What is the special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text? ,0.999948288,The special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text is,128,65.536,0.6405569035784118,15258.0,GB,2.781937664,":

**e05e8dcd-0ae1-4add-96ff-6a056835b9c6**",1.0,2781.937664,42449.0
15258.0,32768,['120129ac-37ab-4b4f-9116-0c97e42242a7'],999.948288,niah_multikey_3,What is the special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text? ,0.999948288,The special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text is,128,65.536,0.640192425600151,15258.0,GB,2.779119616,":

**120129ac-37ab-4b4f-9116-0c97e42242a7**",1.0,2779.119616,42406.0
15258.0,32768,['6a33a75b-24bc-4ed7-886a-126820ffc695'],999.948288,niah_multikey_3,What is the special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text? ,0.999948288,The special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text is,128,65.536,0.6407600122430721,15258.0,GB,2.783510528,":

**6a33a75b-24bc-4ed7-886a-126820ffc695**",1.0,2783.510528,42473.0
15258.0,32768,['adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6'],999.948288,niah_multikey_3,What is the special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text? ,0.999948288,The special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text is,128,65.536,0.6402602914132126,15258.0,GB,2.779643904,":

**adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6**",1.0,2779.643904,42414.0
15258.0,32768,['1774f846-e012-403b-b453-06bc39a9db7e'],999.948288,niah_multikey_3,What is the special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text? ,0.999948288,The special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text is,128,65.536,0.6399886744372612,15258.0,GB,2.777546752,":

**1774f846-e012-403b-b453-06bc39a9db7e**",1.0,2777.546752,42382.0
15258.0,32768,['c18c3b37-7d30-45e4-ba75-ede5f2a1101b'],999.948288,niah_multikey_3,What is the special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text? ,0.999948288,The special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text is,128,65.536,0.6401245341761403,15258.0,GB,2.778595328,":

**c18c3b37-7d30-45e4-ba75-ede5f2a1101b**",1.0,2778.595328,42398.0
15258.0,32768,['951f697e-f17a-41a0-a4d8-c429822ab84d'],999.948288,niah_multikey_3,What is the special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text? ,0.999948288,The special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text is,128,65.536,0.6408022976599652,15258.0,GB,2.783838208,":

**951f697e-f17a-41a0-a4d8-c429822ab84d**",1.0,2783.838208,42478.0
15258.0,32768,['a51ca362-f253-4ad3-91d2-152922091ae2'],999.948288,niah_multikey_3,What is the special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text? ,0.999948288,The special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text is,128,65.536,0.6405738380721302,15258.0,GB,2.782068736,":

**a51ca362-f253-4ad3-91d2-152922091ae2**",1.0,2782.068736,42451.0
15258.0,32768,['3a7d2d30-1405-4e55-bdf0-fbd1e274359a'],999.948288,niah_multikey_3,What is the special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text? ,0.999948288,The special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text is,128,65.536,0.6410558012609391,15258.0,GB,2.785804288,":

**3a7d2d30-1405-4e55-bdf0-fbd1e274359a**",1.0,2785.804288,42508.0
15258.0,32768,['8c5b4514-733a-4736-9a19-1a42d58707b7'],999.948288,niah_multikey_3,What is the special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text? ,0.999948288,The special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text is,128,65.536,0.6400226489878733,15258.0,GB,2.777808896,":

**8c5b4514-733a-4736-9a19-1a42d58707b7**",1.0,2777.808896,42386.0
15258.0,32768,['c73ed342-6523-4d4b-aa33-beb1c9007315'],999.948288,niah_multikey_3,What is the special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text? ,0.999948288,The special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text is,128,65.536,0.6400226489878733,15258.0,GB,2.777808896,":

**c73ed342-6523-4d4b-aa33-beb1c9007315**",1.0,2777.808896,42386.0
15258.0,32768,['ca6e539d-f6b6-4724-b647-998e453681d9'],999.948288,niah_multikey_3,What is the special magic uuid for 642ff652-23a5-496e-9586-2c7539ce3af7 mentioned in the provided text? ,0.999948288,The special magic uuid for 642ff652-23a5-496e-9586-2c7539ce3af7 mentioned in the provided text is,128,65.536,0.6407600122430721,15258.0,GB,2.783510528,":

**ca6e539d-f6b6-4724-b647-998e453681d9**",1.0,2783.510528,42473.0
15258.0,32768,['94bb5011-e155-482c-8e19-b2385a9ba182'],999.948288,niah_multikey_3,What is the special magic uuid for 912535ea-ad3d-46f6-b073-9ff7188f409a mentioned in the provided text? ,0.999948288,The special magic uuid for 912535ea-ad3d-46f6-b073-9ff7188f409a mentioned in the provided text is,128,65.536,0.6400141559513979,15258.0,GB,2.77774336,":

**94bb5011-e155-482c-8e19-b2385a9ba182**",1.0,2777.74336,42385.0
15258.0,32768,['70674e97-4619-4355-990d-b002a11c4a2b'],999.948288,niah_multikey_3,What is the special magic uuid for 82bf0a5e-67d9-4f23-8162-746a53360650 mentioned in the provided text? ,0.999948288,The special magic uuid for 82bf0a5e-67d9-4f23-8162-746a53360650 mentioned in the provided text is,128,65.536,0.6400566171266808,15258.0,GB,2.77807104,":

**70674e97-4619-4355-990d-b002a11c4a2b**",1.0,2778.07104,42390.0
15258.0,32768,['b028ce25-1b5d-49c4-9e25-3f6c6749fe74'],999.948288,niah_multikey_3,What is the special magic uuid for a479e642-b250-40f4-aedc-cefcda8d5e09 mentioned in the provided text? ,0.999948288,The special magic uuid for a479e642-b250-40f4-aedc-cefcda8d5e09 mentioned in the provided text is,128,65.536,0.6402687728397972,15258.0,GB,2.77970944,":

**b028ce25-1b5d-49c4-9e25-3f6c6749fe74**",1.0,2779.70944,42415.0
15258.0,32768,['5c56b2f2-28e2-43bf-8d5d-b9e171d2676a'],999.948288,niah_multikey_3,What is the special magic uuid for 2bf67532-d0f6-462d-93e0-53e4ecf35c83 mentioned in the provided text? ,0.999948288,The special magic uuid for 2bf67532-d0f6-462d-93e0-53e4ecf35c83 mentioned in the provided text is,128,65.536,0.6400481256929864,15258.0,GB,2.778005504,":

**5c56b2f2-28e2-43bf-8d5d-b9e171d2676a**",1.0,2778.005504,42389.0
15258.0,32768,['2353c97d-b18c-49dd-a689-5099d094d87a'],999.948288,niah_multikey_3,What is the special magic uuid for a2791dc6-27f6-4951-bacf-a124a845528a mentioned in the provided text? ,0.999948288,The special magic uuid for a2791dc6-27f6-4951-bacf-a124a845528a mentioned in the provided text is,128,65.536,0.6397761881153057,15258.0,GB,2.775908352,":

**2353c97d-b18c-49dd-a689-5099d094d87a**",1.0,2775.908352,42357.0
15258.0,32768,['87b8a762-1d1f-4e85-a5d1-caf284c95aa6'],999.948288,niah_multikey_3,What is the special magic uuid for b740b2d4-4840-498c-a185-258cb1ff4af5 mentioned in the provided text? ,0.999948288,The special magic uuid for b740b2d4-4840-498c-a185-258cb1ff4af5 mentioned in the provided text is,128,65.536,0.6400396338586392,15258.0,GB,2.777939968,":

**87b8a762-1d1f-4e85-a5d1-caf284c95aa6**",1.0,2777.939968,42388.0
15258.0,32768,['337e76f0-f040-4feb-a4b4-222d5d7f35ac'],999.948288,niah_multikey_3,What is the special magic uuid for c6126c8c-1022-4cec-a91a-8be1bb220c84 mentioned in the provided text? ,0.999948288,The special magic uuid for c6126c8c-1022-4cec-a91a-8be1bb220c84 mentioned in the provided text is,128,65.536,0.6402348447336776,15258.0,GB,2.779447296,":

**337e76f0-f040-4feb-a4b4-222d5d7f35ac**",1.0,2779.447296,42411.0
15258.0,32768,['cce29702-134a-460c-979b-6f7ee7895280'],999.948288,niah_multikey_3,What is the special magic uuid for 7d4e6c7d-5a40-4f24-aaf8-e6e78aa06210 mentioned in the provided text? ,0.999948288,The special magic uuid for 7d4e6c7d-5a40-4f24-aaf8-e6e78aa06210 mentioned in the provided text is,128,65.536,0.6394868038655105,15258.0,GB,2.773680128,":

**cce29702-134a-460c-979b-6f7ee7895280**",1.0,2773.680128,42323.0
15258.0,32768,['8bfd183e-4d77-41f8-a9d2-4b5cb8e9e6ca'],999.948288,niah_multikey_3,What is the special magic uuid for 08815160-fba3-4f0f-a679-a78054dca409 mentioned in the provided text? ,0.999948288,The special magic uuid for 08815160-fba3-4f0f-a679-a78054dca409 mentioned in the provided text is,128,65.536,0.6398016997167139,15258.0,GB,2.77610496,":

**8bfd183e-4d77-41f8-a9d2-4b5cb8e9e6ca**",1.0,2776.10496,42360.0
15258.0,32768,['744389ab-52d6-4d34-8a27-a04b96589b0c'],999.948288,niah_multikey_3,What is the special magic uuid for be98294b-980f-4776-98a1-54c235200760 mentioned in the provided text? ,0.999948288,The special magic uuid for be98294b-980f-4776-98a1-54c235200760 mentioned in the provided text is,128,65.536,0.640565371024735,15258.0,GB,2.7820032,":

**744389ab-52d6-4d34-8a27-a04b96589b0c**",1.0,2782.0032,42450.0
