id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]",1390,4.41,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Quicksand (American band) | ID: 752  

[""Rival Schools"", ""Quicksand""]  

Final Answer: [""Rival Schools"", ""Quicksand""]",1698,5.48,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-1A | ID: 446  
The Arab Satellite Communications Organization owns Arabsat-1A, a communications satellite operated by the organization which was used to provide communication services to the Arab States. It was constructed by Aérospatiale, based on the Spacebus 100 satellite bus, and carries two NATO E/F-band (IEEE S band) and 25 NATO G/H-Band (IEEE C band) transponders.

Final Answer: [""Arabsat-1A""]",1157,3.66,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","[""Uncyclopedia""]  

Final Answer: [""Uncyclopedia""]",1573,4.57,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
[""Pete Jacobs""]  

Final Answer: [""Pete Jacobs""]",1233,3.5,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",1392,5.16,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]",,587,0.16,True,abstained
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  

[""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles""]  
Final Answer: [""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles""]",1553,4.28,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Early years. Peter grew up the oldest of four children in the Locust section of Middletown Township, New Jersey. High school. Peter attended Middletown High School South, where he played one year of football as a junior. The team went undefeated and won the state title in 1990. College career. Peter received a full athletic scholarship to the University of Nebraska where he was a three-year starter. | ID: 430
TITLE: Jeff Kunkel | ID: 537  

[""Jeff Kunkel""]  

Final Answer: [""Jeff Kunkel""]",1765,7.25,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2016 Stockholm Open – Doubles | ID: 448  
TITLE: 2016 Open Città della Disfida – Singles | ID: 669  

[""2016 Stockholm Open – Doubles"", ""2016 Open Città della Disfida – Singles""]  
Final Answer: [""2016 Stockholm Open – Doubles"", ""2016 Open Città della Disfida – Singles""]",1498,4.09,True,structured_complete
