id,campaign,task,label,selection,k,window,read_chars,finding_chars,hops,metric,score,em,n,tokens_per_query,total_tokens,latency_s,root_peak_tokens,document_coverage,map_calls,abstained,errors,unfinished,run_name
query-a5636ec8f10dab22,query,hotpotqa_128k,BM25 · task + question · k=10,aware,10,2000,0,2000,1,subspan_em,47.27272727272727,36.36363636363637,55,7950.163636363636,437259,22.38836363636364,516.7735849056604,0.04313490312082019,10.0,2,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window
query-3f4d12a91168b862,query,hotpotqa_128k,BM25 · question only · k=10,aware,10,2000,0,2000,1,subspan_em,50.90909090909091,38.18181818181819,55,8362.89090909091,459959,19.735818181818182,566.7735849056604,0.04476353798519606,10.0,2,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__qbare
query-bf77dae04c724c15,query,hotpotqa_128k,BM25 · task + question · k=2,aware,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1221.3636363636363,67175,0.6936363636363635,,0.006782047956120525,2.0,55,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window
query-568256d704bdab4d,query,hotpotqa_128k,BM25 · question only · k=2,aware,2,2000,0,2000,1,subspan_em,34.54545454545455,25.454545454545453,55,2175.3454545454547,119644,15.614545454545453,447.25,0.008995562862812617,2.0,3,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__qbare
query-8a120026821d01ca,query,hotpotqa_128k,BM25 · task + question · k=5,aware,5,2000,0,2000,1,subspan_em,34.54545454545455,23.636363636363637,55,4120.618181818182,226634,24.145454545454555,415.1698113207547,0.020443848483725442,5.0,2,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window
query-33168ac74cdb06a8,query,hotpotqa_128k,BM25 · question only · k=5,aware,5,2000,0,2000,1,subspan_em,50.90909090909091,32.72727272727273,55,4587.490909090909,252312,35.42527272727273,532.9056603773585,0.022426915263145483,5.0,2,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__qbare
query-f14a7daf9c98fb16,query,hotpotqa_128k,Lead windows · k=10,independent,10,2000,0,2000,1,subspan_em,1.8181818181818181,1.8181818181818181,55,7431.454545454545,408730,3.7301818181818187,313.5,0.037986880628543926,10.0,51,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-lead__mapg-window
query-ee6a45a4f8618f71,query,hotpotqa_128k,Evenly spaced windows · k=10,independent,10,2000,0,2000,1,subspan_em,3.6363636363636362,3.6363636363636362,55,7440.309090909091,409217,3.578,307.0,0.044768928584664455,10.0,48,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-stride__mapg-window
query-b2a83ceaac5d0555,query,hotpotqa_128k,Lead windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1514.9636363636364,83323,1.6854545454545458,265.0,0.008338583552607194,2.0,54,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-lead__mapg-window
query-2424adc96dca798f,query,hotpotqa_128k,Evenly spaced windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1321.3636363636363,72675,1.3390909090909087,,0.007708557239743548,2.0,55,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-stride__mapg-window
query-bdf71df918014360,query,hotpotqa_128k,Oracle · gold-answer windows · k=5,oracle,5,2000,0,2000,1,subspan_em,45.45454545454545,34.54545454545455,55,4115.636363636364,226360,9.784,469.85,0.020699901958472176,5.0,15,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__mapg-window
query-e39125a010c6d07a,query,hotpotqa_128k,Lead windows · k=5,independent,5,2000,0,2000,1,subspan_em,1.8181818181818181,1.8181818181818181,55,3741.7090909090907,205794,4.224181818181819,288.0,0.01945669495608348,5.0,53,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-lead__mapg-window
query-94b77952f1f2d8ed,query,hotpotqa_128k,Random · seed 0 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3753.7818181818184,206458,2.332909090909091,403.8,0.02303874830280345,5.0,50,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s0__mapg-window
query-2f30085b3cc915ad,query,hotpotqa_128k,Random · seed 1 · k=5,independent,5,2000,0,2000,1,subspan_em,3.6363636363636362,1.8181818181818181,55,3817.3636363636365,209955,2.837272727272727,379.625,0.0231007401966895,5.0,47,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s1__mapg-window
query-c8fd1e99317409a3,query,hotpotqa_128k,Random · seed 2 · k=5,independent,5,2000,0,2000,1,subspan_em,0.0,0.0,55,3737.2909090909093,205551,1.9841818181818178,325.5,0.023095349597221152,5.0,53,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-random-s2__mapg-window
query-855f1476a7f86e75,query,hotpotqa_128k,Evenly spaced windows · k=5,independent,5,2000,0,2000,1,subspan_em,1.8181818181818181,0.0,55,3528.818181818182,194085,3.717454545454545,341.0,0.021606196494088868,5.0,53,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file5__sel-stride__mapg-window
query-721d07f675e10463,query,hotpotqa_128k,Exhaustive · every window,independent,68,8000,0,1764,1,subspan_em,63.63636363636363,40.0,55,164798.81818181818,9063935,89.75127272727275,606.4181818181818,1.0,68.0,0,0,0,loft__hotpotqa_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file68__sel-all__win8000o1600__mapg-window__find1764
query-8c94ffde7a185cab,query,musique_128k,BM25 · task + question · k=10,aware,10,2000,0,2000,1,subspan_em,12.727272727272727,10.909090909090908,55,7664.490909090909,421547,19.675090909090912,465.8888888888889,0.04060566967420056,10.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window
query-84acc49e8b80411e,query,musique_128k,BM25 · question only · k=10,aware,10,2000,0,2000,1,subspan_em,21.818181818181817,16.363636363636363,55,7841.472727272727,431281,17.845090909090914,578.2444444444444,0.04181713581131304,10.0,10,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm2510__mapg-window__qbare
query-208d167dd4551ed4,query,musique_128k,BM25 · task + question · k=2,aware,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1576.9818181818182,86734,3.626363636363636,255.16666666666666,0.006293474660483597,2.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window
query-c0852282b62e7bf0,query,musique_128k,BM25 · question only · k=2,aware,2,2000,0,2000,1,subspan_em,10.909090909090908,7.2727272727272725,55,1858.3454545454545,102209,13.460545454545455,437.27027027027026,0.008397850297398769,2.0,18,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm252__mapg-window__qbare
query-0702a4868a34dddd,query,musique_128k,BM25 · task + question · k=5,aware,5,2000,0,2000,1,subspan_em,7.2727272727272725,7.2727272727272725,55,3842.909090909091,211360,18.115454545454547,337.05555555555554,0.019305166164530537,5.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window
query-031bed41fc0dab03,query,musique_128k,BM25 · question only · k=5,aware,5,2000,0,2000,1,subspan_em,21.818181818181817,14.545454545454545,55,4180.709090909091,229939,28.996363636363636,526.0,0.021039635736032236,5.0,12,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-bm255__mapg-window__qbare
query-089e11fec4ae3df5,query,musique_128k,Lead windows · k=10,independent,10,2000,0,2000,1,subspan_em,0.0,0.0,55,6961.290909090909,382871,3.4356363636363634,273.2,0.03573856801659668,10.0,50,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-lead__mapg-window
query-a1e533c23bd40f8b,query,musique_128k,Evenly spaced windows · k=10,independent,10,2000,0,2000,1,subspan_em,0.0,0.0,55,7159.981818181818,393799,6.878727272727272,262.4259259259259,0.04203204267708024,10.0,1,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file10__sel-stride__mapg-window
query-d14e2e20f28668d1,query,musique_128k,Lead windows · k=2,independent,2,2000,0,2000,1,subspan_em,0.0,0.0,55,1396.6727272727273,76817,1.5738181818181816,213.5,0.007845051515838293,2.0,53,0,0,loft__musique_128k__Qwen_Qwen3-4B-Instruct-2507__structured__split-test__chunks-file2__sel-lead__mapg-window
