method,model,dataset,split,logical_kv_budget_gb,kv_budget_tokens,chunk_factor,chunk_tokens,press,search_k,em,subspan_em,f1,num_samples,scored,errors,unfinished,fit_failure_examples,document_coverage_fraction,effective_compression_factor,source_commit
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,2,13563,1,13563,no_press,0,0.05454545454545454,0.41818181818181815,0.1440812622353161,55,55,0,0,0,0.1360032622934396,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,2,13563,2,27126,kvzip,0,0.05454545454545454,0.4,0.1473730708738205,55,55,0,0,0,0.2410065926469159,1.999807601722296,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,2,13563,4,54252,kvzip,0,0.12727272727272726,0.41818181818181815,0.21932649591584474,55,55,0,0,0,0.4599279710691313,3.999051115940608,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,2,13563,8,108504,kvzip,0,0.05454545454545454,0.16363636363636364,0.08137394518817445,55,55,0,0,1,0.8909090909090909,7.995624638992973,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,4,27126,1,27126,no_press,0,0.01818181818181818,0.4,0.13085836649077756,55,55,0,1,0,0.25890079982013786,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,4,27126,2,54252,kvzip,0,0.16363636363636364,0.4,0.2545446726835763,55,55,0,0,0,0.4860001651794145,1.9999111195936186,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,4,27126,4,108504,kvzip,0,0.05454545454545454,0.21818181818181817,0.09629500275745337,55,55,0,0,1,0.9090909090909091,3.9996140730990515,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,8,54253,1,54253,no_press,0,0.12727272727272726,0.34545454545454546,0.21058835104289647,55,55,0,0,1,0.5168177115156816,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,nq_128k,test,8,54253,2,108506,kvzip,0,0.01818181818181818,0.2909090909090909,0.07251462893840344,55,55,0,0,1,0.8909090909090909,1.9996806112609098,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,2,13563,1,13563,no_press,0,0.05454545454545454,0.2,0.08430327014830902,55,55,0,0,0,0.13329208963219277,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,2,13563,2,27126,kvzip,0,0.10909090909090909,0.2909090909090909,0.16892445400827572,55,55,0,2,0,0.2892970910977622,1.9988869434717358,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,2,13563,4,54252,kvzip,0,0.03636363636363636,0.2,0.08280233956290294,55,55,0,1,0,0.508426728276727,4.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,2,13563,8,108504,kvzip,0,0.07272727272727272,0.2,0.10509000046828147,55,55,0,0,2,0.8363636363636363,7.961573036914428,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,4,27126,1,27126,no_press,0,0.09090909090909091,0.2727272727272727,0.1545911867084975,55,55,0,2,0,0.26652917830418504,1.0,c448c971e361d42c6628a607cfb551187cc8767d
RLM(new),Qwen/Qwen3-4B-Instruct-2507,hotpotqa_128k,test,4,27126,2,54252,kvzip,0,0.14545454545454545,0.2727272727272727,0.17020764990938972,55,55,0,1,0,0.4877269105463714,1.9996140166656664,c448c971e361d42c6628a607cfb551187cc8767d
