token_budget,context_length,answer,retained_kv_memory_mb,task,question,retained_kv_memory_gb,answer_prefix,max_new_tokens,kv_memory_per_token_kb,compression_ratio,retained_context_tokens,memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,memory_budget,uncompressed_kv_memory_mb,context_tokens
3051.0,32768,['France' 'France' 'France' 'France'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: In what country is Normandy located? ",0.199950336,Answer:,32,65.536,0.9025613183444047,3051.0,GB,2.052063232, France,0.2,2052.063232,31312.0
3051.0,32768,"['10th and 11th centuries' 'in the 10th and 11th centuries'
 '10th and 11th centuries' '10th and 11th centuries']",199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When were the Normans in Normandy? ",0.199950336,Answer:,32,65.536,0.9098404255319149,3051.0,GB,2.21773824, The Normans were in Normandy in the 11th century.,0.2,2217.73824,33840.0
3051.0,32768,"['Denmark, Iceland and Norway' 'Denmark, Iceland and Norway'
 'Denmark, Iceland and Norway' 'Denmark, Iceland and Norway']",199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: From which countries did the Norse originate? ",0.199950336,Answer:,32,65.536,0.9070723684210527,3051.0,GB,2.151677952," Denmark, Iceland, Norway",0.2,2151.677952,32832.0
3051.0,32768,['Rollo' 'Rollo' 'Rollo' 'Rollo'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the Norse leader? ",0.199950336,Answer:,32,65.536,0.9092315473180019,3051.0,GB,2.202861568, Rollo,0.2,2202.861568,33613.0
3051.0,32768,['10th century' 'the first half of the 10th century' '10th' '10th'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What century did the Normans first gain their separate identity? ",0.199950336,Answer:,32,65.536,0.9090367013505859,3051.0,GB,2.198142976, 10th century,0.2,2198.142976,33541.0
3051.0,32768,['William the Conqueror' 'William the Conqueror' 'William the Conqueror'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was the duke in the battle of Hastings? ",0.199950336,Answer:,32,65.536,0.9046771018839629,3051.0,GB,2.097610752, William II,0.2,2097.610752,32007.0
3051.0,32768,['Richard I' 'Richard I' 'Richard I'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who ruled the duchy of Normandy ",0.199950336,Answer:,32,65.536,0.9069249542403904,3051.0,GB,2.14827008, Rollo,0.2,2148.27008,32780.0
3051.0,32768,['Catholic' 'Catholic orthodoxy' 'Catholic'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What religion were the Normans ",0.199950336,Answer:,32,65.536,0.910264705882353,3051.0,GB,2.228224, Christianity,0.2,2228.224,34000.0
3051.0,32768,"['Viking' 'Norseman, Viking' 'Norseman, Viking']",199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the original meaning of the word Norman? ",0.199950336,Answer:,32,65.536,0.908786510807498,3051.0,GB,2.192113664, Norseman,0.2,2192.113664,33449.0
3051.0,32768,['9th century' '9th century' '9th century'],199.950336,qa_1,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: When was the Latin version of the word Norman first recorded? ",0.199950336,Answer:,32,65.536,0.9077439448459376,3051.0,GB,2.167341056, The Latin version of the word Norman was first recorded in the 9th century.,0.2,2167.341056,33071.0
