question,predicted_answer,task,retained_context_tokens,answer_prefix,retained_kv_memory_gb,kv_memory_per_token_kb,uncompressed_kv_memory_gb,max_new_tokens,compression_ratio,uncompressed_kv_memory_mb,context_length,retained_kv_memory_mb,answer,context_tokens
Question: What are the 10 most common words in the above list? ,"
1. liver
2. gherkin
3. promise
4. rally
5. ideology
6. trillion
7. probe
8. vigorous
9. nice
10. pinpoint",cwe,44361.0,Answer: The top 10 words that appear most often in the list are:,2.907242496,65.536,2.907242496,120,0.0,2907.242496,32768,2907.242496,"['pinpoint' 'vigorous' 'liver' 'ideology' 'trillion' 'nice' 'promise'
 'rally' 'gherkin' 'probe']",44361.0
Question: What are the 10 most common words in the above list? ,"
1. festival
2. classroom
3. divan
4. newsstand
5. signature
6. manhunt
7. thunder
8. bass
9. buffer
10. nerve",cwe,44468.0,Answer: The top 10 words that appear most often in the list are:,2.914254848,65.536,2.914254848,120,0.0,2914.254848,32768,2914.254848,"['buffer' 'manhunt' 'festival' 'nerve' 'thunder' 'newsstand' 'divan'
 'signature' 'bass' 'classroom']",44468.0
Question: What are the 10 most common words in the above list? ,"
1. lute
2. vendor
3. cilantro
4. foam
5. haste
6. labored
7. chafe
8. driveway
9. advent
10. say",cwe,44492.0,Answer: The top 10 words that appear most often in the list are:,2.915827712,65.536,2.915827712,120,0.0,2915.827712,32768,2915.827712,"['advent' 'haste' 'cilantro' 'say' 'labored' 'foam' 'lute' 'chafe'
 'vendor' 'driveway']",44492.0
Question: What are the 10 most common words in the above list? ,"
1. mallard
2. echidna
3. farrow
4. spat
5. score
6. variety
7. slot
8. card
9. queue
10. wildlife",cwe,44471.0,Answer: The top 10 words that appear most often in the list are:,2.914451456,65.536,2.914451456,120,0.0,2914.451456,32768,2914.451456,"['queue' 'variety' 'spat' 'wildlife' 'slot' 'score' 'farrow' 'card'
 'mallard' 'echidna']",44471.0
Question: What are the 10 most common words in the above list? ,"
1. enforcement
2. enrollment
3. poet
4. mutton
5. tortilla
6. rubber
7. wheel
8. cassock
9. sweets
10. plasterboard",cwe,44538.0,Answer: The top 10 words that appear most often in the list are:,2.918842368,65.536,2.918842368,120,0.0,2918.842368,32768,2918.842368,"['plasterboard' 'wheel' 'tortilla' 'enrollment' 'mutton' 'enforcement'
 'rubber' 'poet' 'sweets' 'cassock']",44538.0
Question: What are the 10 most common words in the above list? ,"
1. constant
2. spat
3. hoe
4. cube
5. maximum
6. arithmetic
7. metaphor
8. sore
9. pansy
10. step-father",cwe,44581.0,Answer: The top 10 words that appear most often in the list are:,2.921660416,65.536,2.921660416,120,0.0,2921.660416,32768,2921.660416,"['sore' 'pansy' 'step-father' 'maximum' 'metaphor' 'cube' 'hoe' 'constant'
 'arithmetic' 'spat']",44581.0
Question: What are the 10 most common words in the above list? ,"
1. crewmen
2. eggnog
3. royal
4. tacit
5. girdle
6. breeze
7. smoking
8. midden
9. finer
10. subdued",cwe,44567.0,Answer: The top 10 words that appear most often in the list are:,2.920742912,65.536,2.920742912,120,0.0,2920.742912,32768,2920.742912,"['finer' 'girdle' 'eggnog' 'royal' 'smoking' 'subdued' 'tacit' 'midden'
 'breeze' 'crewmen']",44567.0
Question: What are the 10 most common words in the above list? ,"
1. shoes
2. kingfish
3. sphynx
4. candidate
5. money
6. virtue
7. ecosystem
8. inscription
9. mislead
10. aboard",cwe,44579.0,Answer: The top 10 words that appear most often in the list are:,2.921529344,65.536,2.921529344,120,0.0,2921.529344,32768,2921.529344,"['mislead' 'virtue' 'money' 'ecosystem' 'inscription' 'aboard' 'sphynx'
 'kingfish' 'shoes' 'candidate']",44579.0
Question: What are the 10 most common words in the above list? ,"
1. asparagus
2. scene
3. racer
4. lute
5. spider
6. grand
7. correspondence
8. shoot
9. nod
10. briefly",cwe,44422.0,Answer: The top 10 words that appear most often in the list are:,2.911240192,65.536,2.911240192,120,0.0,2911.240192,32768,2911.240192,"['asparagus' 'grand' 'briefly' 'correspondence' 'shoot' 'lute' 'nod'
 'spider' 'scene' 'racer']",44422.0
Question: What are the 10 most common words in the above list? ,"
1. backbone
2. subsidence
3. government
4. conviction
5. borrower
6. digging
7. split
8. fugato
9. slider
10. bun",cwe,44537.0,Answer: The top 10 words that appear most often in the list are:,2.918776832,65.536,2.918776832,120,0.0,2918.776832,32768,2918.776832,"['digging' 'borrower' 'split' 'backbone' 'slider' 'subsidence' 'fugato'
 'bun' 'conviction' 'government']",44537.0
