id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,676,0.62,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,671,0.28,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,667,0.28,True,abstained
loft:musique_128k:3,,"[""1952""]",,670,0.29,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,673,0.29,True,abstained
loft:musique_128k:5,,"[""1941""]",,660,0.29,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,663,0.29,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,672,0.29,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,674,0.29,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",Final Answer: NOTHING RELEVANT,1241,2.86,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,662,0.29,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,663,0.29,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,672,0.26,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,669,0.26,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,664,0.21,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,668,0.12,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,658,0.25,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,668,0.3,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,675,0.3,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,662,0.3,True,abstained
loft:musique_128k:20,,"[""1952""]",,663,0.3,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,661,0.3,True,abstained
loft:musique_128k:22,,"[""1941""]",,660,0.3,True,abstained
loft:musique_128k:23,,"[""1941""]",,661,0.3,True,abstained
loft:musique_128k:24,,"[""five""]",,666,0.3,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,676,0.3,True,abstained
loft:musique_128k:26,,"[""1905""]",,661,0.3,True,abstained
loft:musique_128k:27,,"[""five""]",,669,0.3,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,673,0.3,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,672,0.3,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,674,0.3,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,663,0.3,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,662,0.26,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,662,0.26,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]","TITLE: Mississippi River | ID: 580  
Final Answer: ['the Mississippi River Delta']",986,2.29,True,structured_complete
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,663,0.25,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,667,0.26,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,659,0.21,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,669,0.22,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,660,0.21,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,667,0.21,True,abstained
loft:musique_128k:41,,"[""1905""]",,666,0.21,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,657,0.21,True,abstained
loft:musique_128k:43,,"[""22""]",,658,0.25,True,abstained
loft:musique_128k:44,,"[""1984""]",,662,0.25,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",,664,0.25,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,669,0.2,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,672,0.2,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,665,0.2,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,662,0.15,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,669,0.15,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,664,0.15,True,abstained
loft:musique_128k:52,,"[""1981""]",,666,0.17,True,abstained
loft:musique_128k:53,,"[""1981""]",,668,0.17,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,671,0.16,True,abstained
