id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  
TITLE: 2019 Burnie International – Men's Doubles | ID: 145  
TITLE: 2018 Kunming Open – Men's Doubles | ID: 449  
TITLE: 2018 Stockton Challenger – Men's Singles | ID: 578  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles""]",4700,21.27,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools (band) | ID: 25  
TITLE: Gorilla Biscuits | ID: 91  
TITLE: Walking Concert | ID: 113  
TITLE: Dead Heavens | ID: 734  

[""Rival Schools"", ""Gorilla Biscuits"", ""Youth of Today"", ""Walking Concert"", ""Dead Heavens""]  

Final Answer: [""Rival Schools"", ""Gorilla Biscuits"", ""Youth of Today"", ""Walking Concert"", ""Dead Heavens""]",4391,12.36,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Badr-4 | ID: 317  
TITLE: Arabsat-5A | ID: 355  
TITLE: Arabsat-1A | ID: 446  

Final Answer: [""Arabsat"", ""Arabsat-5A"", ""Arabsat-1A""]",4441,15.5,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Wiktionary | ID: 56  
TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  
TITLE: Diplopedia | ID: 740  

Final Answer: [""Wiktionary"", ""Veropedia"", ""Uncyclopedia"", ""Diplopedia""]",4373,13.99,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Helen Jenkins | ID: 29  
TITLE: Chrissie Wellington | ID: 32  
TITLE: Magali Messmer | ID: 178  
TITLE: Chris McCormack (triathlete) | ID: 281  
TITLE: Pete Jacobs (triathlete) | ID: 592  

[""Helen Jenkins"", ""Chrissie Wellington"", ""Magali Messmer"", ""Chris McCormack (triathlete)"", ""Pete Jacobs (triathlete)""]

Final Answer: [""Helen Jenkins"", ""Chrissie Wellington"", ""Magali Messmer"", ""Chris McCormack (triathlete)"", ""Pete Jacobs (triathlete)""]",5505,31.95,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Dimethylformamide | ID: 147  
TITLE: Collins reagent | ID: 216  
TITLE: Ethanol | ID: 419  
TITLE: Sodium azide | ID: 613  

[""dimethylformamide"", ""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)"", ""ethanol"", ""sodium azide""]  

Final Answer: [""dimethylformamide"", ""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)"", ""ethanol"", ""sodium azide""]",4486,15.52,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","[""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon"", ""Dosan Seowon""]

Final Answer: [""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon"", ""Dosan Seowon""]",5801,31.53,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","[""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]

Final Answer: [""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]",4872,18.9,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Knowshon Moreno | ID: 316  
TITLE: Christian Peter | ID: 430  
TITLE: Jeff Kunkel | ID: 537  

Final Answer: [""Knowshon Moreno"", ""Christian Peter"", ""Jeff Kunkel""]",4690,16.46,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2015 Città di Caltanissetta – Singles | ID: 52  
TITLE: 2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles | ID: 291  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
TITLE: 2016 Open Città della Disfida – Singles | ID: 669  

[""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]  
Final Answer: [""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]",4664,18.88,True,structured_complete
