id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
List:  
- Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.  

Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",5308,5.33,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
Final Answer: Spain",5337,7.94,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]",,4859,0.75,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
[""Haliaeetus""]

Final Answer: Haliaeetus",5104,2.23,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
Final Answer: during her encounter on the basestar orbiting Kobol in the episode ""Kobol's Last Gleaming""",5353,6.18,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,4517,0.72,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall  
ID: 270  

List:  
- Christopher Lloyd plays the Woodsman in *Over the Garden Wall*  

Final Answer: Christopher Lloyd plays the Woodsman in *Over the Garden Wall*",5358,3.2,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,4451,0.88,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film)  
ID: 490  

Final Answer: Glenn Close",4810,3.98,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: the Ramones",5384,4.45,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver  
ID: 64  

Final Answer: at least seven",5118,2.12,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",5316,3.76,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Final Answer: Hook",5145,2.8,True,structured_complete
loft:nq_128k:13,,"[""2011""]",,4796,0.95,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,4737,0.87,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,4448,0.73,True,abstained
