id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,3734,2.06,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,3557,1.39,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,3576,1.46,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,3817,1.61,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,3781,1.92,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,3829,1.41,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,3626,1.51,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,3638,1.57,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: The Man with the Iron Fists | ID: 818  
Final Answer: None of the provided documents identify the American film director and actor famous for his role as Donny ""The Bear Jew"" Donowitz as the writer of ""The Man with the Iron Fists"". The text states RZA co-wrote the film but does not link him to the role of Donny ""The Bear Jew"" Donowitz. Therefore, the query cannot be answered with the given information.",4468,10.79,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]",,3670,1.45,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]",,3751,1.48,True,abstained
loft:hotpotqa_128k:11,,"[""1940""]",,3819,1.52,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,3731,1.45,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,3820,1.92,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,3765,2.22,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,3733,2.49,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,3730,2.58,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,3644,2.06,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,3637,1.5,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",,3700,1.44,True,abstained
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,3647,1.41,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]","TITLE: BioShock Infinite | ID: 995  
Final Answer: 11 million",4135,4.69,True,structured_complete
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,3691,1.46,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,3876,2.15,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,3689,1.58,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,3598,1.41,True,abstained
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]",,3700,1.28,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",,3509,1.3,True,abstained
loft:hotpotqa_128k:28,,"[""no""]",,3754,1.56,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,3768,1.47,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,3692,1.55,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,3753,1.55,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,3680,2.06,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,3791,2.16,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,3800,2.06,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,3707,1.97,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,3724,1.36,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,3788,1.97,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,3872,2.24,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,3744,2.45,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]",,3634,2.41,True,abstained
loft:hotpotqa_128k:41,,"[""genus""]",,3696,2.26,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,3585,2.36,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,3599,2.08,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,3723,1.65,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,3925,1.44,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,3728,1.45,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,3844,1.63,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,3674,1.82,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,3800,1.53,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,3627,1.76,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,3732,1.63,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,3630,1.99,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,3719,2.02,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,3691,1.59,True,abstained
