id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,1455,1.55,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,1464,0.97,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,1416,1.36,True,abstained
loft:musique_128k:3,,"[""1952""]",,1169,0.63,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,1459,0.76,True,abstained
loft:musique_128k:5,,"[""1941""]",,1128,0.72,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,1138,0.85,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,1156,0.95,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,1444,0.72,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",,1137,0.6,True,abstained
loft:musique_128k:10,,"[""Rialto Bridge""]",,1355,0.69,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,1151,0.5,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,1166,0.49,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,1404,1.02,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,1442,0.8,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,1149,0.54,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,1402,0.79,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,1396,0.67,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,1438,0.66,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,1086,0.66,True,abstained
loft:musique_128k:20,,"[""1952""]",,1367,0.87,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,1091,0.54,True,abstained
loft:musique_128k:22,,"[""1941""]",,1367,1.17,True,abstained
loft:musique_128k:23,,"[""1941""]",,1357,1.37,True,abstained
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
- Nintendo's limit on games per developer per year for the platform with an abbreviated name that had the game Sunman was five games per year.

Final Answer: five",1828,3.02,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]",,1449,0.87,True,abstained
loft:musique_128k:26,,"[""1905""]",,1411,0.98,True,abstained
loft:musique_128k:27,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
- Nintendo's limit on games per developer per year on the platform with the three-letter abbreviation NES (which had the game Pinball Quest) was five games per year.

Final Answer: five games per year",1537,3.25,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]",,1459,0.71,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,1418,0.96,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,1436,0.86,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,1106,0.56,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,1095,0.51,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,1105,0.6,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,1390,0.84,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,1393,0.82,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,1378,1.05,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,1070,0.83,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]","TITLE: USS Sable (IX-81) | ID: 573  
Final Answer: NOTHING RELEVANT",1851,3.23,True,structured_complete
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,1390,0.62,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,1415,1.15,True,abstained
loft:musique_128k:41,,"[""1905""]",,1427,0.69,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,1331,0.7,True,abstained
loft:musique_128k:43,,"[""22""]",,1394,0.69,True,abstained
loft:musique_128k:44,,"[""1984""]",,1399,0.88,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",,1116,0.56,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,1136,0.56,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,1156,0.96,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,1403,0.63,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,1384,0.78,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,1465,0.65,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,1418,0.63,True,abstained
loft:musique_128k:52,,"[""1981""]",,1381,0.65,True,abstained
loft:musique_128k:53,,"[""1981""]",,1401,1.16,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,1414,0.68,True,abstained
