memory_budget_unit,uncompressed_kv_memory_gb,answer,retained_kv_memory_gb,token_budget,uncompressed_kv_memory_mb,task,retained_kv_memory_mb,retained_context_tokens,question,kv_memory_per_token_kb,predicted_answer,answer_prefix,memory_budget,compression_ratio,context_length,context_tokens,max_new_tokens
GB,2.2249472,['ZWEVP' 'UVERG' 'SILPF' 'KCFWN' 'KDCMP'],0.999948288,15258.0,2224.9472,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 90356 in the text above. ,65.536, ZWEVP UVERG SILPF KCFWN KDCMP,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 90356, they are: ",1.0,0.5505743740795287,32768,33950.0,30
GB,2.224750592,['PTTSC' 'DMGWH' 'WKESU' 'PDARR' 'IJEQG'],0.999948288,15258.0,2224.750592,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 81910 in the text above. ,65.536, PTTSC DMGWH WKESU PDARR IJEQG,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 81910, they are: ",1.0,0.5505346569652694,32768,33947.0,30
GB,2.224881664,['TLSEF' 'KIOSS' 'EZACD' 'YLBFC' 'AJZPN'],0.999948288,15258.0,2224.881664,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 66044 in the text above. ,65.536, TLSEF KIOSS EZACD YLBFC AJZPN,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 66044, they are: ",1.0,0.5505611358213791,32768,33949.0,30
GB,2.225209344,['UJKPN' 'TBCHV' 'XJZHP' 'FYOGK' 'CBHYU'],0.999948288,15258.0,2225.209344,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 77214 in the text above. ,65.536, UJKPN TBCHV XJZHP FYOGK CBHYU,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 77214, they are: ",1.0,0.5506273193143665,32768,33954.0,30
GB,2.225209344,['IYNAV' 'GCRVB' 'YMJXG' 'YRXMF' 'TWFFG'],0.999948288,15258.0,2225.209344,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 43827 in the text above. ,65.536, IYNAV GCRVB YMJXG YRXMF TWFFG,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 43827, they are: ",1.0,0.5506273193143665,32768,33954.0,30
GB,2.2249472,['XHFOB' 'UMONK' 'REZSL' 'RAFPI' 'PGOGM'],0.999948288,15258.0,2224.9472,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 65820 in the text above. ,65.536, XHFOB UMONK REZSL RAFPI PGOGM,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 65820, they are: ",1.0,0.5505743740795287,32768,33950.0,30
GB,2.225078272,['UTMAK' 'DXQNI' 'MGWBC' 'EFGVC' 'TGJOV'],0.999948288,15258.0,2225.078272,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 72623 in the text above. ,65.536, UTMAK DXQNI MGWBC EFGVC TGJOV,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 72623, they are: ",1.0,0.5506008482563619,32768,33952.0,30
GB,2.22527488,['DEVIQ' 'OWBEF' 'IHGQH' 'LWJPZ' 'KEASR'],0.999948288,15258.0,2225.27488,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 91734 in the text above. ,65.536, DEVIQ OWBEF IHGQH LWJPZ KEASR,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 91734, they are: ",1.0,0.5506405536739802,32768,33955.0,30
GB,2.225012736,['DNEAJ' 'XWMWY' 'ODYOP' 'LTWLQ' 'NXMFC'],0.999948288,15258.0,2225.012736,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 85450 in the text above. ,65.536, DNEAJ XWMWY ODYOP LTWLQ NXMFC,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 85450, they are: ",1.0,0.5505876115578334,32768,33951.0,30
GB,2.225078272,['JKOKE' 'TKJGK' 'GTXUR' 'HTVKW' 'EHQQH'],0.999948288,15258.0,2225.078272,vt,999.948288,15258.0,Question: Find all variables that are assigned the value 32299 in the text above. ,65.536, JKOKE TKJGK GTXUR HTVKW EHQQH,"Answer: According to the chain(s) of variable assignment in the text above, 5 variables are assgined the value 32299, they are: ",1.0,0.5506008482563619,32768,33952.0,30
