id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,3721,5.26,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,3686,5.21,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,3751,5.35,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,3716,5.23,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,3691,5.28,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,3756,4.74,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,3706,4.13,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,3691,4.46,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,3811,5.49,True,abstained
loft:hotpotqa_128k:9,,"[""Washington State""]",,3721,5.31,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]",,3781,5.12,True,abstained
loft:hotpotqa_128k:11,,"[""1940""]",,3791,4.95,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,3726,4.3,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,3756,4.59,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,3721,3.63,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,3731,3.28,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,3696,3.97,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,3766,3.24,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,3741,4.18,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",,3701,3.3,True,abstained
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,3721,3.22,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]",,3716,3.15,True,abstained
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,3721,3.11,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,3731,2.72,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,3791,3.43,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,3706,3.84,True,abstained
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]",,3691,4.34,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",,3706,3.26,True,abstained
loft:hotpotqa_128k:28,,"[""no""]",,3706,3.92,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,3756,4.38,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,3711,3.62,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,3701,5.37,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,3706,3.68,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,3746,3.17,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,3721,2.53,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,3731,2.74,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,3736,2.22,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,3761,2.97,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,3771,2.76,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,3691,2.2,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]","TITLE: Hkamti Township in Hkamti District in the Sagaing Region of northwestern Burma. | ID: 4

Final Answer: Sagaing Region",4064,9.78,True,structured_complete
loft:hotpotqa_128k:41,,"[""genus""]",,3711,3.4,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,3691,4.1,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,3721,3.66,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,3686,3.43,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,3791,4.61,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,3716,4.89,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,3751,4.22,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,3711,3.32,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,3756,3.09,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,3701,3.12,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,3681,3.58,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,3721,3.58,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,3701,4.55,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]","TITLE: Sampha | ID: 12  
- The British singer is Sampha.  
- His debut album, ""Process"", won the 2017 Mercury Prize.

Final Answer: Mercury Prize",4212,15.35,True,structured_complete
