id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,3378,6.27,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,3383,5.18,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]",,3383,5.27,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,3373,4.11,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,3383,3.18,True,abstained
loft:nq_128k:5,,"[""Nala""]",,3378,3.03,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,3383,2.84,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,3388,3.0,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,3408,4.15,True,abstained
loft:nq_128k:9,,"[""the Ramones""]",,3378,4.59,True,abstained
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,3388,4.33,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,3383,4.37,True,abstained
loft:nq_128k:12,,"[""Hook""]",,3383,3.08,True,abstained
loft:nq_128k:13,,"[""2011""]",,3378,3.87,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,3373,3.83,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,3383,3.41,True,abstained
loft:nq_128k:16,,"[""the primal rib""]",,3378,2.83,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,3383,2.59,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,3373,3.6,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,3388,4.68,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,3403,4.92,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,3383,4.85,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,3378,5.08,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,3398,4.81,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]",,3378,5.43,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,3393,4.39,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,3403,5.02,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,3378,4.38,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,3383,3.85,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,3378,4.11,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,3383,4.42,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,3383,5.17,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,3388,4.94,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,3388,4.69,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,3388,3.72,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,3393,2.48,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,3433,3.3,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,3378,3.36,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,3393,4.25,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,3403,3.63,True,abstained
loft:nq_128k:40,,"[""Manchuria""]",,3383,3.18,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]","TITLE: A Chinese Odyssey | ID: 2  
NOTHING RELEVANT

Final Answer: NOTHING RELEVANT",3905,24.1,True,structured_complete
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,3373,3.02,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,3388,2.34,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,3403,3.32,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,3378,4.26,True,abstained
loft:nq_128k:46,,"[""metaphase""]",,3403,3.54,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,3388,2.87,True,abstained
loft:nq_128k:48,,"[""imperial rule""]",,3378,2.86,True,abstained
loft:nq_128k:49,,"["".java""]",,3388,3.86,True,abstained
loft:nq_128k:50,,"[""2003""]",,3398,4.4,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,3378,4.15,True,abstained
loft:nq_128k:52,,"[""2%""]",,3373,4.24,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,3378,4.19,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,3413,4.06,True,abstained
