id,answers,prediction,tokens,latency_s,score
loft:musique_128k:0,"[""Al - Aqsa Mosque""]",,126793,28.76,0.0
loft:musique_128k:1,"[""Oriole Records.""]",,126700,26.63,0.0
loft:musique_128k:2,"[""Sales began worldwide in April 2012""]",,126647,25.66,0.0
loft:musique_128k:3,"[""1952""]",Final Answer: [],126974,30.66,0.0
loft:musique_128k:4,"[""Oriole Records.""]","TITLE: Changes Two | ID: 377  
Final Answer: Atlantic Records",128200,68.52,0.0
loft:musique_128k:5,"[""1941""]","TITLE: Siddhi Savetsila | ID: 108  
TITLE: Colony of Vancouver Island | ID: 135  

Final Answer: [none]",127046,36.86,0.0
loft:musique_128k:6,"[""island Koh Phi Phi""]","TITLE: Siddhi Savetsila | ID: 108  
TITLE: The Beach (film) | ID: 308  
TITLE: San Miguel de Allende | ID: 272  

- The Beach was filmed in Koh Phi Phi, Thailand.  

Final Answer: Koh Phi Phi, Thailand",127721,53.17,0.0
loft:musique_128k:7,"[""Francisco Guterres""]",,126727,30.94,0.0
loft:musique_128k:8,"[""the country of India""]","TITLE: Religion in Asia | ID: 514  
TITLE: Hindus | ID: 540  
TITLE: Partition of India | ID: 578  

Final Answer: Hinduism",128600,88.67,0.0
loft:musique_128k:9,"[""1,400 years""]","TITLE: Southeast Asia | ID: 823  
Final Answer: ['1400 years ago']",126993,27.42,1.0
loft:musique_128k:10,"[""Rialto Bridge""]","TITLE: La Silvia | ID: 809  
TITLE: Milan | ID: 813  
Final Answer: ['Milan']",126858,29.63,0.0
loft:musique_128k:11,"[""16th - century""]","TITLE: Al gran sole carico d'amore | ID: 526  
TITLE: The Merchant of Venice | ID: 760  

Final Answer: cannot be determined",127400,57.45,0.0
loft:musique_128k:12,"[""Francisco Guterres""]","TITLE: Timor - Leste | ID: 514  
TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598  

Final Answer:",127612,47.96,0.0
loft:musique_128k:13,"[""Rialto Bridge""]","TITLE: Mandolin | ID: 565

Final Answer: NOTHING RELEVANT",127250,42.49,0.0
loft:musique_128k:14,"[""Toronto Coach Terminal""]","TITLE: Aaron Spelling | ID: 320  
TITLE: New York City | ID: 324  

Final Answer: New York City",127212,46.38,0.0
