token_budget,context_length,answer,retained_kv_memory_mb,task,question,retained_kv_memory_gb,answer_prefix,max_new_tokens,kv_memory_per_token_kb,compression_ratio,retained_context_tokens,memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,memory_budget,uncompressed_kv_memory_mb,context_tokens
12207.0,32768,['0024da9c-6399-4571-bf50-62f31677a532'],799.997952,niah_multikey_3,What is the special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text? ,0.799997952,The special magic uuid for 1aa4fb78-aecd-4cff-9e34-12aac45dab85 mentioned in the provided text is,128,65.536,0.7121262145080653,12207.0,GB,2.778988544,":

**0024da9c-6399-4571-bf50-62f31677a532**",0.8,2778.988544,42404.0
12207.0,32768,['e05e8dcd-0ae1-4add-96ff-6a056835b9c6'],799.997952,niah_multikey_3,What is the special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text? ,0.799997952,The special magic uuid for cea97194-cbd6-4e75-bf45-4da8414ecf02 mentioned in the provided text is,128,65.536,0.7124313882541402,12207.0,GB,2.781937664,":

**e05e8dcd-0ae1-4add-96ff-6a056835b9c6**",0.8,2781.937664,42449.0
12207.0,32768,['120129ac-37ab-4b4f-9116-0c97e42242a7'],799.997952,niah_multikey_3,What is the special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text? ,0.799997952,The special magic uuid for 7f7fcbe8-db4c-4d45-81e6-478a3e81d07d mentioned in the provided text is,128,65.536,0.7121397915389331,12207.0,GB,2.779119616,":

**120129ac-37ab-4b4f-9116-0c97e42242a7**",0.8,2779.119616,42406.0
12207.0,32768,['6a33a75b-24bc-4ed7-886a-126820ffc695'],799.997952,niah_multikey_3,What is the special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text? ,0.799997952,The special magic uuid for f0fbf9d5-1507-493e-b6e9-62b392027568 mentioned in the provided text is,128,65.536,0.7125938831728392,12207.0,GB,2.783510528,":

**6a33a75b-24bc-4ed7-886a-126820ffc695**",0.8,2783.510528,42473.0
12207.0,32768,['adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6'],799.997952,niah_multikey_3,What is the special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text? ,0.799997952,The special magic uuid for f2816bb9-449d-445a-a2d1-5afcd754c81f mentioned in the provided text is,128,65.536,0.7121940868581129,12207.0,GB,2.779643904,":

**adad84f5-bfc9-4c9a-aa4a-78e3b9dc97f6**",0.8,2779.643904,42414.0
12207.0,32768,['1774f846-e012-403b-b453-06bc39a9db7e'],799.997952,niah_multikey_3,What is the special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text? ,0.799997952,The special magic uuid for d7e56b59-7163-4a74-a54a-6ff45e8f972e mentioned in the provided text is,128,65.536,0.7119767825963852,12207.0,GB,2.777546752,":

**1774f846-e012-403b-b453-06bc39a9db7e**",0.8,2777.546752,42382.0
12207.0,32768,['c18c3b37-7d30-45e4-ba75-ede5f2a1101b'],799.997952,niah_multikey_3,What is the special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text? ,0.799997952,The special magic uuid for 43b46106-f69a-48c3-aada-abb937ebb070 mentioned in the provided text is,128,65.536,0.7120854757299873,12207.0,GB,2.778595328,":

**c18c3b37-7d30-45e4-ba75-ede5f2a1101b**",0.8,2778.595328,42398.0
12207.0,32768,['951f697e-f17a-41a0-a4d8-c429822ab84d'],799.997952,niah_multikey_3,What is the special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text? ,0.799997952,The special magic uuid for 7260291c-85b4-4734-b736-c7e2350c8f08 mentioned in the provided text is,128,65.536,0.7126277131691698,12207.0,GB,2.783838208,":

**951f697e-f17a-41a0-a4d8-c429822ab84d**",0.8,2783.838208,42478.0
12207.0,32768,['a51ca362-f253-4ad3-91d2-152922091ae2'],799.997952,niah_multikey_3,What is the special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text? ,0.799997952,The special magic uuid for 8a165f29-ec4c-4297-a5e7-3f5b0858d8f4 mentioned in the provided text is,128,65.536,0.7124449365150409,12207.0,GB,2.782068736,":

**a51ca362-f253-4ad3-91d2-152922091ae2**",0.8,2782.068736,42451.0
12207.0,32768,['3a7d2d30-1405-4e55-bdf0-fbd1e274359a'],799.997952,niah_multikey_3,What is the special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text? ,0.799997952,The special magic uuid for 7ab4ab80-4b0c-4c1a-8438-a400ca093398 mentioned in the provided text is,128,65.536,0.7128305260186318,12207.0,GB,2.785804288,":

**3a7d2d30-1405-4e55-bdf0-fbd1e274359a**",0.8,2785.804288,42508.0
12207.0,32768,['8c5b4514-733a-4736-9a19-1a42d58707b7'],799.997952,niah_multikey_3,What is the special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text? ,0.799997952,The special magic uuid for 25e6fca5-001a-45fb-bc5c-364d55343d8f mentioned in the provided text is,128,65.536,0.7120039635728779,12207.0,GB,2.777808896,":

**8c5b4514-733a-4736-9a19-1a42d58707b7**",0.8,2777.808896,42386.0
12207.0,32768,['c73ed342-6523-4d4b-aa33-beb1c9007315'],799.997952,niah_multikey_3,What is the special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text? ,0.799997952,The special magic uuid for 5ae7ff5d-8677-43b8-8dc3-a23c892ea2a6 mentioned in the provided text is,128,65.536,0.7120039635728779,12207.0,GB,2.777808896,":

**c73ed342-6523-4d4b-aa33-beb1c9007315**",0.8,2777.808896,42386.0
