id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,3055,0.95,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,3011,0.67,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,3038,0.7,True,abstained
loft:musique_128k:3,,"[""1952""]",,3050,0.64,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,3187,0.77,True,abstained
loft:musique_128k:5,,"[""1941""]",,2963,0.71,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,3062,0.65,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]","TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598

Final Answer: Susilo Bambang Yudhoyono",4013,7.2,True,structured_complete
loft:musique_128k:8,,"[""the country of India""]",,3005,0.82,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",Final Answer: [],3716,4.57,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,3143,0.64,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,3074,0.7,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]","TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598

Final Answer: None of the documents provide the president of the newly declared independent country (East Timor). The president of Indonesia (where Pantar is found) is Susilo Bambang Yudhoyono, but the president of East Timor is not mentioned.",3905,7.93,True,structured_complete
loft:musique_128k:13,,"[""Rialto Bridge""]","TITLE: Mandolin | ID: 565

Final Answer: NOTHING RELEVANT",3508,2.67,True,structured_complete
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,3055,0.77,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,2945,0.58,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,3013,0.63,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]","TITLE: Gothic architecture | ID: 776  
Final Answer: 15th century",3330,2.31,True,structured_complete
loft:musique_128k:18,,"[""June 1941""]",,2748,0.53,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]","TITLE: Yankee Stadium | ID: 216  
Answer: [Yankees]  
Final Answer: Yankees",3464,3.14,True,structured_complete
loft:musique_128k:20,,"[""1952""]",,3147,0.71,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,3139,0.64,True,abstained
loft:musique_128k:22,,"[""1941""]",,3010,0.66,True,abstained
loft:musique_128k:23,,"[""1941""]",,3014,0.77,True,abstained
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
Final Answer: ['five games per year']",3540,6.61,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]","TITLE: Partition of India | ID: 578

Final Answer: Hinduism",3328,2.12,True,structured_complete
loft:musique_128k:26,,"[""1905""]","TITLE: Allen, Arizona | ID: 315

Final Answer: nothing relevant",3472,3.42,True,structured_complete
loft:musique_128k:27,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
Final Answer: ['five games per year']",3221,4.39,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]",,3187,0.77,True,abstained
