kv_memory_per_token_kb,memory_budget,uncompressed_kv_memory_mb,answers,compression_ratio,retained_kv_memory_gb,retained_kv_memory_mb,token_budget,memory_budget_unit,context_tokens,task,max_new_tokens,predicted_answer,split,question,answer_prefix,retained_context_tokens,uncompressed_kv_memory_gb
147.456,512.0,7325.466624,['Mazda'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Mazda'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Chino Moreno'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Chino Moreno'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Hot Lead and Cold Feet'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Hot Lead and Cold Feet'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Edward Albert Heimberger'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Johnny Schaeffer (actor)'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['yes'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256," ['Scott Derrickson (art collector)', 'Ed Wood']",dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Podocarpus'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Osmunda'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['cockpit'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['La Machine à écrire'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Sunday'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Monday'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Brent Burns'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Brian A. Miller'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['orange'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Sunkist (soft drink)'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Dan Bilzerian'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['USS PGM-18'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,"[""Laura's Star""]",0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['Wonder Woman (2009 film)'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which film was released first, Laura's Star or Wonder Woman?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['in 2000'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['2013'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,['Araminta Ross'],0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['A Woman Called Moses (film)'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the birth name of the woman that ""A Woman Called Moses"" is based on?
",Final Answer: ,3472.0,7.325466624
147.456,512.0,7325.466624,"['Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")']",0.9301113146399888,0.511967232,511.967232,3472.0,MB,49679.0,hotpotqa_32k,256, ['The Greenwood School'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arundel Castle was damaged during a war between which two groups?
",Final Answer: ,3472.0,7.325466624
