memory_budget,task,retained_kv_memory_mb,uncompressed_kv_memory_gb,question,uncompressed_kv_memory_mb,kv_memory_per_token_kb,split,answer_prefix,retained_kv_memory_gb,max_new_tokens,context_tokens,memory_budget_unit,retained_context_tokens,token_budget,compression_ratio,predicted_answer,answers
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"0

Title: How plague occurred in the birth city of the composer of Nulla in mundo pax sincera?  
ID: 337

The document titled ""Super Nintendo Entertainment System"" (ID: 337) mentions that the ""Nulla in mundo pax sincera"" (which translates to ""Peace in the World"" in a musical context) was a song by the composer of the ""Nulla in mundo pax sincera"" piece. However, it",['22']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Seal"" in the U.S. military branch that operates a list of destroyer classes and the USS Stag  
   **ID:** 1

2. **Title:** ""Seal"" in the U.S. military branch that operates a list of destroyer classes and the USS Stag  
   **ID:** 2

**Answer List:**
- The term ""Seal"" in the U.S. military branch refers to the U.S. Navy's use","['Sea, Air, and Land']"
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"0

**Title:** House of Representatives and Senate: Legislative Branch of the U.S. Government  
**ID:** 1

The political party that Alaska generally supports is the Republican Party. The document indicates that the ""determiner of the rules"" of the U.S. House and Senate is the ""determiner of the rules,"" which is part of the legislative process. However, the specific information about when the Republican Party took control of the determiner of the rules is not directly provided",['January 2015']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county.

**Document Used:**
- Title: 1993 Indy Car Race
- ID: 337

**Answer:**
- The 1993 Indy Car Race was held in the largest city of the state where the library district and the city of Yuma share the same county. The winner of this race is not explicitly",['Mario Andretti']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?""  
   **ID**: 1

**Answer**:
- The county where KRSU is licensed to broadcast is the ""Scotsburn"" area in the ""Scot's"" county.
- The capital of the county that shares a border with the county where KRSU is licensed to broadcast is ""Scot's"" county's capital,",['Green Bay']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?""  
   **ID:** 1

2. **Title:** ""What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?""  
   **ID:** 2

**Answer List:**
- The deepest part of the ocean is the Mariana Trench, which is located",['Milwaukee Deep']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""The Country of the Mother of Marie Antoinette""  
   **ID:** 1  
   **Answer:** The largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated is not explicitly mentioned in the provided documents. However, the context suggests that the medical school in question is related to the historical background of the French Revolution and the relocation of expelled French Jews, which may be connected",['Medical University of Warsaw']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title**: ""In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?""  
   **ID**: 1

**Answer List:**
- The sermon on Marian devotion was preached by Walter Sabo, who was associated with the man who wanted to reform the religion of Victor Razafimahatratra.
- The district where this sermon was preached is in the",['Saxony-Anhalt']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1. **Title:** ""Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?""  
**ID:** 1

**Answer:**
- The country that hosted the tournament is the one where the Dam is located, which is the country that is the natural boundary.  
- The school system in this country is run by the central government, as indicated by the mention of ""the school system"" and the",['the Ministry of Education']
512.0,musique_128k,511.967232,17.613029376,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",17613.029376,147.456,dev,Final Answer: ,0.511967232,256,119446.0,MB,3472.0,3472.0,0.9709324715771144,"1

**Title:** ""Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?""

**ID:** 1

**Answer:**
- The university of the state having Fort Hill (likely referring to the ""Fort Hill"" mentioned in the document) is associated with the ""U.S. Army"" and ""national championships.""
- The university of the state whose primary was won by Edwards (likely",['University of South Carolina']
