id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Stockton Challenger – Men's Singles | ID: 578  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Stockton Challenger – Men's Singles""]  

Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Stockton Challenger – Men's Singles""]",4183,6.85,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Gorilla Biscuits | ID: 91  
TITLE: Walking Concert | ID: 113  
TITLE: Quicksand (American band) | ID: 752  

[""Rival Schools"", ""Gorilla Biscuits"", ""Walking Concert"", ""Quicksand""]  

Final Answer: [""Rival Schools"", ""Gorilla Biscuits"", ""Walking Concert"", ""Quicksand""]",4812,10.56,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","[""Badr-4 (a.k.a. Arabsat 4B)"", ""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT (previously known as Arabsat-1C)""]

Final Answer: [""Badr-4 (a.k.a. Arabsat 4B)"", ""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT (previously known as Arabsat-1C)""]",4388,8.92,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]",,3643,1.35,True,abstained
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
[""Pete Jacobs""]  

Final Answer: [""Pete Jacobs""]",4003,4.69,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
- Collins reagent can be used as an alternative to the Jones reagent and pyridinium chlorochromate (PCC) when oxidizing secondary alcohols to ketones.  
- PCC and pyridinium dichromate (PDC) oxidations have largely supplanted Collins oxidation.  

Answer list:  
- Collins reagent  
- Jones reagent  
- pyridinium chlorochromate (PCC)  
- pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""pyridinium chlorochromate (PCC)"", ""pyridinium dichromate (PDC)""]",4418,7.43,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]",,3385,1.1,True,abstained
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: 2018 BNP Paribas Primrose Bordeaux – Singles | ID: 717  

[""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]  
Final Answer: [""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]",5032,11.11,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","[""Knowshon Rockwell Moreno"", ""Jeff Kunkel""]

Final Answer: [""Knowshon Rockwell Moreno"", ""Jeff Kunkel""]",4166,5.05,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles | ID: 291  
TITLE: 2016 Stockholm Open – Doubles | ID: 448  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  

[""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]  
Final Answer: [""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]",4571,8.35,True,structured_complete
