id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,946,0.97,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,941,0.22,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,937,0.28,True,abstained
loft:musique_128k:3,,"[""1952""]",,940,0.21,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,943,0.21,True,abstained
loft:musique_128k:5,,"[""1941""]",,930,0.22,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,933,0.24,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,942,0.2,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,944,0.2,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",Final Answer: [],1335,1.89,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,932,0.22,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,933,0.23,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,942,0.21,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,939,0.21,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,937,0.25,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,941,0.2,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,928,0.19,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,938,0.19,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,945,0.19,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,932,0.19,True,abstained
loft:musique_128k:20,,"[""1952""]",,933,0.22,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,931,0.22,True,abstained
loft:musique_128k:22,,"[""1941""]",,930,0.22,True,abstained
loft:musique_128k:23,,"[""1941""]",,931,0.19,True,abstained
loft:musique_128k:24,,"[""five""]",,936,0.19,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,946,0.22,True,abstained
loft:musique_128k:26,,"[""1905""]",,931,0.19,True,abstained
loft:musique_128k:27,,"[""five""]",,939,0.19,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,943,0.19,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,942,0.19,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,944,0.24,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,933,0.23,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,932,0.23,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,932,0.24,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]","TITLE: Write This Down | ID: 440  
TITLE: Mississippi River | ID: 580  

Final Answer: ['the Mississippi River Delta']",1235,1.29,True,structured_complete
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,933,0.21,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,937,0.23,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,929,0.17,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,939,0.13,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,930,0.13,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,937,0.13,True,abstained
loft:musique_128k:41,,"[""1905""]",,936,0.13,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,927,0.16,True,abstained
loft:musique_128k:43,,"[""22""]",,928,0.13,True,abstained
loft:musique_128k:44,,"[""1984""]",,932,0.13,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",,934,0.13,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,939,0.15,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,942,0.19,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,935,0.15,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,932,0.14,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,939,0.16,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,934,0.14,True,abstained
loft:musique_128k:52,,"[""1981""]",,936,0.13,True,abstained
loft:musique_128k:53,,"[""1981""]",,938,0.13,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,941,0.13,True,abstained
