id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,4531,2.18,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,3443,1.11,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",4959,4.63,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]",,4519,1.31,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica)  
ID: 763  

Final Answer:",5039,4.92,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,3424,0.65,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,4587,0.86,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree  
ID: 808  

Final Answer: Charlotte of Mecklenburg-Strelitz",5138,5.23,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]",,3426,1.03,True,abstained
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
TITLE: I wanna be sedated | ID: 124  

List:  
- the Ramones  

Final Answer: the Ramones",5717,12.86,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,4515,1.24,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,3361,1.66,True,abstained
loft:nq_128k:12,,"[""Hook""]",,4595,2.61,True,abstained
loft:nq_128k:13,,"[""2011""]",,4585,2.02,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,4586,0.89,True,abstained
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The authority or governing body of the MCA is the Ministry of Corporate Affairs, which is an Indian government ministry.",5132,8.09,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]",,3424,1.3,True,abstained
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",5077,9.19,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,4561,2.05,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,4548,1.22,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,3438,1.87,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,3389,0.88,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,3372,0.85,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire | ID: 875  
- Akbar the Great

Final Answer: Akbar the Great",4828,3.04,True,structured_complete
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56) | ID: 26  
Final Answer: 24 November 1949",4975,3.53,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat  
ID: 760  

Final Answer: Nepal",4966,3.69,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]",,4557,1.01,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,4527,1.16,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
[""Richard Parker""]

Final Answer: Richard Parker",4772,2.15,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,4590,1.15,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]","TITLE: Mexico at the 2018 Winter Olympics | ID: 386  
Mexico played in the Winter Olympics from 9 to 25 February 2018.

Final Answer: 9 to 25 February 2018",4912,4.21,True,structured_complete
loft:nq_128k:31,,"[""CeCe Drake""]","TITLE: A (Pretty Little Liars) | ID: 255  
List:  
- CeCe Drake is the second ""A"" and the leader of the ""A-Team"".  

Final Answer: CeCe Drake",5327,7.4,True,structured_complete
loft:nq_128k:32,,"[""Grisha""]","TITLE: Intoxication defense | ID: 506  
Final Answer: NOTHING RELEVANT",5118,6.37,True,structured_complete
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]","TITLE: Serous membrane  
ID: 269  

Final Answer: serous membrane (or serosa)",4976,3.1,True,structured_complete
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: The Star-Spangled Banner | ID: 855  
Final Answer: 1932",5336,11.79,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
Final Answer: phosphorus pentoxide",4868,3.13,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]",,3482,0.79,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon | ID: 724  
List:  
- Gideon dies in the season ten episode ""Nelson's Sparrow"".  

Final Answer: season ten episode ""Nelson's Sparrow""",4977,4.46,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]",,4644,1.15,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,3432,0.71,True,abstained
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.

Final Answer: the Jurchen Aisin Gioro clan in Manchuria",4899,3.08,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,3369,0.65,True,abstained
