id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Stockton Challenger – Men's Singles | ID: 578  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Stockton Challenger – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Stockton Challenger – Men's Singles""]",11135,11.91,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools (band) | ID: 25  
TITLE: Gorilla Biscuits | ID: 91  
TITLE: Quicksand (American band) | ID: 752  

Final Answer: [""Rival Schools (band)"", ""Gorilla Biscuits"", ""Quicksand (American band)""]",12470,12.05,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Badr-4  
ID: 317  

TITLE: Arabsat-1A  
ID: 446  

The Arab Satellite Communications Organization owns Arabsat, which operates the Badr-4 (a.k.a. Arabsat 4B) communications satellite.

Final Answer: [""Arabsat""]",11675,12.12,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Veropedia"", ""Uncyclopedia""]  
Final Answer: [""Veropedia"", ""Uncyclopedia""]",11894,9.74,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
[""Pete Jacobs""]  

Final Answer: [""Pete Jacobs""]",10652,7.3,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
The only reagent compound mentioned in the notes is Collins reagent.

Final Answer: [""Collins reagent""]",10987,8.15,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",11391,11.59,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","[""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]  
Final Answer: [""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]",12248,14.14,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","[""Christian Peter"", ""Melanie McGuire"", ""Jeff Kunkel"", ""Howard Barbieri""]

Final Answer: [""Christian Peter"", ""Melanie McGuire"", ""Jeff Kunkel"", ""Howard Barbieri""]",11149,13.9,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
[""2017 Internationaux de Tennis de Vendée – Singles""]  

Final Answer: [""2017 Internationaux de Tennis de Vendée – Singles""]",11079,6.96,True,structured_complete
loft:qampari_128k:10,,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]","TITLE: Dustin Lynch | ID: 347  
TITLE: Antonio London | ID: 643  
TITLE: Jordan Sheffield | ID: 645  

List:  
- Dustin Lynch is a Tullahoma High School alumnus, having graduated in 2003.  
- Antonio Monte ""Stick"" London is a Tullahoma High School alumnus, having lettered in basketball, baseball, football, and track.  
- Jordan Ladon Sheffield is a Tullahoma High School alumnus, having attended the school before needing Tommy John surgery.

Final Answer: [""Dustin Lynch"", ""Antonio London"", ""Jordan Sheffield""]",11755,17.57,True,structured_complete
loft:qampari_128k:11,,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]","[""Conditional Release (2016)""]",12150,14.02,True,structured_complete
loft:qampari_128k:12,,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]","TITLE: Jerry Janes | ID: 13  
TITLE: Ron Rivera | ID: 413  
TITLE: Ego Ferguson | ID: 564  

Final Answer: [""Ron Rivera""]",12408,24.58,True,structured_complete
loft:qampari_128k:13,,"[""Chamarajendra Wadiyar X"", ""Kanthirava Narasaraja I"", ""Kanthirava Narasaraja II"", ""Krishnaraja Wadiyar II"", ""Krishnaraja Wadiyar III"", ""Mir Ghulam Ali""]","TITLE: Krishnaraja Wadiyar II | ID: 698  
TITLE: Krishnaraja Wadiyar III | ID: 742  

[""the Wadiyar dynasty""]",12300,20.87,True,structured_complete
loft:qampari_128k:14,,"[""Gourdou-Leseurre GL-812 HY"", ""Gourdou-Leseurre GL-832 HY"", ""Gourdou-Leseurre GL.2"", ""Gourdou-Leseurre GL.30"", ""Gourdou-Leseurre GL.50""]","TITLE: Leseurre GL.2 | ID: 44  
TITLE: Gourdou-Leseurre GL-812 HY | ID: 258  
TITLE: Gourdou-Leseurre GL-832 HY | ID: 332  
TITLE: Gourdou-Leseurre GL.50 | ID: 494  
TITLE: Gourdou-Leseurre GL.30 | ID: 569  

Final Answer: [""GL.2"", ""GL-812 HY"", ""GL-832 HY"", ""GL.50"", ""GL.30""]",13931,51.6,True,structured_complete
loft:qampari_128k:15,,"[""Charles Eastman"", ""Little Crow"", ""Sitting Bull"", ""Spotted Elk"", ""Zitkala-Sa""]","[""none""]",11830,8.88,True,structured_complete
loft:qampari_128k:16,,"[""Amy Fote"", ""Connor Walsh"", ""Jun Shuang Huang"", ""Simon Ball"", ""Stanton Welch""]","TITLE: Jun Shuang Huang | ID: 573  
TITLE: Simon Ball | ID: 590  

List:  
- Jun Shuang Huang was formerly employed by the Houston Ballet  
- Simon Ball was formerly employed by the Houston Ballet  

Final Answer: [""Jun Shuang Huang was formerly employed by the Houston Ballet"", ""Simon Ball was formerly employed by the Houston Ballet""]",11047,8.51,True,structured_complete
loft:qampari_128k:17,,"[""Carlos García Cambón"", ""Gustavo Alfaro"", ""Jorge José Benítez"", ""Mario Fortunato"", ""Miguel Ángel Russo""]","TITLE: Carlos García Cambón | ID: 381

[""Carlos García Cambón""]

Final Answer: [""Carlos García Cambón""]",11315,7.24,True,structured_complete
loft:qampari_128k:18,,"[""After the Rain"", ""Alice's Adventures in Wonderland"", ""An American in Paris"", ""Carousel"", ""Liturgy""]","TITLE: Liturgy (ballet)  
ID: 278  

TITLE: After the Rain (ballet)  
ID: 482  

TITLE: Alice's Adventures in Wonderland (ballet)  
ID: 551  

TITLE: Carousel (ballet)  
ID: 709  

TITLE: An American in Paris (ballet)  
ID: 743  

[""Liturgy (ballet)"", ""After the Rain (ballet)"", ""Alice's Adventures in Wonderland (ballet)"", ""Carousel (ballet)"", ""An American in Paris (ballet)""]",12875,25.42,True,structured_complete
loft:qampari_128k:19,,"[""Custodio Parcon"", ""Domingo Deluana"", ""Herminigildo Yurong"", ""Lolinato To-ong"", ""Tomas Campo Jr.""]","TITLE: Lolinato To-ong | ID: 111  
TITLE: Domingo Deluana | ID: 305  
TITLE: Tomas Campo Jr. | ID: 422  

[""Lolinato To-ong was a Philippine Marine Corps officer remembered for serving in the Philippine Marine Corps."", ""Domingo Deluana was a famous person remembered for serving in the Philippine Marine Corps."", ""Tomas Campo Jr. was remembered for serving in the Philippine Marine Corps.""]

Final Answer: [""Lolinato To-ong was a Philippine Marine Corps officer remembered for serving in the Philippine Marine Corps."", ""Domingo Deluana was a famous person remembered for serving in the Philippine Marine Corps."", ""Tomas Campo Jr. was remembered for serving in the Philippine Marine Corps.""]",12592,33.62,True,structured_complete
loft:qampari_128k:20,,"[""Asterix and Cleopatra"", ""Asterix and the Chieftain's Shield"", ""Asterix and the Great Crossing"", ""Asterix in Belgium"", ""Obelix and Co.""]","TITLE: Asterix and the Great Crossing | ID: 378  
TITLE: Asterix and the Chieftain's Shield | ID: 404  
TITLE: Asterix in Belgium | ID: 646  

[""Asterix and the Great Crossing"", ""Asterix and the Chieftain's Shield"", ""Asterix in Belgium""]  
Final Answer: [""Asterix and the Great Crossing"", ""Asterix and the Chieftain's Shield"", ""Asterix in Belgium""]",11061,11.98,True,structured_complete
loft:qampari_128k:21,,"[""Battle Creek"", ""Better Call Saul"", ""Breaking Bad"", ""The Lone Gunmen"", ""The X-Files""]","TITLE: Better Call Saul (season 1) | ID: 226  
TITLE: The Lone Gunmen (TV series) | ID: 469  
TITLE: Battle Creek (TV series) | ID: 525  
TITLE: Breaking Bad | ID: 575  

Final Answer: [""Better Call Saul"", ""The Lone Gunmen (TV series)"", ""Battle Creek"", ""Breaking Bad""]",12067,18.65,True,structured_complete
loft:qampari_128k:22,,"[""Ivo Babuška"", ""Petr Vopěnka"", ""Vlastimil Dlab"", ""Věra Trnková"", ""Zdeněk Frolík""]","TITLE: Věra Trnková | ID: 79  
TITLE: Ivo Babuška | ID: 254  

[""Věra Trnková"", ""Ivo Babuška""]

Final Answer: [""Věra Trnková"", ""Ivo Babuška""]",11771,7.17,True,structured_complete
loft:qampari_128k:23,,"[""MS European Seaway"", ""MS Pride of Burgundy"", ""MS Pride of Calais"", ""MS Pride of Dover"", ""MS Spirit of France""]","TITLE: ""European Seaway"" | ID: 471  
TITLE: ""MS Pride of Dover"" | ID: 673  

[""European Seaway"", ""Pride of Dover""]  

Final Answer: [""European Seaway"", ""Pride of Dover""]",12000,11.95,True,structured_complete
loft:qampari_128k:24,,"[""argon"", ""helium"", ""krypton"", ""neon"", ""xenon""]",,10576,2.6,True,abstained
loft:qampari_128k:25,,"[""Detention River Christian Community"", ""Elmendorf Christian Community"", ""Milltown Hutterite Colony"", ""Owa Hutterite Colony"", ""Schmiedeleut""]","TITLE: Milltown Hutterite Colony | ID: 1  
Final Answer: [""Milltown Hutterite Colony""]",10820,7.14,True,structured_complete
loft:qampari_128k:26,,"[""Alice Lon"", ""Elena Jahn"", ""Paul Klee"", ""Perry DeAngelis"", ""Will Sampson""]","TITLE: Alice Lon | ID: 148  
TITLE: Paul Klee | ID: 712  

[""Alice Lon"", ""Paul Klee""]  
Final Answer: [""Alice Lon"", ""Paul Klee""]",12292,19.2,True,structured_complete
loft:qampari_128k:27,,"[""2008 Pilot Pen Tennis – Men's Singles"", ""2009 Chennai Open – singles"", ""2010 Aircel Chennai Open – singles"", ""2010 PBZ Zagreb Indoors – singles"", ""2011 St. Petersburg Open – singles""]","TITLE: 2011 St. Petersburg Open – Singles | ID: 539  
[""2011 St. Petersburg Open""]  

Final Answer: [""2011 St. Petersburg Open""]",12088,7.68,True,structured_complete
loft:qampari_128k:28,,"[""Agys Ramsaran Verma"", ""Lokendra Singh"", ""Mithlesh Kumar"", ""Mukund Lal Agrawal"", ""Virendra Singh""]","TITLE: Mukund Lal Agrawal | ID: 256  
TITLE: Virendra Singh (politician) | ID: 581  

[""Mukund Lal Agrawal"", ""Virendra Singh""]  

Final Answer: [""Mukund Lal Agrawal"", ""Virendra Singh""]",11491,7.12,True,structured_complete
loft:qampari_128k:29,,"[""Breakfast"", ""Rush TV"", ""Us Girls"", ""Wazzup Wazzup"", ""Y Speak""]","TITLE: Y Speak | ID: 732

Final Answer: [""Y Speak""]",12091,11.06,True,structured_complete
loft:qampari_128k:30,,"[""Edward Kennion"", ""Eleanor Coade"", ""Theodora Cowan"", ""William Pether"", ""William Wynne Ryland""]","TITLE: Edward Kennion | ID: 195  
TITLE: Eleanor Coade | ID: 353  
TITLE: Theodora Cowan | ID: 444  
TITLE: William Pether | ID: 596  

Final Answer: [""Edward Kennion"", ""William Pether""]",11761,9.23,True,structured_complete
