id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,2096,0.71,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,2097,0.39,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]",,2097,0.37,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,2095,0.39,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,2097,0.47,True,abstained
loft:nq_128k:5,,"[""Nala""]",,2096,0.62,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,2097,0.55,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,2098,0.39,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,2102,0.41,True,abstained
loft:nq_128k:9,,"[""the Ramones""]",,2096,0.39,True,abstained
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,2098,0.46,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,2097,0.45,True,abstained
loft:nq_128k:12,,"[""Hook""]",,2097,0.41,True,abstained
loft:nq_128k:13,,"[""2011""]",,2096,0.41,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,2095,0.55,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,2097,0.55,True,abstained
loft:nq_128k:16,,"[""the primal rib""]",,2096,0.53,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,2097,0.54,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,2095,0.53,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,2098,0.45,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,2101,0.46,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,2097,0.46,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,2096,0.45,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire | ID: 875  
Final Answer: ['1526']",2361,1.75,True,structured_complete
loft:nq_128k:24,,"[""24 November 1949""]",,2096,0.3,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,2099,0.3,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,2101,0.3,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,2096,0.45,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,2097,0.45,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,2096,0.45,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,2097,0.45,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,2097,0.45,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,2098,0.45,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,2098,0.45,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,2098,0.45,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,2099,0.49,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,2107,0.48,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,2096,0.45,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,2099,0.45,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence | ID: 880  
Final Answer: ['David Ben-Gurion']",2366,2.54,True,structured_complete
loft:nq_128k:40,,"[""Manchuria""]",,2097,0.44,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,2095,0.54,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,2095,0.54,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,2098,0.54,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,2101,0.36,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,2096,0.56,True,abstained
loft:nq_128k:46,,"[""metaphase""]",,2101,0.39,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,2098,0.4,True,abstained
loft:nq_128k:48,,"[""imperial rule""]",,2096,0.39,True,abstained
loft:nq_128k:49,,"["".java""]",,2098,0.3,True,abstained
loft:nq_128k:50,,"[""2003""]",,2100,0.38,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,2096,0.29,True,abstained
loft:nq_128k:52,,"[""2%""]",,2095,0.52,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,2096,0.51,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,2103,0.46,True,abstained
