id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,3512,2.56,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605  
TITLE: Wonder Woman (2009 film) | ID: 329  

Final Answer: Laura's Star",4092,11.0,True,structured_complete
loft:hotpotqa_128k:2,,"[""in 2000""]",,3756,1.5,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: Harriet Tubman  
ID: 361  

List:  
- Araminta Ross  

Final Answer: Araminta Ross",4052,7.68,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]","TITLE: English Civil War | ID: 1095  
Final Answer: Arundel Castle was not mentioned in the provided documents, and there is no information about damage to Arundel Castle or any war involving it. Therefore, the query cannot be answered based on the given text.",4040,15.07,True,structured_complete
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]","TITLE: Adolfo Rodríguez Saá | ID: 1026  
TITLE: Ricardo Rodríguez Saá | ID: 148  

Final Answer: Adolfo Rodríguez Saá",4421,17.16,True,structured_complete
loft:hotpotqa_128k:6,,"[""1976""]",,3730,1.27,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
Final Answer: Nothing can be concluded about Battle Sheep, and no comparison date is available. Thus, the query cannot be answered with certainty from the provided documents.",4052,10.1,True,structured_complete
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth | ID: 727  
TITLE: The Man with the Iron Fists | ID: 818  

Final Answer: Eli Roth",5457,32.61,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817  
TITLE: e is the head coach of the Washington State Cougars football team. Previously, he was head coach of the Texas Tech Red Raiders football team, leading the Red Raiders to winning seasons in every year of his tenure. | ID: 817

Final Answer: Washington State Cougars football team",4125,13.95,True,structured_complete
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334  
TITLE: Two Is Better Than One | ID: 221  

Final Answer: Love Drunk",5560,41.34,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]",,3840,1.63,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]","TITLE: 1999 Galtür avalanche | ID: 967  
TITLE: Rigopiano avalanche | ID: 1050  

- The 1999 Galtür avalanche happened first.  

Final Answer: The 1999 Galtür avalanche happened first.",4167,9.01,True,structured_complete
loft:hotpotqa_128k:13,,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539  
- Ali Qushji

Final Answer: Ali Qushji",4010,6.03,True,structured_complete
loft:hotpotqa_128k:14,,"[""December 1974""]",- TITLE: Métal hurlant | ID: 1074,4285,12.08,True,structured_complete
loft:hotpotqa_128k:15,,"[""England""]",,3648,2.19,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]","TITLE: Morgan Llywelyn | ID: 556  
TITLE: Robert Jordan | ID: NOT FOUND  

Final Answer: cannot be determined",4153,8.76,True,structured_complete
loft:hotpotqa_128k:17,,"[""Ten Walls""]","TITLE: Ten Walls  
ID: 373  

TITLE: Walking with Elephants  
ID: 1213  

Final Answer: Ten Walls",4315,9.68,True,structured_complete
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]","TITLE: Caesars Palace Grand Prix | ID: 888  
TITLE: Jeff Wood (racing driver) | ID: 957  
Final Answer: Caesars Palace Grand Prix",4139,8.38,True,structured_complete
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]","TITLE: Candace Flynn | ID: 597  
TITLE: Ashley Tisdale | ID: 980  

Final Answer: The Suite Life of Zack & Cody",4166,10.69,True,structured_complete
loft:hotpotqa_128k:20,,"[""Cambridge University""]","- TITLE: Edmund Sharpe | ID: 399  
Final Answer: Cambridge University",3904,6.65,True,structured_complete
loft:hotpotqa_128k:21,,"[""25 million copies""]","TITLE: BioShock (series) | ID: 995  
TITLE: BioShock Infinite | ID: 995  

Final Answer: 25 million",4002,8.07,True,structured_complete
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]","TITLE: Unbreakable Kimmy Schmidt | ID: 451  
Final Answer: Ellie Kemper",4122,13.89,True,structured_complete
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]","TITLE: Roland R-8  
ID: 773  

Final Answer: Roland R-8",3854,4.69,True,structured_complete
loft:hotpotqa_128k:24,,"[""The Vanishing""]","TITLE: The Vanishing (1988 film) | ID: 255  
TITLE: The Golden Egg | ID: 1119  

Final Answer: The Vanishing (1988 film)",4787,26.91,True,structured_complete
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]","TITLE: Nova Southeastern Sharks baseball | ID: 621  
TITLE: Mike Fiers | ID: 1086  

Final Answer: NONE",4335,16.67,True,structured_complete
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]","TITLE: Lewis and Clark County, Montana | ID: 392

Final Answer: nothing relevant",3956,7.67,True,structured_complete
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]","TITLE: Johnny Pemberton | ID: 32  
TITLE: Superstore (TV series) | ID: 497  

Final Answer: Justin Spitzer",4323,14.37,True,structured_complete
loft:hotpotqa_128k:28,,"[""no""]",,3706,2.14,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,3725,2.24,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,3604,1.76,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]","TITLE: Blinding Edge Pictures | ID: 292  
TITLE: Unbreakable (film) | ID: 543  

Final Answer: NOTHING RELEVANT",4755,17.79,True,structured_complete
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]","TITLE: This Is England | ID: 147  
TITLE: Stephen Graham | ID: 526  

Final Answer: Shane Meadows",4210,12.8,True,structured_complete
loft:hotpotqa_128k:33,,"[""world wushu tournament""]","TITLE: Donnie Yen | ID: 925  
TITLE: Donnie Yen | ID: 925  
Final Answer: world wushu tournament",4173,8.7,True,structured_complete
loft:hotpotqa_128k:34,,"[""Turkey""]",,3600,1.53,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]","TITLE: Joseph Reiser | ID: 76  
TITLE: Omega SA | ID: 618  

Final Answer:  
- Omega",4269,12.35,True,structured_complete
loft:hotpotqa_128k:36,,"[""five""]",,3712,1.68,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]","TITLE: Jean Sagbo | ID: 107  
TITLE: Afro-Russian | ID: 999  

Final Answer: Afro-Russian",4324,12.7,True,structured_complete
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]","TITLE: Lawton Chiles  
ID: 1141  

Final Answer:  
- Lawton Chiles (ID: 1141)",4397,11.53,True,structured_complete
loft:hotpotqa_128k:39,,"[""8 November 1978""]","TITLE: Farshid Karimi | ID: 486  
Final Answer: nothing relevant",4074,8.12,True,structured_complete
loft:hotpotqa_128k:40,,"[""Nye County""]","TITLE: Nevada Test Site | ID: 64  
TITLE: Operation Buster–Jangle | ID: 747  

Final Answer:  
- Nye County",4446,14.78,True,structured_complete
loft:hotpotqa_128k:41,,"[""genus""]",,3788,1.68,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,3663,1.64,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]","TITLE: Keokuk Falls, Oklahoma | ID: 324  
TITLE: Shawnee, Oklahoma | ID: 725  

List:  
- The county seat of Pottawatomie County, Oklahoma is Shawnee.  

Final Answer: Shawnee",4588,17.61,True,structured_complete
loft:hotpotqa_128k:44,,"[""Jamnagar""]","TITLE: Poonamben Maadam | ID: 584  
TITLE: Poonamben Maadam | ID: 584  
- Country: India  

Final Answer: India",4290,13.31,True,structured_complete
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]","TITLE: William Pery, 3rd Earl of Limerick | ID: 820  
Final Answer: nothing relevant",4223,9.25,True,structured_complete
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]","TITLE: The Most Dangerous Game | ID: 793  
TITLE: Seven Faces | ID: 257  

[""The Most Dangerous Game""]  

Final Answer: The Most Dangerous Game",4372,15.29,True,structured_complete
loft:hotpotqa_128k:47,,"[""John M. Dowd""]","TITLE: John M. Dowd | ID: 236  
TITLE: Dowd Report | ID: 943  

Final Answer: John M. Dowd",4331,13.95,True,structured_complete
loft:hotpotqa_128k:48,,"[""photographer""]","TITLE: Howell Conant  
ID: 651  

TITLE: Howell Conant | ID: 651  

Answer: fashion photographer  

Final Answer: fashion photographer",3999,8.13,True,structured_complete
loft:hotpotqa_128k:49,,"[""eight""]",,3767,1.5,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]","TITLE: The Dead Milkmen | ID: 266  
TITLE: The Dead Milkmen | ID: 266  

Final Answer: Philadelphia, Pennsylvania",4049,5.52,True,structured_complete
loft:hotpotqa_128k:51,,"[""no""]",,3681,1.27,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,3693,1.41,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]","TITLE: Preston North End F.C. | ID: 845  
TITLE: Steve Uzelac | ID: 912  

Final Answer: the Football League",4171,9.83,True,structured_complete
loft:hotpotqa_128k:54,,"[""Mercury Prize""]","TITLE: Sampha | ID: 12  
- The British singer is Sampha.  
- His debut album, ""Process"", won the 2017 Mercury Prize.

Final Answer: Mercury Prize",3947,8.0,True,structured_complete
