answers,memory_budget_unit,task,token_budget,compression_ratio,split,answer_prefix,predicted_answer,memory_budget,retained_kv_memory_mb,retained_context_tokens,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,context_tokens,question,retained_kv_memory_gb,max_new_tokens,kv_memory_per_token_kb
"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: , ['2008-09-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-4,256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",0.255983616,256,147.456
"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['The 1985 movie ""The Terror"" (also known as ""The Terror"" or ""The Terror"" (1985))', '15']",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",0.255983616,256,147.456
"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['Settlement: Tamar River', 'ID: 10']  
- The name of the settlement that is next to the Tamar River is Tamar River.",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",0.255983616,256,147.456
['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['1985-001', '1985-002', '1985-003', '1985-004', '1985-005', '1985-006', '1985-007', '1985-008', '1985-009', '1985-010',",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",0.255983616,256,147.456
"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['The New Melodic Style: A Chorale Cantata', '1']",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",0.255983616,256,147.456
"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['Gregory Benford edited what piece of writing?', 'Gregory Benford (1940–1999)']
- Gregory Benford edited ""The Fractured World"" by Larry Niven.",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",0.255983616,256,147.456
"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['Ventura College', '20']  
['Ventura College']",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",0.255983616,256,147.456
['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['What individual served in the Myanmar Army?', '2015-04-01', '2015-04-01', '2015-04-01', '2015-04-01', '2015-04-01', '2015-04-01', '2015-04-01', '2015-0",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",0.255983616,256,147.456
"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['George A. Berlinghof', 'George A. Berlinghof']  
['George A. Berlinghof created the ""George A. Berlinghof"" structure, which is a type of musical composition or performance piece.']",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",0.255983616,256,147.456
"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",MB,qampari_32k,1736.0,0.9642415753481091,dev,Final Answer: ," ['The Sarah Jones Show', '10']  
['The Sarah Jones Show']",256.0,255.983616,1736.0,7.158693888,7158.693888,48548.0,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",0.255983616,256,147.456
