id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,3719,2.57,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,3635,1.3,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,3579,2.08,True,abstained
loft:musique_128k:3,,"[""1952""]",,3447,1.35,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,3555,2.16,True,abstained
loft:musique_128k:5,,"[""1941""]",,3477,1.84,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,3527,1.3,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,3509,1.53,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,3485,1.59,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",,3535,1.34,True,abstained
loft:musique_128k:10,,"[""Rialto Bridge""]",,3501,1.38,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,3573,1.32,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,3584,1.33,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,3377,1.36,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,3406,1.26,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,3500,1.41,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,3287,1.44,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,3573,1.68,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,3606,1.58,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,3516,1.57,True,abstained
loft:musique_128k:20,,"[""1952""]",,3669,1.87,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,3540,1.56,True,abstained
loft:musique_128k:22,,"[""1941""]",,3480,1.59,True,abstained
loft:musique_128k:23,,"[""1941""]",,3481,1.42,True,abstained
loft:musique_128k:24,,"[""five""]",,3499,1.54,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,3428,1.75,True,abstained
loft:musique_128k:26,,"[""1905""]","TITLE: southeastern end of the Virginia Peninsula, on the northern shore of the James River extending southeast from Skiffe's Creek along many miles of waterfront to the river's mouth at Newport News Point on the harbor of Hampton Roads. The area now known as Newport News was once a part of Warwick County. Warwick County was one of the eight original shires of Virginia, formed by the House of Burgesses in the British Colony of Virginia by order of King Charles I in 1634. The county was largely composed of farms and undeveloped land until almost 250 years later. | ID: 648

Final Answer: NOTHING RELEVANT",4165,15.06,True,structured_complete
loft:musique_128k:27,,"[""five""]",,3541,1.47,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,3550,1.66,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,3466,1.99,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,3543,1.44,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,3471,1.52,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,3288,1.63,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,3425,1.53,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,4626,1.42,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,3431,1.47,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,3495,1.26,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,3357,1.37,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,3492,1.31,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,4433,1.48,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,3425,1.34,True,abstained
loft:musique_128k:41,,"[""1905""]",,3460,1.51,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,3492,1.52,True,abstained
loft:musique_128k:43,,"[""22""]",,3505,1.45,True,abstained
loft:musique_128k:44,,"[""1984""]",,3250,1.56,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",,3567,2.16,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,3402,2.41,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,3598,2.53,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,3474,2.51,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,3598,1.65,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,3484,1.46,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]","TITLE: Holy Roman Emperor | ID: 593  
Final Answer: NOTHING RELEVANT",4021,7.68,True,structured_complete
loft:musique_128k:52,,"[""1981""]",,3639,1.81,True,abstained
loft:musique_128k:53,,"[""1981""]",,3450,1.77,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,3673,1.59,True,abstained
