id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,2635,1.49,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,2020,0.57,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",2968,3.11,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]",,2632,1.41,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,2630,0.95,True,abstained
loft:nq_128k:5,,"[""Nala""]",,1988,0.6,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,2592,1.21,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,2674,1.07,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,1984,0.71,True,abstained
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I wanna be sedated | ID: 124  
- Sara Evans

Final Answer: Sara Evans",3281,6.22,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,2637,0.69,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,1915,0.82,True,abstained
loft:nq_128k:12,,"[""Hook""]",,2697,0.74,True,abstained
loft:nq_128k:13,,"[""2011""]",,2693,1.08,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,2666,0.95,True,abstained
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The authority or governing body of MCA is the Ministry of Corporate Affairs, which is an Indian government ministry.",3189,4.6,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]",,1988,0.72,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,2661,0.8,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,2692,1.28,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,2597,0.93,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,1976,0.58,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,1938,0.78,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,1972,0.57,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire | ID: 875  
Final Answer: Akbar the Great in 1556",3089,4.5,True,structured_complete
loft:nq_128k:24,,"[""24 November 1949""]",,2634,0.86,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,2638,0.69,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,2596,0.81,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,2636,1.11,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
Final Answer: Richard Parker",2986,4.44,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,2670,0.79,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,2577,1.07,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,2684,0.71,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,2665,0.79,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,2673,1.1,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: The Star-Spangled Banner | ID: 855  
Final Answer: It became law to recognize the National Anthem in 1932. On June 22, 1942, the law was revised to specify behavior during its playing. On December 23, 1942, the law was further revised to instruct men and women to stand at attention and face in the direction of the music.",3357,7.7,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
Final Answer: phosphorus pentoxide",3159,4.36,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]",,1967,0.61,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon | ID: 724  
List:  
- Gideon dies in the season ten episode ""Nelson's Sparrow"".  

Final Answer: season ten episode ""Nelson's Sparrow""",3094,4.13,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]",,2666,0.93,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,1969,0.68,True,abstained
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
List:  
- The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.  

Final Answer: The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.",3378,8.11,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,1969,0.59,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,2723,0.96,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,1998,0.75,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,2732,0.99,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,1972,0.58,True,abstained
