id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,1408,2.24,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,1398,1.11,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,1390,1.1,True,abstained
loft:musique_128k:3,,"[""1952""]",,1396,1.07,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,1402,1.44,True,abstained
loft:musique_128k:5,,"[""1941""]",,1376,1.29,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,1382,1.76,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,1400,2.15,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,1404,1.62,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",,1396,1.66,True,abstained
loft:musique_128k:10,,"[""Rialto Bridge""]",,1380,1.21,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,1382,1.23,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,1400,1.65,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,1394,1.6,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,1390,1.56,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,1398,1.65,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,1372,1.45,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,1392,2.38,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,1406,2.08,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,1380,2.51,True,abstained
loft:musique_128k:20,,"[""1952""]",,1382,2.29,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,1378,1.88,True,abstained
loft:musique_128k:22,,"[""1941""]",,1376,1.89,True,abstained
loft:musique_128k:23,,"[""1941""]",,1378,1.08,True,abstained
loft:musique_128k:24,,"[""five""]",,1388,1.09,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,1408,1.18,True,abstained
loft:musique_128k:26,,"[""1905""]",,1378,1.09,True,abstained
loft:musique_128k:27,,"[""five""]",,1394,1.09,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,1402,1.07,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,1400,1.26,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,1404,1.39,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,1382,2.28,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,1380,1.61,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,1380,1.8,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,1382,1.43,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,1382,1.12,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,1390,1.54,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,1374,1.46,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,1394,1.38,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,1376,1.74,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,1390,1.54,True,abstained
loft:musique_128k:41,,"[""1905""]",,1388,1.4,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,1370,1.53,True,abstained
loft:musique_128k:43,,"[""22""]",,1372,1.65,True,abstained
loft:musique_128k:44,,"[""1984""]",,1380,1.68,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",Final Answer: ['nothing'],1603,2.72,True,structured_complete
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",Final Answer: ['Nothing'],1618,2.45,True,structured_complete
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,1400,1.45,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,1386,1.05,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,1380,1.53,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,1394,1.82,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,1384,1.19,True,abstained
loft:musique_128k:52,,"[""1981""]",,1388,1.39,True,abstained
loft:musique_128k:53,,"[""1981""]",,1392,1.58,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,1398,1.15,True,abstained
