id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]",2036,8.87,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Quicksand (American band) | ID: 752  

[""Walter Schreifels was a member of Quicksand"", ""Walter Schreifels was a member of Gorilla Biscuits"", ""Walter Schreifels was a member of Youth of Today""]  

Final Answer: [""Walter Schreifels was a member of Quicksand"", ""Walter Schreifels was a member of Gorilla Biscuits"", ""Walter Schreifels was a member of Youth of Today""]",2220,11.18,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-1A | ID: 446  
TITLE: Arabsat-1A | ID: 446  

List:  
- The Arab Satellite Communications Organization owns Arabsat-1A.  
- Arabsat-1A is a communications satellite used to provide communication services to the Arab States.  
- Arabsat-1A was constructed by Aérospatiale based on the Spacebus 100 satellite bus.  
- Arabsat-1A carries two NATO E/F-band (IEEE S band) and 25 NATO G/H-Band (IEEE C band) transponders.  
- Arabsat-1A was launched by Arianespace using an Ariane 3 rocket from ELA-1 at Kourou.

Final Answer: [""The Arab Satellite Communications Organization owns Arabsat-1A."", ""Arabsat-1A is a communications satellite used to provide communication services to the Arab States."", ""Arabsat-1A was constructed by Aérospatiale based on the Spacebus 100 satellite bus."", ""Arabsat-1A carries two NATO E/F-band (IEEE S band) and 25 NATO G/H-Band (IEEE C band) transponders."", ""Arabsat-1A was launched by Arianespace using an Ariane 3 rocket from ELA-1 at Kourou.""]",2559,20.01,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","[""Veropedia (ID: 398)"", ""Uncyclopedia (ID: 401)""]

Final Answer: [""Veropedia (ID: 398)"", ""Uncyclopedia (ID: 401)""]",1891,5.35,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
List:  
- Pete Jacobs was a notable triathlete. He won the 2012 Ironman World Championship and competed primarily in long-distance, non-drafting triathlon events. He started competing in triathlon at the age of 18.

Final Answer: [""Pete Jacobs""]",2194,13.18,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",2117,10.11,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",2084,8.18,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  

[""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles""]  
Final Answer: [""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles""]",2086,8.25,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Jeff Kunkel | ID: 537  
TITLE: e Leonardo section of Middletown Township, New Jersey, Kunkel was an all-around athlete who participated in soccer, basketball and baseball during his high school years at Middletown High School South in New Jersey. | ID: 537

List:
- ""Jeff Kunkel graduated from Middletown High School South.""

Final Answer: [""Jeff Kunkel graduated from Middletown High School South.""]",2279,11.82,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2016 Stockholm Open – Doubles | ID: 448  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  

[""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]  
Final Answer: [""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]",2042,8.49,True,structured_complete
