id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,6709,4.21,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,6719,3.52,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]",,6719,3.6,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,6699,3.52,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,6719,4.04,True,abstained
loft:nq_128k:5,,"[""Nala""]",,6709,3.32,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,6719,2.99,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,6729,3.76,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,6769,3.48,True,abstained
loft:nq_128k:9,,"[""the Ramones""]",,6709,3.39,True,abstained
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,6729,3.53,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,6719,3.11,True,abstained
loft:nq_128k:12,,"[""Hook""]",,6719,3.36,True,abstained
loft:nq_128k:13,,"[""2011""]",,6709,2.86,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,6699,3.89,True,abstained
loft:nq_128k:15,,"[""Indian government""]","TITLE: Marcelo H. del Pilar | ID: 12  
Final Answer: the Real Audiencia de Manila (Royal Audience of Manila)",7059,7.46,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]",,6709,3.28,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,6719,4.32,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,6699,3.69,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,6729,4.49,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,6759,4.34,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,6719,4.35,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,6709,4.49,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,6749,5.18,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56)  
ID: 26  

Final Answer: 24 November 1949",7114,8.63,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]",,6739,3.44,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,6759,3.74,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,6709,4.89,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,6719,5.56,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,6709,4.7,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,6719,4.57,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,6719,3.59,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,6729,3.07,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,6729,3.5,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,6729,4.11,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,6739,3.6,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,6819,3.21,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,6709,3.48,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,6739,2.92,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,6759,4.61,True,abstained
loft:nq_128k:40,,"[""Manchuria""]",,6719,5.17,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]","TITLE: A Chinese Odyssey | ID: 2  
NOTHING RELEVANT

Final Answer: NOTHING RELEVANT",7229,13.28,True,structured_complete
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,6699,3.64,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,6729,3.43,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,6759,3.18,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,6709,5.37,True,abstained
loft:nq_128k:46,,"[""metaphase""]",,6759,4.26,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,6729,5.05,True,abstained
loft:nq_128k:48,,"[""imperial rule""]",,6709,4.47,True,abstained
loft:nq_128k:49,,"["".java""]",,6729,3.5,True,abstained
loft:nq_128k:50,,"[""2003""]",,6749,4.41,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,6709,4.24,True,abstained
loft:nq_128k:52,,"[""2%""]",,6699,4.25,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,6709,4.78,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,6779,6.02,True,abstained
