id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]",,2912,1.38,True,abstained
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Gorilla Biscuits | ID: 91  
TITLE: History | ID: 752  
TITLE: Rival Schools (band) | ID: 25  
TITLE: Dead Heavens | ID: 734  
TITLE: Quicksand (American band) | ID: 752  

Final Answer: [""Gorilla Biscuits"", ""Rival Schools"", ""Quicksand"", ""Youth of Today""]",7578,9.06,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-1A | ID: 446  
TITLE: Badr-4 | ID: 317  
TITLE: Arabsat-5A | ID: 355  
TITLE: Arabsat-1B | ID: 710  
TITLE: INSAT-2DT | ID: 747  

[""Arabsat-1A"", ""Badr-4"", ""Arabsat-5A"", ""Arabsat-1B"", ""INSAT-2DT""]

Final Answer: [""Arabsat-1A"", ""Badr-4"", ""Arabsat-5A"", ""Arabsat-1B"", ""INSAT-2DT""]",8106,13.54,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]",,2906,0.54,True,abstained
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]",,2931,0.54,True,abstained
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
TITLE: Ethanol | ID: 419  

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",7213,6.31,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]",,2940,0.55,True,abstained
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]",,2876,0.53,True,abstained
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: e Leonardo section of Middletown Township, New Jersey, Kunkel was an all-around athlete who participated in soccer, basketball and baseball during his high school years at Middletown High School South in New Jersey. | ID: 537
TITLE: Knowshon Moreno | ID: 316
TITLE: Christian Peter | ID: 430
TITLE: Melanie McGuire | ID: 438
TITLE: Jeff Kunkel | ID: 537

[""Kunkel graduated from Middletown High School South"", ""Knowshon Moreno graduated from Middletown High School South"", ""Christian Peter graduated from Middletown High School South"", ""Jeff Kunkel graduated from Middletown High School South""]

Final Answer: [""Kunkel graduated from Middletown High School South"", ""Knowshon Moreno graduated from Middletown High School South"", ""Christian Peter graduated from Middletown High School South"", ""Jeff Kunkel graduated from Middletown High School South""]",7474,11.28,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]",,2930,0.54,True,abstained
