kv_memory_per_token_kb,memory_budget,uncompressed_kv_memory_mb,answers,compression_ratio,retained_kv_memory_gb,retained_kv_memory_mb,token_budget,memory_budget_unit,context_tokens,task,max_new_tokens,predicted_answer,split,question,answer_prefix,retained_context_tokens,uncompressed_kv_memory_gb
147.456,2.0,7073.316864,['22'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256,0,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How many times did plague occur in the birth city of the composer of Nulla in mundo pax sincera?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,"['Sea, Air, and Land']",0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['United States Navy'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What does seal stand for in the U.S. military branch that operates a list of destroyer classes and the USS Stag?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['January 2015'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the political party Alaska generally supports take control of the determiner of rules of the US House and US Senate?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Mario Andretti'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Green Bay'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Appleton'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Milwaukee Deep'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Medical University of Warsaw'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the largest medical school in the nation where, along with the country of citizenship of the mother of Marie Antoinette, many expelled French Jews relocated?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Saxony-Anhalt'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['the Ministry of Education'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['The United States Department of Education'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who runs the school system in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['University of South Carolina'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Al - Aqsa Mosque'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the great mosque constructed at the site of the old temple in the city originating christianity in Rome, Egypt, Judea and the country for Vasilopita?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Oriole Records.'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What label was bought in the UK by the other major New York broadcast that is in addition to ABC, and the one who released Stand Against Fear?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Sales began worldwide in April 2012'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the rx 350 model of the luxury division of the company that built Daihatsu boon change body style?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['1952'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256,1997,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Oriole Records.'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['EMI'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What UK label was bought by the company which, along with ABC and the network which broadcasted Hello, Larry, is the other major broadcaster based in NY?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['1941'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256,1941,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the country where Siddhi Savetsila was born form an alliance with Japan?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['island Koh Phi Phi'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Koh Phi Phi'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The Beach was filmed in what location of the country that contains the birth city of Siddhi Savetsila?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Francisco Guterres'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Francisco Guterres'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arie Supriyatna's birth country was one participant in a Commission of Truth and Friendship. Who is the president of the other country that participated?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['the country of India'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Hindu'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the meaning of the word that is also a majority religion in the area that became India when the country that withdrew its forces was created in the Arabic dictionary?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,"['1,400 years']",0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256,1400,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Rialto Bridge'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Rialto Bridge'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the famous bridge in the city where the composer of La Silvia was born?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['16th - century'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['1975'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the merchant of the city where the composer of Al gran sole carico d'amore takes place?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Francisco Guterres'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Francisco Guterres'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who is the president of the newly declared independent country that formed the Timor Leste Commission of Truth and Friendship with the country where Pantar is found?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Rialto Bridge'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Rialto Bridge'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the famous bridge in the place of birth of who composed the Concerto in C Major Op 3 6?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Toronto Coach Terminal'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Where do greyhound buses leave from the in the city where the headquarters of the production company which produced A Cosmic Christmas is located?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['Walter Sabo'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['Walter Sabo'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Who was a prominent figure at the radio division of the network that created the version of The Biggest Loser set in the country where Seria is?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['built on 16-bit architectures and offered improved graphics and sound'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, [],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What were the Genesis's advantages over the platform that plays Drac's Night Out?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['built in the 15th century'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256,1500,test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When was the Palau de la Generalitat constructed in the city where Martin of the place where Castiliscar is located died?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['June 1941'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['1949'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: When did the U.S. and the country in effective control of political and military functions of the group the People's Socialist Republic of Albania was a member of become allies?
",Final Answer: ,13563.0,7.073316864
147.456,2.0,7073.316864,['New York Yankees'],0.7172548937855698,1.999945728,1999.945728,13563.0,GB,47969.0,musique_32k,256, ['New York Yankees'],test,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What team does the person who hit the first home run at the new stadium in South Bronx play for?
",Final Answer: ,13563.0,7.073316864
