id,answers,prediction,tokens,latency_s,score
loft:nq_128k:0,"[""the following day""]","TITLE: WWE Raw | ID: 583  
Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",126178,38.97,1.0
loft:nq_128k:1,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico
ID: 135

TITLE: Puerto Rico
ID: 135

Final Answer: Spain",126374,41.67,1.0
loft:nq_128k:2,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",126101,36.65,1.0
loft:nq_128k:3,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283

Final Answer: Haliaeetus",126210,40.98,1.0
loft:nq_128k:4,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
Final Answer: The notes do not explicitly state when Boomer finds out she is a Cylon; they only indicate that she refuses to accept it after encountering other Number Eight copies on the basestar during the mission in 'Kobol's Last Gleaming'. Therefore, the exact timing is not provided.",126447,56.01,1.0
loft:nq_128k:5,"[""Nala""]",,125749,30.29,0.0
loft:nq_128k:6,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
['Christopher Lloyd']

Final Answer: Christopher Lloyd",126038,32.14,1.0
loft:nq_128k:7,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree
ID: 808

Final Answer: Charlotte of Mecklenburg-Strelitz",126117,34.47,1.0
loft:nq_128k:8,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
Final Answer: Glenn Close",126178,34.15,1.0
loft:nq_128k:9,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: ['the Ramones']",126445,45.94,1.0
loft:nq_128k:10,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver | ID: 64  
The offensive team must have at least seven players lined up on the line of scrimmage.

Final Answer: 7",126176,37.94,0.0
loft:nq_128k:11,"[""September 1972""]","TITLE: The Waltons | ID: 79

Final Answer: 1971",126105,38.61,0.0
loft:nq_128k:12,"[""Hook""]","TITLE: Emma Swan | ID: 731  
TITLE: Once Upon a Time (TV series) | ID: 863  

Final Answer: Hook",126189,34.24,1.0
loft:nq_128k:13,"[""2011""]","TITLE: New York Giants | ID: 511

Final Answer: 2011",126075,39.28,1.0
loft:nq_128k:14,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716

Final Answer: During most of the spring and summer, the sun rises first on Mars Hill, 150 miles (240 km) to the northeast.",126215,36.42,0.0
loft:nq_128k:15,"[""Indian government""]","TITLE: IP address | ID: 718  
TITLE: Ministry of Corporate Affairs | ID: 354  

Final Answer: the Internet Assigned Numbers Authority (IANA) and the Ministry of Corporate Affairs",126342,43.66,0.0
loft:nq_128k:16,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408  
Final Answer: the primal rib, one of the nine primal cuts of beef, specifically ribs six through 12",126117,31.99,1.0
loft:nq_128k:17,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",126141,36.04,1.0
loft:nq_128k:18,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
Common name for gravitational force: gravity

Final Answer: gravity",126454,46.42,1.0
loft:nq_128k:19,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158

Final Answer: Lykan HyperSport | 158",126394,46.88,1.0
loft:nq_128k:20,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125

Final Answer: Jack Lord",126138,31.33,1.0
loft:nq_128k:21,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
Final Answer: non-ferrous",126146,38.13,1.0
loft:nq_128k:22,"[""Sauron""]","TITLE: Sauron | ID: 519  
Final Answer: Sauron",126237,39.17,1.0
loft:nq_128k:23,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire
ID: 875

Final Answer: Babur",126140,34.22,1.0
loft:nq_128k:24,"[""24 November 1949""]","TITLE: Hyderabad | ID: 26  
TITLE: Hyderabad State (1948–56) | ID: 26  

Final Answer: ['24 November 1949']",126397,43.07,1.0
