id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]","TITLE: Extraction (film) | ID: 742  
Final Answer: Nothing relevant",2665,2.92,True,structured_complete
loft:hotpotqa_128k:1,,"[""Laura's Star""]","TITLE: Wonder Woman (2009 film) | ID: 329  
TITLE: Laura's Star | ID: 605  

Final Answer: Laura's Star",2810,3.67,True,structured_complete
loft:hotpotqa_128k:2,,"[""in 2000""]","TITLE: Kenneth P. LaValle Stadium | ID: 809  
TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209  

Final Answer: 2000",2880,6.01,True,structured_complete
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: A Woman Called Moses | ID: 901  
TITLE: A Woman Called Moses | ID: 970  

Final Answer: Margaret Mary Duffy",2657,2.43,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,1771,0.53,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]","TITLE: Ricardo Rodríguez Saá | ID: 148  
TITLE: Adolfo Rodríguez Saá | ID: 1026  

Final Answer: Adolfo Rodríguez Saá",2842,7.42,True,structured_complete
loft:hotpotqa_128k:6,,"[""1976""]","TITLE: Georgia World Congress Center  
ID: 684  

Final Answer: 1976",2602,6.2,True,structured_complete
loft:hotpotqa_128k:7,,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
TITLE: Battle Sheep | ID: 702  

Final Answer: Nothing can be concluded about Battle Sheep, and no comparison date is available. Thus, the query cannot be fully answered with the provided information.",2791,5.41,True,structured_complete
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth  
ID: 727  

TITLE: The Man with the Iron Fists  
ID: 818  

- The Man with the Iron Fists is a 2012 American martial arts film directed by RZA and written by RZA and Eli Roth.  
- Eli Raphael Roth (born April 18, 1972) is an American film director, producer, writer, and actor.  
- As an actor, his most prominent role was as Donny ""The Bear Jew"" Donowitz in Quentin Tarantino's war film ""Inglourious Basterds"" for which he won both a SAG Award (Best Ensemble) and a BFCA Critic's Choice Award (Best Acting Ensemble).  

Final Answer: Eli Roth",3854,12.85,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817  
- Mike Leach currently coaches at Washington State.

Final Answer: Washington State",2522,2.43,True,structured_complete
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334  
TITLE: Two Is Better Than One | ID: 221  

Final Answer: Love Drunk",3100,9.37,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]",,2169,0.61,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]","TITLE: 1999 Galtür avalanche | ID: 967  
TITLE: Rigopiano avalanche | ID: 1050  

- The 1999 Galtür avalanche happened first.  

Final Answer: The 1999 Galtür avalanche happened first.",2478,4.7,True,structured_complete
loft:hotpotqa_128k:13,,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539  
Final Answer: Ali Qushji",2611,3.54,True,structured_complete
loft:hotpotqa_128k:14,,"[""December 1974""]","TITLE: The Incal | ID: 230  
TITLE: Métal hurlant | ID: 1074  

Final Answer: December 1974",2769,5.48,True,structured_complete
loft:hotpotqa_128k:15,,"[""England""]",,2410,0.72,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]","TITLE: Morgan Llywelyn | ID: 556  
TITLE: Robert Jordan | ID: 977  

Final Answer: Cannot determine who was born first because Robert Jordan's birth date is not provided in the documents and Morgan Llywelyn's birth date is only partially confirmed in one document, while the other document lacks any mention of her.",2476,5.44,True,structured_complete
loft:hotpotqa_128k:17,,"[""Ten Walls""]","TITLE: Ten Walls | ID: 373  
TITLE: Walking with Elephants | ID: 1213  

Final Answer: Marijus Adomaitis, better known as Ten Walls or Mario Basanov",3014,6.12,True,structured_complete
