id,answers,prediction,tokens,latency_s,score
loft:nq_128k:0,"[""the following day""]",,17490,83.94,0.0
loft:nq_128k:1,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",Spain,1981,20.14,1.0
loft:nq_128k:2,"[""September 13, 2012""]","September 13, 2012",13034,47.71,1.0
loft:nq_128k:3,"[""Haliaeetus""]",Haliaeetus,4484,11.11,1.0
loft:nq_128k:4,"[""Kobol's Last Gleaming""]","Boomer finds out she is a Cylon after encountering numerous other Number Eight copies on the basestar, where she refuses to accept she is a Cylon. Her hidden programming takes over later, leading to her shooting Commander Adama. The text does not specify the exact moment she realizes her identity, only that she refuses to accept it initially.",7537,71.65,0.0
loft:nq_128k:5,"[""Nala""]",The female lion in The Lion King is called Nala.,3331,26.75,1.0
loft:nq_128k:6,"[""Christopher Lloyd""]",Christopher Lloyd plays the woodsman in 'Over the Garden Wall'.,1656,13.42,1.0
loft:nq_128k:7,"[""Charlotte of Mecklenburg-Strelitz""]","The text provided does not mention who introduced the first Christmas tree to the UK. Therefore, based on the given information, the question cannot be answered.",5935,37.36,0.0
loft:nq_128k:8,"[""Glenn Close""]","The text provided does not mention who played Cruella de Vil in *101 Dalmatians* (1996 film). Therefore, based on the given information, the answer cannot be determined.",3424,15.33,0.0
loft:nq_128k:9,"[""the Ramones""]","[{'title': 'I Wanna Be Sedated', 'id': '635', 'artist': 'the Ramones'}]",4654,12.83,1.0
loft:nq_128k:10,"[""at least seven"", ""at least seven players"", ""seven""]",,1698,15.38,0.0
loft:nq_128k:11,"[""September 1972""]","The TV show The Waltons first aired on December 19, 1971.",8202,23.98,0.0
loft:nq_128k:12,"[""Hook""]",Hook,8676,55.72,1.0
loft:nq_128k:13,"[""2011""]",2011,1866,11.75,1.0
loft:nq_128k:14,"[""the summit of Cadillac Mountain""]","TITLE: Charles Durning | ID: 541  
- The sun hits the United States first in Alaska.",9424,18.73,0.0
loft:nq_128k:15,"[""Indian government""]","The authority or governing body of MCA is the Ministry of Corporate Affairs (MCA), Government of India",6448,33.16,0.0
loft:nq_128k:16,"[""the primal rib""]",The primal rib.,13102,48.4,1.0
loft:nq_128k:17,"[""Ledger""]",Heath Ledger,8880,28.99,1.0
loft:nq_128k:18,"[""Gravity"", ""Gravity, or gravitation""]","The common name for gravitational force based on the text is ""gravity"".",1584,13.63,1.0
loft:nq_128k:19,"[""The Lykan Hypersport""]",,24488,123.71,0.0
loft:nq_128k:20,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",Jack Lord played the original Steve McGarrett on Hawaii Five-0.,1742,15.0,1.0
loft:nq_128k:21,"[""non-ferrous""]",TITLE: Non-ferrous metal | ID: 22736,11616,20.21,1.0
loft:nq_128k:22,"[""Sauron""]",Sauron,4820,19.94,1.0
loft:nq_128k:23,"[""Akbar the Great"", ""Babur""]",The text does not provide information about when the era of the great Mughals began.,5388,29.64,0.0
loft:nq_128k:24,"[""24 November 1949""]",24 November 1949,3467,15.85,1.0
loft:nq_128k:25,"[""Nepal""]",Nepal,13346,37.62,1.0
loft:nq_128k:26,"[""Rocky""]",Rocky,5688,27.67,1.0
loft:nq_128k:27,"[""cell nucleus"", ""in the cell nucleus""]",The text does not specify where the protein is made in the cell.,1646,15.44,0.0
loft:nq_128k:28,"[""Richard Parker""]",Richard Parker,12347,15.64,1.0
loft:nq_128k:29,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","TITLE: Geoffrey Palmer (actor) | ID: 131  
- Geoffrey Dyson Palmer played the character Lionel Hardcastle in the TV show 'As Time Goes By'.",12015,32.64,1.0
loft:nq_128k:30,"[""9 to 25 February 2018""]",Mexico does not participate in the Winter Olympics.,4877,19.18,0.0
loft:nq_128k:31,"[""CeCe Drake""]","Title: A (Pretty Little Liars), ID: 255  
- The head ""A"" in Pretty Little Liars is CeCe Drake.",10647,14.59,1.0
loft:nq_128k:32,"[""Grisha""]","In the context of the NCIS: Los Angeles character described, 'G' stands for Grisha.",10190,51.41,1.0
loft:nq_128k:33,"[""Serous Membrane"", ""the visceral membrane""]",not found,11283,28.86,0.0
loft:nq_128k:34,"[""June 22, 1942""]",not specified,7833,30.24,0.0
loft:nq_128k:35,"[""Phosphorus pentoxide""]",The name of the compound with the molecular formula P4O10 is phosphorus pentoxide.,12377,51.13,1.0
loft:nq_128k:36,"[""rubidium-85""]",rubidium-85,3023,9.94,1.0
loft:nq_128k:37,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,7343,81.57,0.0
loft:nq_128k:38,"[""Malayalam""]",Kannada,4754,7.56,0.0
loft:nq_128k:39,"[""David Ben-Gurion""]",The first signatory of the Israeli Declaration of Independence was David Ben-Gurion.,1689,15.01,1.0
loft:nq_128k:40,"[""Manchuria""]",The rulers of the Qing Dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.,3445,24.03,1.0
loft:nq_128k:41,"[""February 27, 2015"", ""February 27, 2015""]",,7186,66.43,0.0
loft:nq_128k:42,"[""produced by Quincy Jones""]","[{'TITLE': 'We Are the World', 'ID': 130, 'writers': 'Michael Jackson and Lionel Richie'}]",4799,12.15,0.0
loft:nq_128k:43,"[""Ludacris""]","The text provided does not mention the song ""Baby"" by Justin Bieber or any rap artist associated with it. Therefore, based on the given content, no name can be determined. Answer: none",4062,30.44,0.0
loft:nq_128k:44,"[""Jakkur, Bangalore, India""]","[{'TITLE': '', 'ID': ""G. Sankara Kurup | CONTENT: G. Sankara Kurup, (3 June 1901, Nayathode, Kingdom of Cochin (now in Ernakulam district, Kerala, India) â€“ 2 February 1978, Vappalassery, Angamaly, Ernakulam district, Kerala), better known as Mahakavi G (The Great Poet G), was the first winner of the Jnanpith Award, India's highest literary award.[1][2] He won the prize in 1965 for his collection of poems in Malayalam Odakkuzhal (The Bamboo Flute, 1950). With part of the prize money he established the literary award Odakkuzhal in 1968. He was also the recipient of the Soviet Land Nehru Award, in 1967, and the Padma Bhushan in 1968.[3] His poetry collection Viswadarshanam won the Kerala Sahitya Akademi Award in 1961 and Kendra Sahitya Akademi Award in 1963. | END ID: 273""}, {'TITLE': '', 'ID': 'Jawaharlal Nehru Centre for Advanced Scientific Research | CONTENT: The Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR) is a multidisciplinary research institute located at Jakkur, Bangalore, India. It was established by the Department of Science and Technology of the Government of India, to mark the birth centenary of Pandit Jawaharlal Nehru. | END ID: 809'}]",3128,22.58,0.0
loft:nq_128k:45,"[""condense the steam""]","The provided text does not explain why cooling water runs through the condenser. It only mentions the consumption of cooling water by inland processing and power plants and its impact on power availability, without addressing the function of cooling water in a condenser. Therefore, based on the given text, the reason cooling water runs through the condenser cannot be determined.",5224,15.82,0.0
loft:nq_128k:46,"[""metaphase""]","A cell has condensed visible chromosomes, also known as sister chromatids, during metaphase.",1839,21.1,1.0
loft:nq_128k:47,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]","The text provided does not mention anything about Hawaii's primary export to the United States. Therefore, based on the given information, the question cannot be answered.",1505,10.47,0.0
loft:nq_128k:48,"[""imperial rule""]","The text provided does not mention anything about the type of government the Ming dynasty had. Therefore, based on the given information, the type of government cannot be determined.",1615,11.7,0.0
loft:nq_128k:49,"["".java""]","The text provided does not mention the filename extension used for Java source files. Therefore, based on the given information, the question cannot be answered.",1664,16.11,1.0
loft:nq_128k:50,"[""2003""]",1965–66,11026,53.2,0.0
loft:nq_128k:51,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]","[{'title': 'Cory', 'id': '554', 'spellings': ['Corey', 'Coire', 'Corie', 'Corrie', 'Correy', 'Kory', 'Khouri', 'Kori']}]",4879,20.81,1.0
loft:nq_128k:52,"[""2%""]",The information is not present.,5613,35.24,0.0
loft:nq_128k:53,"[""Amanda Leighton""]","['Amanda Leighton', 'Skylar Astin', 'Kari Wahlgren', 'Sam Lerner', 'David Kaye', 'David Fynn', 'Sean T. Krishnan', 'Kevin Michael Richardson', 'Fryda Wolff']",2999,16.14,1.0
loft:nq_128k:54,"[""Castleford""]","Final Answer: Title: Title: Castleford, ID: The ID extracted from the text is 841.",3869,35.46,1.0
