question,token_budget,predicted_answer,task,retained_context_tokens,answer_prefix,retained_kv_memory_gb,kv_memory_per_token_kb,retained_kv_memory_mb,uncompressed_kv_memory_gb,max_new_tokens,compression_ratio,uncompressed_kv_memory_mb,memory_budget_unit,context_length,memory_budget,answer,context_tokens
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **liver** (13 times)
2. **gherkin** (12 times)
3. **trillion** (12 times)
4. **ideology** (11 times)
5. **promise** (11 times)
6. **rally** (11 times)
7. **probe** (10 times)
8. **nice** (10 times)
9. **vigorous** (10 times)
10. **pinpoint** (9 times)

*(",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.907242496,120,0.7936250309956945,2907.242496,GB,32768,0.6,"['pinpoint' 'vigorous' 'liver' 'ideology' 'trillion' 'nice' 'promise'
 'rally' 'gherkin' 'probe']",44361.0
Question: What are the 10 most common words in the above list? ,9155.0,"

1. **thunder** (13 times)
2. **nerve** (12 times)
3. **signature** (12 times)
4. **bass** (11 times)
5. **classroom** (11 times)
6. **divan** (11 times)
7. **festival** (11 times)
8. **buffer** (10 times)
9. **manhunt** (10 times)
10. **newsstand** (10 times)

*(",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.914254848,120,0.7941216155437618,2914.254848,GB,32768,0.6,"['buffer' 'manhunt' 'festival' 'nerve' 'thunder' 'newsstand' 'divan'
 'signature' 'bass' 'classroom']",44468.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **driveway**
2. **haste**
3. **advent**
4. **labored**
5. **say**
6. **foam**
7. **lute**
8. **chafe**
9. **cilantro**
10. **vendor**

*(Note: The counts are very close for several words, but these ten appear with the highest frequency in the provided text.)*",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.915827712,120,0.7942326710419851,2915.827712,GB,32768,0.6,"['advent' 'haste' 'cilantro' 'say' 'labored' 'foam' 'lute' 'chafe'
 'vendor' 'driveway']",44492.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **spat** (13 times)
2. **farrow** (12 times)
3. **variety** (11 times)
4. **wildlife** (11 times)
5. **echidna** (10 times)
6. **mallard** (10 times)
7. **queue** (10 times)
8. **slot** (10 times)
9. **score** (10 times)
10. **reconcile** (4 times) -",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.914451456,120,0.7941355040363383,2914.451456,GB,32768,0.6,"['queue' 'variety' 'spat' 'wildlife' 'slot' 'score' 'farrow' 'card'
 'mallard' 'echidna']",44471.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **enrollment** (13 times)
2. **cassock** (12 times)
3. **mutton** (12 times)
4. **tortilla** (11 times)
5. **sweets** (11 times)
6. **poet** (11 times)
7. **enforcement** (10 times)
8. **plasterboard** (10 times)
9. **rubber** (10 times)
10. **wheel** (1",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.918842368,120,0.7944451928690107,2918.842368,GB,32768,0.6,"['plasterboard' 'wheel' 'tortilla' 'enrollment' 'mutton' 'enforcement'
 'rubber' 'poet' 'sweets' 'cassock']",44538.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **metaphor** (13 times)
2. **constant** (12 times)
3. **sore** (12 times)
4. **arithmetic** (11 times)
5. **maximum** (11 times)
6. **pansy** (11 times)
7. **hoe** (10 times)
8. **spat** (10 times)
9. **cube** (10 times)
10. **step-father** (10 times)",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.921660416,120,0.7946434579753707,2921.660416,GB,32768,0.6,"['sore' 'pansy' 'step-father' 'maximum' 'metaphor' 'cube' 'hoe' 'constant'
 'arithmetic' 'spat']",44581.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **subdued** (13 times)
2. **breeze** (12 times)
3. **midden** (11 times)
4. **crewmen** (10 times)
5. **eggnog** (10 times)
6. **finer** (10 times)
7. **girdle** (9 times)
8. **royal** (9 times)
9. **smoking** (9 times)
10. **tacit** (9 times)

",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.920742912,120,0.794578948549375,2920.742912,GB,32768,0.6,"['finer' 'girdle' 'eggnog' 'royal' 'smoking' 'subdued' 'tacit' 'midden'
 'breeze' 'crewmen']",44567.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **inscription** (13 times)
2. **shoes** (12 times)
3. **candidate** (12 times)
4. **virtue** (11 times)
5. **aboard** (11 times)
6. **money** (11 times)
7. **kingfish** (10 times)
8. **ecosystem** (10 times)
9. **sphynx** (10 times)
10. **mislead** (9 times)

*(",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.921529344,120,0.794634244823796,2921.529344,GB,32768,0.6,"['mislead' 'virtue' 'money' 'ecosystem' 'inscription' 'aboard' 'sphynx'
 'kingfish' 'shoes' 'candidate']",44579.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **correspondence** (13 times)
2. **racer** (12 times)
3. **spider** (11 times)
4. **lute** (11 times)
5. **briefly** (10 times)
6. **shoot** (10 times)
7. **asparagus** (9 times)
8. **scene** (9 times)
9. **nod** (9 times)
10. **grand** (8 times)

*(Note: Several other",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.911240192,120,0.7939084237539957,2911.240192,GB,32768,0.6,"['asparagus' 'grand' 'briefly' 'correspondence' 'shoot' 'lute' 'nod'
 'spider' 'scene' 'racer']",44422.0
Question: What are the 10 most common words in the above list? ,9155.0,"
1. **bun** (13 times)
2. **backbone** (12 times)
3. **conviction** (12 times)
4. **borrower** (11 times)
5. **government** (11 times)
6. **digging** (10 times)
7. **fugato** (10 times)
8. **slider** (10 times)
9. **split** (10 times)
10. **subsidence** (9 times)

*(",cwe,9155.0,Answer: The top 10 words that appear most often in the list are:,0.59998208,65.536,599.98208,2.918776832,120,0.7944405774973617,2918.776832,GB,32768,0.6,"['digging' 'borrower' 'split' 'backbone' 'slider' 'subsidence' 'fugato'
 'bun' 'conviction' 'government']",44537.0
