id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]","TITLE: Dan Bilzerian | ID: 366  
TITLE: Extraction (film) | ID: 742  

Final Answer: Dan Bilzerian",164226,79.67,True,structured_complete
loft:hotpotqa_128k:1,,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605  
TITLE: Seven Faces | ID: 257  
TITLE: Women's Club (1956 film) | ID: 265  

Final Answer: Cannot determine which film was released first because ""Wonder Woman"" is not mentioned in the documents.",164231,86.56,True,structured_complete
loft:hotpotqa_128k:2,,"[""in 2000""]","TITLE: Kenneth P. LaValle Stadium | ID: 809  
TITLE: Kenneth P. LaValle Stadium | ID: 809  
TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209  
Final Answer: 2000",165034,90.78,True,structured_complete
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: Harriet Tubman | ID: 361  
TITLE: A Woman Called Moses | ID: 970  

Final Answer: Araminta Ross",164391,88.38,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",Final Answer: nothing,163876,68.78,True,structured_complete
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]","TITLE: Adolfo Rodríguez Saá | ID: 1026  
TITLE: Adolfo Rodríguez Saá | ID: 1026  
- Adolfo Rodríguez Saá is the relative of Ricardo Rodríguez Saá who became governor from 1983 to 2001.

Final Answer: Adolfo Rodríguez Saá",165775,113.66,True,structured_complete
loft:hotpotqa_128k:6,,"[""1976""]","TITLE: Georgia World Congress Center  
ID: 684  

Final Answer: 1976",164100,68.92,True,structured_complete
loft:hotpotqa_128k:7,,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
TITLE: Battle Sheep | ID: 702  

Final Answer: Nothing can be determined about which board game has been around longer because the release date of Obsession is known (1977) but Battle Sheep's release date is not provided in the documents, and no comparative information is available.",164310,94.63,True,structured_complete
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth | ID: 727  
TITLE: The Man with the Iron Fists | ID: 818  

List:  
- Eli Roth  

Final Answer: Eli Roth",165971,82.33,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817  
Final Answer: Washington State University",164247,64.99,True,structured_complete
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334  
TITLE: Two Is Better Than One | ID: 221  

Final Answer:  
- Title: Love Drunk | ID: 334  
- Lead single: Two Is Better Than One",166422,123.24,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]","TITLE: Herbert Matthews | ID: 1047  
Final Answer:",165146,73.97,True,structured_complete
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]","TITLE: 1999 Galtür avalanche | ID: 967  
TITLE: Rigopiano avalanche | ID: 1050  

- The 1999 Galtür avalanche happened first.  

Final Answer: The 1999 Galtür avalanche happened first.",164832,93.04,True,structured_complete
