id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
Final Answer: The documents do not specify the exact time when Monday Night Raw comes on Hulu. They only state that episodes are available the following day in a condensed 90-minute version.",161435,80.44,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",162497,105.24,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",161546,72.02,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle  
ID: 283  
Final Answer: Haliaeetus",161194,66.32,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,161089,54.22,True,abstained
loft:nq_128k:5,,"[""Nala""]",,161014,58.21,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
['Christopher Lloyd']

Final Answer: Christopher Lloyd",161358,58.58,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
Final Answer: George III's German-born wife, Charlotte of Mecklenburg-Strelitz",161783,73.09,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
TITLE: 101 Dalmatians (1996 film) | ID: 490  

Final Answer: Glenn Close",162229,83.61,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
TITLE: Jack Lord | ID: 125  

Final Answer: the Ramones",161829,86.62,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver | ID: 64  
The offensive team must have at least seven players lined up on the line of scrimmage.

Final Answer: 7",161560,62.74,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
TITLE: The Waltons | ID: 79  

Final Answer: September 1972",161741,64.17,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Final Answer: Hook",161437,56.73,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",161392,75.98,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716

Final Answer: Mars Hill",161460,82.76,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
TITLE: Ministry of Corporate Affairs | ID: 354  

Final Answer: The Ministry of Corporate Affairs",162324,99.02,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast  
ID: 408  

Final Answer: the primal rib, one of the nine primal cuts of beef, specifically ribs six through 12",161522,76.01,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",161392,75.15,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
Common name for gravitational force: gravity

Final Answer: gravity",161504,62.67,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158

Final Answer: Lykan HyperSport | 158",161793,77.82,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",161893,55.07,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
Final Answer: non-ferrous",161469,64.04,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519  
TITLE: Ring of Power in LOTR - Sauron's Power Transfer | ID: 519  

Final Answer: Sauron",162026,94.77,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire | ID: 875  
['Akbar the Great']

Final Answer: ['Akbar the Great']",161761,78.17,True,structured_complete
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56) | ID: 26  
- Hyderabad became part of India on 24 November 1949.

Final Answer: 24 November 1949",161435,75.05,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat | ID: 760  
Final Answer: Nepal",161819,85.57,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]","TITLE: 49th Academy Awards | ID: 99  
- Rocky won the Oscar for best picture in 1976.

Final Answer: Rocky",161708,62.03,True,structured_complete
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]","TITLE: Protein biosynthesis | ID: 391  
- The protein is mad

Final Answer: The protein is mad",162865,128.41,True,structured_complete
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
TITLE: Life of Pi | ID: 206  

Final Answer: Richard Parker",161808,80.2,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","TITLE: Geoffrey Palmer (actor) | ID: 251  
Answer: Geoffrey Palmer

Final Answer: Geoffrey Palmer",161908,85.19,True,structured_complete
loft:nq_128k:30,,"[""9 to 25 February 2018""]","TITLE: Mexico at the 2018 Winter Olympics | ID: 386  
Mexico plays in the Winter Olympics from 9 to 25 February 2018.

Final Answer: 9 to 25 February 2018",161460,66.07,True,structured_complete
loft:nq_128k:31,,"[""CeCe Drake""]","TITLE: A (Pretty Little Liars) | ID: 255  
Final Answer: CeCe Drake",161576,64.02,True,structured_complete
loft:nq_128k:32,,"[""Grisha""]","TITLE: G. Callen | ID: 373  
TITLE: Jason Gideon | ID: 724  

List:  
- G stands for Jason Gideon in NCIS: Los Angeles.

Final Answer: G stands for Jason Gideon in NCIS: Los Angeles.",162005,88.2,True,structured_complete
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]","TITLE: Serous membrane  
ID: 269  

Final Answer: serous membrane",161646,68.03,True,structured_complete
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: My Country, 'Tis of Thee | ID: 342  
TITLE: The Star-Spangled Banner | ID: 855  

- The law recognizing the National Anthem was first enacted in 1932.  
- On June 22, 1942, the law was revised indicating that those in uniform should salute during its playing.  
- On December 23, 1942 the law was again revised instructing men and women to stand at attention and face in the direction of the music when it was played.  
- On July 7, 1976, the law was simplified. Men and women were instructed to stand with their hands over their hearts, men removing their hats, irrespective of whether or not the flag was displayed and those in uniform saluting.  
- On August 12, 1998, the law was rewritten keeping the same instructions, but differentiating between ""those in uniform"" and ""members of the Armed Forces and veterans"" who were both instructed to salute during the playing whether or not the flag was displayed.

Final Answer: 1932",162502,103.88,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
Final Answer: phosphorus pentoxide",161515,58.85,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]","TITLE: Krypton-85 | ID: 755  
Final Answer: stable, non-radioactive rubidium-85",162134,56.99,True,structured_complete
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon | ID: 724  
Final Answer: Nelson's Sparrow",161498,63.94,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]","TITLE: G. Sankara Kurup | ID: 273  
Final Answer: Malayalam",161663,64.99,True,structured_complete
loft:nq_128k:39,,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence | ID: 880  
Final Answer: ['David Ben-Gurion']",161655,66.52,True,structured_complete
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
TITLE: Qing dynasty | ID: 609  

Final Answer: Manchuria",161436,81.36,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]","TITLE: Where Are Ü Now | ID: 550  
The song ""Where Are Ü Now"" was released on February 27, 2015.

Final Answer: February 27, 2015",161952,101.5,True,structured_complete
loft:nq_128k:42,,"[""produced by Quincy Jones""]","TITLE: We Are the World | ID: 130  
Final Answer: Michael Jackson and Lionel Richie",161351,62.0,True,structured_complete
loft:nq_128k:43,,"[""Ludacris""]","TITLE: Baby (Justin Bieber song) | ID: 300  
The rap in ""Baby"" is sung by Ludacris.

Final Answer: Ludacris",161689,76.34,True,structured_complete
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]","TITLE: Jawaharlal Nehru Centre for Advanced Scientific Research  
ID: 809  

Final Answer: [809]",161792,71.24,True,structured_complete
loft:nq_128k:45,,"[""condense the steam""]","TITLE: Cooling tower | ID: 429  
TITLE: Cooling tower | ID: 429  

Final Answer: Cooling water runs through the condenser to condense steam coming out of the cylinders or turbines, reducing back pressure and steam consumption, increasing power, and recycling boiler-water. The condensers require an ample supply of cooling water, without which they are impractical.",162070,105.54,True,structured_complete
