id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,7251,2.37,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605  
TITLE: Wonder Woman | ID: NOT FOUND  

Final Answer: Cannot determine which film was released first because the release date of Wonder Woman is not provided.",7816,7.15,True,structured_complete
loft:hotpotqa_128k:2,,"[""in 2000""]","TITLE: Kenneth P. LaValle Stadium | ID: 809  
- The year construction began on the stadium where the 2013 America East Men's Lacrosse Tournament was held is 2000.

Final Answer: 2000",7751,7.71,True,structured_complete
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: A Woman Called Moses | ID: 970  
TITLE: Aud Wilken | ID: 1177  

Final Answer: Harriet Tubman",7294,5.2,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]","Final Answer: Arundel Castle was not mentioned in the documents provided. Therefore, the query cannot be answered based on the given information.",6827,3.53,True,structured_complete
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]","TITLE: Adolfo Rodríguez Saá | ID: 1026  
TITLE: Ricardo Rodríguez Saá | ID: 148  

Final Answer: Adolfo Rodríguez Saá",7803,9.68,True,structured_complete
loft:hotpotqa_128k:6,,"[""1976""]","TITLE: Georgia World Congress Center  
ID: 684  

Final Answer: 1976",7410,6.44,True,structured_complete
loft:hotpotqa_128k:7,,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
TITLE: Battle Sheep | ID: 702  

Final Answer: Nothing can be concluded about Battle Sheep, and no comparison date is available. Thus, the query cannot be answered with certainty from the provided documents.",8052,7.97,True,structured_complete
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth | ID: 727  
TITLE: The Man with the Iron Fists | ID: 818  

Final Answer: RZA",8398,18.6,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]","TITLE: Mike Leach (American football coach)  
ID: 817  

Final Answer: Washington State University",7209,3.3,True,structured_complete
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334  
TITLE: Two Is Better Than One | ID: 221  

Final Answer: Love Drunk",8452,11.98,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]",,7287,1.6,True,abstained
