id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,3491,4.95,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]","TITLE: ailer Records label | ID: 12

Final Answer: ailer Records label",3794,10.5,True,structured_complete
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,3446,4.87,True,abstained
loft:musique_128k:3,,"[""1952""]",,3461,4.05,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,3474,3.98,True,abstained
loft:musique_128k:5,,"[""1941""]",,3411,2.65,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,3426,3.47,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,3471,2.97,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,3481,4.07,True,abstained
loft:musique_128k:9,,"[""1,400 years""]","TITLE: Zhejiang | ID: 14  
Final Answer: NOTHING RELEVANT",3940,19.67,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,3421,4.02,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,3426,5.27,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,3471,3.8,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,3456,3.71,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,3446,3.57,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,3466,4.46,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,3401,4.58,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,3451,4.15,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,3486,3.47,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,3421,3.61,True,abstained
loft:musique_128k:20,,"[""1952""]",,3426,5.1,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,3416,5.01,True,abstained
loft:musique_128k:22,,"[""1941""]",,3411,4.68,True,abstained
loft:musique_128k:23,,"[""1941""]",,3416,4.61,True,abstained
loft:musique_128k:24,,"[""five""]",,3441,4.25,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,3491,4.37,True,abstained
loft:musique_128k:26,,"[""1905""]",,3416,3.1,True,abstained
loft:musique_128k:27,,"[""five""]",,3456,2.35,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,3476,4.55,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,3471,4.44,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,3481,3.59,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,3426,2.91,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,3421,3.3,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,3421,2.36,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,3426,4.32,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,3426,5.72,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,3446,4.69,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,3406,3.88,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,3456,4.33,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,3411,2.54,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,3446,2.09,True,abstained
loft:musique_128k:41,,"[""1905""]",,3441,2.47,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,3396,2.85,True,abstained
loft:musique_128k:43,,"[""22""]",,3401,3.22,True,abstained
loft:musique_128k:44,,"[""1984""]",,3421,3.84,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",Final Answer: ['nothing'],3650,6.03,True,structured_complete
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",Final Answer: ['Nothing'],3680,6.71,True,structured_complete
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,3471,5.03,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,3436,4.81,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,3421,4.63,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,3456,3.99,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,3431,5.42,True,abstained
loft:musique_128k:52,,"[""1981""]",,3441,5.5,True,abstained
loft:musique_128k:53,,"[""1981""]",,3451,5.01,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,3466,5.25,True,abstained
