id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,2221,0.71,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,2907,0.56,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,2252,0.43,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,2974,0.59,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,2179,0.4,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,2154,0.4,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,2279,0.42,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,2270,0.53,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth | ID: 727

Final Answer: Eli Roth",3684,4.44,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]",,2219,0.43,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]",,2204,0.4,True,abstained
loft:hotpotqa_128k:11,,"[""1940""]",,2292,0.4,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]","TITLE: Rigopiano avalanche | ID: 1050  
TITLE: 1999 Galtür avalanche | ID: 1050  
- The 1999 Galtür avalanche happened first.  

Final Answer: The 1999 Galtür avalanche happened first.",3617,3.94,True,structured_complete
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,3021,0.65,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,2937,0.65,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,2254,0.38,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,2144,0.37,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,3145,0.49,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,2964,0.49,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]","TITLE: Candace Flynn | ID: 597  
TITLE: Ashley Tisdale | ID: NOT PRESENT IN DOCUMENTS  

Final Answer: None of the documents provide information on the show on which Ashley Tisdale achieved mainstream success. Therefore, the query cannot be answered based on the given information.",3404,3.45,True,structured_complete
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,3005,0.57,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]",,2934,0.6,True,abstained
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,2194,0.44,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,2203,0.46,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,2221,0.46,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]","TITLE: Mike Fiers | ID: 1086  
Final Answer: Mike Fiers",3563,3.59,True,structured_complete
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]",,2911,0.53,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",,2199,0.4,True,abstained
loft:hotpotqa_128k:28,,"[""no""]",,2886,0.53,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,2882,0.6,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,3032,0.53,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,3084,0.52,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,2929,0.53,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,2209,0.4,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,2230,0.4,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,3003,0.61,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,2914,0.57,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]","TITLE: Jean Sagbo | ID: 107

Final Answer: African ethnic group",3663,3.89,True,structured_complete
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,3045,0.61,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,2171,0.47,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]",,2917,0.62,True,abstained
loft:hotpotqa_128k:41,,"[""genus""]",,2864,0.53,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,2957,0.53,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]","TITLE: Keokuk Falls, Oklahoma | ID: 324  
TITLE: Lawton, Oklahoma | ID: 613  

Final Answer: NOTHING RELEVANT",3656,5.66,True,structured_complete
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,2198,0.4,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,3018,0.57,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,2223,0.42,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,2199,0.45,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,2193,0.46,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]","TITLE: Scorpion | ID: 491  
The animal discussed by Karl Kraepelin in ""Scorpiones und Pedipalpi"" has eight legs.

Final Answer: 8",3505,2.45,True,structured_complete
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,2873,0.61,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,3021,0.59,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,2934,0.6,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,2913,0.53,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,2881,0.53,True,abstained
