id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:quest_128k:0,,"[""A Case of Need""]",,6384,3.2,True,abstained
loft:quest_128k:1,,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]",,6454,2.62,True,abstained
loft:quest_128k:2,,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",,6434,2.33,True,abstained
loft:quest_128k:3,,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]",,6334,2.75,True,abstained
loft:quest_128k:4,,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]","[""At Night We Walk in Circles""]  

Final Answer: [""At Night We Walk in Circles""]",7125,11.1,True,structured_complete
loft:quest_128k:5,,"[""One Way Trip 3D""]",,6324,2.62,True,abstained
loft:quest_128k:6,,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",,6394,2.7,True,abstained
loft:quest_128k:7,,"[""Firecrest (novel)"", ""Lament for Leto""]",,6364,2.71,True,abstained
loft:quest_128k:8,,"[""Crisis of Conscience""]","[]

Final Answer: []",6803,6.54,True,structured_complete
loft:quest_128k:9,,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",,6524,2.51,True,abstained
loft:quest_128k:10,,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]","[""The Final Nexus""]  
Final Answer: [""The Final Nexus""]",6806,5.92,True,structured_complete
loft:quest_128k:11,,"[""Best Defense"", ""Red Dawn""]",,6444,2.33,True,abstained
loft:quest_128k:12,,"[""Seveneves""]",,6464,2.55,True,abstained
loft:quest_128k:13,,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]","[""The Abandoned (2006 film)""] 

Final Answer: [""The Abandoned (2006 film)""]",6752,5.5,True,structured_complete
loft:quest_128k:14,,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]","[""""]  
Final Answer: []",6872,6.89,True,structured_complete
loft:quest_128k:15,,"[""Elizabeth (film)""]",,6454,2.55,True,abstained
loft:quest_128k:16,,"[""Personal Recollections of Joan of Arc""]",,6434,2.4,True,abstained
loft:quest_128k:17,,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]",,6384,2.34,True,abstained
loft:quest_128k:18,,"[""The Way of the Scarlet Pimpernel""]",,6404,2.35,True,abstained
loft:quest_128k:19,,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]","TITLE: Batman & Robin (film) | ID: 0

Final Answer: [""Batman & Robin (film)""]",7047,8.05,True,structured_complete
loft:quest_128k:20,,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]",,6464,2.4,True,abstained
loft:quest_128k:21,,"[""Poison in Jest"", ""The Waxworks Murder""]",,6434,2.57,True,abstained
loft:quest_128k:22,,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]",,6384,2.38,True,abstained
loft:quest_128k:23,,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]",Final Answer: [],8917,39.98,True,structured_complete
loft:quest_128k:24,,"[""Mythago Wood"", ""Nights at the Circus""]",,6394,2.42,True,abstained
loft:quest_128k:25,,"[""Laughing Gas (novel)""]","[""The Abandoned (2006 film)""]",7044,8.88,True,structured_complete
loft:quest_128k:26,,"[""Hannibal Rising"", ""Jewel (novel)""]",,6404,2.44,True,abstained
loft:quest_128k:27,,"[""Ryan (film)""]","[""Nothing relevant""]",7172,11.46,True,structured_complete
loft:quest_128k:28,,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]",,6414,2.42,True,abstained
loft:quest_128k:29,,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]",,6394,2.55,True,abstained
loft:quest_128k:30,,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]",,6344,2.47,True,abstained
loft:quest_128k:31,,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]",,6384,2.4,True,abstained
loft:quest_128k:32,,"[""Time and the Wind""]",,6374,2.71,True,abstained
loft:quest_128k:33,,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]",,6384,2.39,True,abstained
loft:quest_128k:34,,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]",,6434,2.45,True,abstained
loft:quest_128k:35,,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]",,6454,2.59,True,abstained
loft:quest_128k:36,,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]",,6394,2.58,True,abstained
loft:quest_128k:37,,"[""Doctor Zhivago (film)""]",,6404,2.67,True,abstained
loft:quest_128k:38,,"[""The Picturegoers"", ""The Violent Bear It Away""]",,6364,2.8,True,abstained
loft:quest_128k:39,,"[""Undercover with the KKK""]",,6404,2.63,True,abstained
loft:quest_128k:40,,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]",,6374,2.62,True,abstained
loft:quest_128k:41,,"[""Ace Attorney (film)"", ""True Story (film)""]",,6384,2.7,True,abstained
loft:quest_128k:42,,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]","[""""]  
Final Answer: [""""]",7059,8.64,True,structured_complete
loft:quest_128k:43,,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]",Final Answer: [],6970,7.16,True,structured_complete
loft:quest_128k:44,,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]",,6424,2.47,True,abstained
loft:quest_128k:45,,"[""Going Vertical"", ""Prefontaine (film)""]",,6394,2.71,True,abstained
loft:quest_128k:46,,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]",,6314,2.64,True,abstained
loft:quest_128k:47,,"[""We the Living""]",,6414,2.69,True,abstained
loft:quest_128k:48,,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]",,6344,2.73,True,abstained
loft:quest_128k:49,,"[""Aftermath (1994 film)"", ""Amoklauf"", ""Aya: Imagined Autobiography""]",,6404,2.71,True,abstained
loft:quest_128k:50,,"[""Circe (novel)"", ""Julian (novel)""]",,6454,2.71,True,abstained
loft:quest_128k:51,,"[""Alice's Adventures in Wonderland"", ""Prince Caspian"", ""The Magician's Nephew""]",,6554,2.7,True,abstained
loft:quest_128k:52,,"[""A.P.E.X.""]",,6384,2.71,True,abstained
loft:quest_128k:53,,"[""Babes in Toyland (1934 film)"", ""Mad Monster Party?""]",,6354,2.61,True,abstained
loft:quest_128k:54,,"[""Come in Spinner"", ""The Thorn Birds"", ""Zuleika Dobson""]",,6494,2.56,True,abstained
