id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,5078,1.19,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,5070,1.02,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,4955,1.12,True,abstained
loft:musique_128k:3,,"[""1952""]",,5056,0.79,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,5078,0.95,True,abstained
loft:musique_128k:5,,"[""1941""]","TITLE: Siddhi Savetsila | ID: 108  
NOTHING RELEVANT

Final Answer: NOTHING RELEVANT",5585,5.86,True,structured_complete
loft:musique_128k:6,,"[""island Koh Phi Phi""]","TITLE: Siddhi Savetsila | ID: 108  
TITLE: Hokkien | ID: 106  

Final Answer: NOTHING RELEVANT",5485,5.29,True,structured_complete
loft:musique_128k:7,,"[""Francisco Guterres""]","TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598  
Final Answer: unknown",5651,6.98,True,structured_complete
loft:musique_128k:8,,"[""the country of India""]","TITLE: Hindus | ID: 540  
[""Hindu""]  

Final Answer: Hindu",5889,8.48,True,structured_complete
loft:musique_128k:9,,"[""1,400 years""]",Final Answer: [NOTHING RELEVANT],5467,4.33,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,4984,0.98,True,abstained
loft:musique_128k:11,,"[""16th - century""]","TITLE: Al gran sole carico d'amore | ID: 526  
Final Answer:",5215,5.41,True,structured_complete
loft:musique_128k:12,,"[""Francisco Guterres""]","TITLE: East Timor | ID: 45
TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598

Final Answer: Francisco Guterres",6234,12.97,True,structured_complete
loft:musique_128k:13,,"[""Rialto Bridge""]","TITLE: Mandolin | ID: 565

Final Answer: nothing relevant",5046,3.28,True,structured_complete
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,4964,1.22,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,4895,1.12,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,4930,1.25,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]","TITLE: Gothic architecture | ID: 776

Final Answer: NOTHING RELEVANT",5620,5.05,True,structured_complete
loft:musique_128k:18,,"[""June 1941""]",,4935,0.97,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,4857,0.95,True,abstained
loft:musique_128k:20,,"[""1952""]",,4949,0.9,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,4982,1.11,True,abstained
loft:musique_128k:22,,"[""1941""]",,4875,1.01,True,abstained
loft:musique_128k:23,,"[""1941""]","TITLE: Pacific War | ID: 221  
Final Answer: 1941",5192,2.51,True,structured_complete
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
Final Answer: ['five games per year']",4836,2.22,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]","TITLE: Partition of India | ID: 578

Final Answer: Hinduism",5291,2.59,True,structured_complete
loft:musique_128k:26,,"[""1905""]","TITLE: Allen, Arizona | ID: 315

Final Answer: nothing relevant",5329,2.83,True,structured_complete
loft:musique_128k:27,,"[""five""]","TITLE: Pinball Quest | ID: 725  
TITLE: Super Nintendo Entertainment System | ID: 821  
Final Answer: ['five games per year']",5127,5.24,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]",,5078,0.9,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,4985,1.14,True,abstained
loft:musique_128k:30,,"[""the country of India""]","TITLE: Hindus | ID: 540
TITLE: Partition of India | ID: 578

Final Answer: Hinduism",5957,10.89,True,structured_complete
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,4939,1.1,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]","TITLE: Jim Wilson (first baseman) | ID: 23  
Final Answer: nothing relevant",5316,2.67,True,structured_complete
loft:musique_128k:33,,"[""Warner Music Group""]","TITLE: Arthur's Theme (Best That You Can Do) | ID: 759

Final Answer:",4969,4.18,True,structured_complete
loft:musique_128k:34,,"[""the Mississippi River Delta""]","TITLE: Write This Down | ID: 818  
TITLE: Mississippi River | ID: 580  

Final Answer: ['the Mississippi River Delta']",5274,2.19,True,structured_complete
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,4961,1.09,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]","TITLE: Who Wants to Be a Millionaire (American game show) | ID: 227

Final Answer: NOTHING RELEVANT",5661,6.32,True,structured_complete
loft:musique_128k:37,,"[""Min Zhou""]","TITLE: MacGruder and Loud | ID: 744

Final Answer: nothing relevant",5275,2.38,True,structured_complete
loft:musique_128k:38,,"[""Sea, Air, and Land""]","TITLE: United States Navy SEALs | ID: 756  
Final Answer: Sea, Air, and Land",5552,5.98,True,structured_complete
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,5026,1.06,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]","TITLE: United States Navy SEALs | ID: 756  
Final Answer: Sea, Air, and Land",5544,4.57,True,structured_complete
loft:musique_128k:41,,"[""1905""]","TITLE: Drexel Heights, Arizona | ID: 103  
TITLE: Pima County, Arizona | ID: 103  

Final Answer:",5390,4.37,True,structured_complete
loft:musique_128k:42,,"[""for the conclave in Rome""]",,4961,1.46,True,abstained
loft:musique_128k:43,,"[""22""]",,4930,1.26,True,abstained
loft:musique_128k:44,,"[""1984""]",,4981,1.23,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",Final Answer: ['Nothing'],5195,1.13,True,structured_complete
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]","TITLE: Sino-Tibetan relations during the Ming dynasty | ID: 1  
Final Answer: []",5391,3.32,True,structured_complete
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,4986,0.98,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,5004,1.12,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,4981,1.11,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,5039,0.93,True,abstained
