id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]","TITLE: Extraction (film) | ID: 742  
TITLE: Eli Roth | ID: 727  

Final Answer: None of the documents identify an American professional poker player who starred in the 2015 movie ""Extraction"".",9851,6.7,True,structured_complete
loft:hotpotqa_128k:1,,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605  
TITLE: Wonder Woman | ID: NOT FOUND  

Final Answer: Cannot determine which film was released first because ""Wonder Woman"" is not mentioned in the documents.",10462,5.99,True,structured_complete
loft:hotpotqa_128k:2,,"[""in 2000""]","TITLE: Kenneth P. LaValle Stadium | ID: 809  
Final Answer: 2000",9864,4.97,True,structured_complete
loft:hotpotqa_128k:3,,"[""Araminta Ross""]","TITLE: A Woman Called Moses | ID: 970  
[""Harriet Tubman""]

Final Answer: Harriet Tubman",10287,2.93,True,structured_complete
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,9366,1.26,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]","TITLE: Ricardo Rodríguez Saá | ID: 148  
Final Answer: NONE",10131,6.46,True,structured_complete
loft:hotpotqa_128k:6,,"[""1976""]","TITLE: Georgia World Congress Center
ID: 684

Final Answer: 1976",9794,2.89,True,structured_complete
loft:hotpotqa_128k:7,,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678  
TITLE: Battle Sheep | ID: 702  

Final Answer: Obsession",9833,3.89,True,structured_complete
loft:hotpotqa_128k:8,,"[""Eli Roth""]","TITLE: Eli Roth | ID: 727  
TITLE: The Man with the Iron Fists | ID: 818  
List:  
- Eli Roth  

Final Answer: Eli Roth",10856,9.89,True,structured_complete
loft:hotpotqa_128k:9,,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817  
Final Answer: ['Washington State University']",9797,5.39,True,structured_complete
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Two Is Better Than One | ID: 221  
TITLE: Love Drunk | ID: 334  

Final Answer: Two Is Better Than One",10323,13.22,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]",,9469,1.22,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]","TITLE: 1999 Galtür avalanche | ID: 967  
TITLE: Rigopiano avalanche | ID: 1050  

- The 1999 Galtür avalanche happened first.  

Final Answer: The 1999 Galtür avalanche happened first.",10647,8.61,True,structured_complete
loft:hotpotqa_128k:13,,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539

Final Answer: ['Ali Qushji']",10520,9.04,True,structured_complete
loft:hotpotqa_128k:14,,"[""December 1974""]","Final Answer: The creation date of the anthology ""Métal hurlant"" cannot be determined from the given information.",10534,8.0,True,structured_complete
loft:hotpotqa_128k:15,,"[""England""]","TITLE: Nike Hypervenom | ID: 413  
List:  
- Marcus Rashford  
- Kylian Mbappé  
- Robert Lewandowski  
- Gonzalo Higuaín  
- Mauro Icardi  
- Harry Kane  
- Edinson Cavani  
- Riyad Mahrez  
- Romelu Lukaku  
- Cian Brennan Aubameyang  
- Thiago  

Final Answer: Marcus Rashford, Kylian Mbappé, Robert Lewandowski, Gonzalo Higuaín, Mauro Icardi, Harry Kane, Edinson Cavani, Riyad Mahrez, Romelu Lukaku, Cian Brennan Aubameyang, Thiago",10112,11.87,True,structured_complete
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]","TITLE: Morgan Llywelyn | ID: 556  
TITLE: Robert Jordan | ID: 569  

Final Answer: ['Morgan Llywelyn', 'Robert Jordan']",10241,11.38,True,structured_complete
loft:hotpotqa_128k:17,,"[""Ten Walls""]","TITLE: Ten Walls | ID: 373  
TITLE: Walking with Elephants | ID: 1213  

Final Answer: ['Ten Walls']",10900,8.96,True,structured_complete
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]","TITLE: Caesars Palace Grand Prix | ID: 888  
TITLE: Jeff Wood (racing driver) | ID: 957  

Final Answer: Caesars Palace Grand Prix",10765,8.54,True,structured_complete
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]","TITLE: Candace Flynn | ID: 597  
TITLE: Ashley Tisdale | ID: 980  

- The actress who voiced Candace Flynn is Ashley Tisdale.  
- Ashley Tisdale achieved mainstream success as Sharpay Evans in the ""High School Musical"" franchise.  
Final Answer: High School Musical",10757,11.61,True,structured_complete
loft:hotpotqa_128k:20,,"[""Cambridge University""]","TITLE: Governor's House, Knutsford | ID: 711  
Final Answer: Nothing relevant",10443,6.26,True,structured_complete
loft:hotpotqa_128k:21,,"[""25 million copies""]","TITLE: Big Daddy (BioShock) | ID: 527

Final Answer: nothing",10334,5.48,True,structured_complete
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]","TITLE: Unbreakable Kimmy Schmidt | ID: 451  
Final Answer: Ellie Kemper",9748,5.51,True,structured_complete
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]","TITLE: Roland R-8  
ID: 773  
- The R-8 Human Rhythm Composer is an electronic drum machine introduced in 1989 by Roland Corporation.  
- The R-8 features velocity- and pressure-sensitive trigger pads, and the ability to create loops of beats.  
- The device has eight individual outputs, 32-voice polyphony, and four-part multitimbral MIDI.  

Final Answer: Roland R-8",9924,7.67,True,structured_complete
loft:hotpotqa_128k:24,,"[""The Vanishing""]","TITLE: The Vanishing (1988 film) | ID: 255  
Final Answer: nothing relevant",10170,9.7,True,structured_complete
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]","TITLE: Mike Fiers | ID: 1086  
List:  
- Mike Fiers played for the Houston Astros and the Milwaukee Brewers.  

Final Answer: Mike Fiers",10443,5.13,True,structured_complete
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]","TITLE: Lewis and Clark County, Montana | ID: 392  
TITLE: Omega SA | ID: 618  

Final Answer: ['Olympic Games']",10658,8.53,True,structured_complete
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]","TITLE: Johnny Pemberton | ID: 32  
TITLE: Superstore | ID: 32  

Final Answer: ['Superstore']",9539,5.44,True,structured_complete
loft:hotpotqa_128k:28,,"[""no""]","TITLE: Götterdämmerung | ID: 522  
TITLE: Dafne | ID: 622  

- Götterdämmerung is considered an opera.  
- Dafne is considered an opera as it is described as the earliest known work that could be considered an opera by modern standards.  

Final Answer:  
- Götterdämmerung is considered an opera.  
- Dafne is considered an opera.",11013,16.86,True,structured_complete
loft:hotpotqa_128k:29,,"[""Rome""]","TITLE: Tosca (1956 film)  
ID: 437  

List:  
- Rome  

Final Answer: Rome",10413,9.15,True,structured_complete
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]","TITLE: Ahold | ID: 1015  
Final Answer: Ahold",10756,5.46,True,structured_complete
loft:hotpotqa_128k:31,,"[""Unbreakable""]","TITLE: Blinding Edge Pictures | ID: 292  
TITLE: Unbreakable | ID: 292  

Final Answer: NONE",10650,5.77,True,structured_complete
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]","TITLE: Stephen Graham | ID: 526  
Final Answer: nothing relevant",10650,9.21,True,structured_complete
loft:hotpotqa_128k:33,,"[""world wushu tournament""]","TITLE: Wing Chun (film) | ID: 469  
Final Answer: None",9881,5.49,True,structured_complete
loft:hotpotqa_128k:34,,"[""Turkey""]",,9507,1.26,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]","TITLE: Joseph Reiser | ID: 76  
TITLE: Omega SA | ID: 618  

Final Answer: Omega SA",10744,11.03,True,structured_complete
loft:hotpotqa_128k:36,,"[""five""]","TITLE: Don Quichotte | ID: 832  
Final Answer: five",10569,11.14,True,structured_complete
loft:hotpotqa_128k:37,,"[""Afro-Russian""]","TITLE: Jean Sagbo | ID: 107  
Final Answer: African",10542,7.81,True,structured_complete
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,9972,1.83,True,abstained
