id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
List:  
- Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.  

Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",11130,8.05,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",11362,7.95,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",10791,3.73,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
[""Haliaeetus""]

Final Answer: Haliaeetus",7703,2.05,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,10818,1.85,True,abstained
loft:nq_128k:5,,"[""Nala""]",,11029,2.16,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall  
ID: 270  

List:  
- Christopher Lloyd plays the Woodsman in *Over the Garden Wall*  

Final Answer: Christopher Lloyd plays the Woodsman in *Over the Garden Wall*",12039,4.21,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree  
ID: 808  

Final Answer: Charlotte of Mecklenburg-Strelitz",11629,4.08,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film)  
ID: 490  
Final Answer: Glenn Close",11332,6.94,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: the Ramones",11237,5.66,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver  
ID: 64  

Final Answer: at least seven",10617,2.92,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",10996,4.17,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Answer: Emma is dating Hook in Once Upon a Time.  
Final Answer: Hook",10648,4.18,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",11237,4.94,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716  
- The sun rises first on Mars Hill during most of the spring and summer.  
- For a few weeks around the equinoxes, the sun rises first at West Quoddy Head in Lubec, Maine.  

Final Answer:  
- The sun rises first on Mars Hill during most of the spring and summer.  
- For a few weeks around the equinoxes, the sun rises first at West Quoddy Head in Lubec, Maine.",12246,10.47,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The authority or governing body of the MCA is the Ministry of Corporate Affairs, which is an Indian government ministry. It is responsible for regulating the functioning of the corporate sector in accordance with law and administers various acts including the Companies Act 2013 and the Companies Act 1956. The current minister of corporate affairs is Arun Jaitley, and the current Minister of State for Corporate Affairs is Mr. PP Choudhary.",11620,9.62,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast  
ID: 408  

Final Answer: prime rib comes from the primal rib section of a cow, specifically ribs six through 12",10885,4.31,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",10830,4.89,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
The common name for gravitational force is gravity.

Final Answer: gravity",11804,6.55,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158

Final Answer: Lykan HyperSport | 158",11137,6.43,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",12094,7.56,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
Final Answer: non-ferrous",11873,4.72,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519  
Final Answer: Sauron",10831,5.77,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,11323,2.31,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56) | ID: 26  
Final Answer: 24 November 1949",12016,5.5,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat | ID: 760  
- The vikram samvat calendar is the official calendar in Nepal.

Final Answer: Nepal",11362,6.51,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]","TITLE: 49th Academy Awards | ID: 99  
Final Answer: Rocky",11193,3.22,True,structured_complete
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]","TITLE: Protein biosynthesis | ID: 391  
The protein is made in the cytoplasm after the mRNA leaves the nucleus and migrates into the cytoplasm. The mRNA is synthesized in the nucleus during transcription, and then moves to the cytoplasm where protein synthesis occurs.

Final Answer: cytoplasm",11535,6.81,True,structured_complete
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
[""Richard Parker""]

Final Answer: Richard Parker",11402,3.11,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","TITLE: Geoffrey Palmer (actor) | ID: 251  
Final Answer: Geoffrey Dyson Palmer",11056,3.66,True,structured_complete
loft:nq_128k:30,,"[""9 to 25 February 2018""]","TITLE: Mexico at the 2018 Winter Olympics | ID: 386  
The 2018 Winter Olympics took place from 9 to 25 February 2018 in Pyeongchang, South Korea.

Final Answer: 9 to 25 February 2018",11339,4.21,True,structured_complete
loft:nq_128k:31,,"[""CeCe Drake""]","TITLE: A (Pretty Little Liars) | ID: 255  
List:  
- CeCe Drake is the head ""A"" in Pretty Little Liars.  

Final Answer: CeCe Drake",11627,6.91,True,structured_complete
loft:nq_128k:32,,"[""Grisha""]","TITLE: G. Callen  
ID: 373  

Final Answer: Grisha Alekandrovich Nikolaev",11210,3.08,True,structured_complete
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]","TITLE: Serous membrane  
ID: 269  

Final Answer: serous membrane (or serosa)",12021,6.81,True,structured_complete
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: My Country, 'Tis of Thee | ID: 342  
TITLE: The Star-Spangled Banner | ID: 855  

Final Answer: 1932",12427,11.43,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
Final Answer: phosphorus pentoxide",11428,3.71,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]","TITLE: Krypton-85 | ID: 755  
Final Answer: rubidium-85",10888,4.33,True,structured_complete
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon | ID: 724  
Final Answer: season ten episode ""Nelson's Sparrow""",10818,3.78,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]","TITLE: G. Sankara Kurup  
ID: 273  

Final Answer: Malayalam",11764,5.27,True,structured_complete
loft:nq_128k:39,,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence | ID: 880  
Final Answer: ['David Ben-Gurion']",11593,2.97,True,structured_complete
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.

Final Answer: the Jurchen Aisin Gioro clan in Manchuria",10913,3.56,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,10892,2.46,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]","TITLE: We Are the World  
ID: 130  

Final Answer: Michael Jackson and Lionel Richie",11084,6.43,True,structured_complete
loft:nq_128k:43,,"[""Ludacris""]","TITLE: Baby (Justin Bieber song)  
ID: 300  

Final Answer: Ludacris",9306,4.99,True,structured_complete
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]","TITLE: Jawaharlal Nehru Centre for Advanced Scientific Research  
ID: 809  

Final Answer: 809",11914,4.66,True,structured_complete
loft:nq_128k:45,,"[""condense the steam""]","TITLE: Dehumidifier | ID: 70  
TITLE: Cooling tower | ID: 429  

Final Answer: [The cooling water runs through the condenser to remove moisture from the air, thereby drying the room; cooling water runs through the condenser to condense steam coming out of the cylinders or turbines, reducing back pressure and improving efficiency.]",12078,8.02,True,structured_complete
loft:nq_128k:46,,"[""metaphase""]","TITLE: Chromosome | ID: 293  
During metaphase of cell division, chromosomes are condensed and visible under a light microscope. At this stage, the chromosomes are in their condensed form and appear as X-shaped structures, known as metaphase chromosomes. Before metaphase, during the S phase, each chromosome is copied and the copy is joined to the original by a centromere, forming sister chromatids.

Final Answer: metaphase of cell division",11161,6.62,True,structured_complete
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]","TITLE: Hawaii | ID: 746  
Final Answer: nothing relevant",12132,5.43,True,structured_complete
loft:nq_128k:48,,"[""imperial rule""]",,10469,1.96,True,abstained
loft:nq_128k:49,,"["".java""]","TITLE: Filename extension  
ID: 704  

Final Answer: .java",11621,3.91,True,structured_complete
